student,student_id,hand,sample,quality,timestamp_ms,ax,ay,az,gx,gy,gz
Akram,1-2-2026,right,استقلال,bad,1767341755863,12212,10968,-404,215,1187,-270
Akram,1-2-2026,right,استقلال,bad,1767341755915,12244,10968,84,-128,703,-800
Akram,1-2-2026,right,استقلال,bad,1767341755966,12224,11204,256,15,-32,-23
Akram,1-2-2026,right,استقلال,bad,1767341756015,12340,10916,-120,-2,-57,-52
Akram,1-2-2026,right,استقلال,bad,1767341756065,11008,10680,184,-709,834,-563
Akram,1-2-2026,right,استقلال,bad,1767341756115,11532,11348,404,-1068,320,122
Akram,1-2-2026,right,استقلال,bad,1767341756166,11348,12788,280,-504,1559,325
Akram,1-2-2026,right,استقلال,bad,1767341756216,10856,12972,2288,2638,-5106,-3091
Akram,1-2-2026,right,استقلال,bad,1767341756264,14612,9280,-1544,-1589,-2918,4785
Akram,1-2-2026,right,استقلال,bad,1767341756315,18772,12908,-1752,-533,1579,1438
Akram,1-2-2026,right,استقلال,bad,1767341756365,12012,12132,1588,-1068,4718,74
Akram,1-2-2026,right,استقلال,bad,1767341756414,12836,12132,2552,2029,-3810,-1731
Akram,1-2-2026,right,استقلال,bad,1767341756465,12628,10584,-3072,-364,1094,-140
Akram,1-2-2026,right,استقلال,bad,1767341756514,8864,13700,832,590,1820,-1284
Akram,1-2-2026,right,استقلال,bad,1767341756565,12152,11816,2188,5333,-6228,-1800
Akram,1-2-2026,right,استقلال,bad,1767341756615,11568,9228,-4776,143,2050,1771
Akram,1-2-2026,right,استقلال,bad,1767341756665,11532,9312,532,-1831,4769,128
Akram,1-2-2026,right,استقلال,bad,1767341756715,8828,13872,352,-213,2259,-630
Akram,1-2-2026,right,استقلال,bad,1767341756766,11560,12404,124,-160,1657,100
Akram,1-2-2026,right,استقلال,bad,1767341756816,11208,11592,-2068,1782,-3516,-2265
Akram,1-2-2026,right,استقلال,bad,1767341756865,12344,10440,-1076,-227,1495,181
Akram,1-2-2026,right,استقلال,bad,1767341756915,11908,11824,156,213,393,402
Akram,1-2-2026,right,استقلال,bad,1767341756966,11320,12688,-100,1388,-749,-477
Akram,1-2-2026,right,استقلال,bad,1767341757015,12344,9788,-540,-6,944,-487
Akram,1-2-2026,right,استقلال,bad,1767341757065,12472,11308,552,353,-87,278
Akram,1-2-2026,right,استقلال,bad,1767341757116,11880,11404,-1016,394,1040,651
Akram,1-2-2026,right,استقلال,bad,1767341757164,12088,10480,-1440,2575,-462,-1147
Akram,1-2-2026,right,استقلال,bad,1767341757215,12136,10932,-552,606,-427,-426
Akram,1-2-2026,right,استقلال,bad,1767341757265,12180,11040,-312,-96,225,321
Akram,1-2-2026,right,استقلال,bad,1767341757315,11004,12292,-1712,-278,2052,848
Akram,1-2-2026,right,استقلال,bad,1767341757365,14908,9216,-3032,3081,2031,-1103
Akram,1-2-2026,right,استقلال,bad,1767341757418,14732,8508,-1420,3009,2031,-338
Akram,1-2-2026,right,استقلال,bad,1767341757465,11492,12792,628,1766,-2714,337
Akram,1-2-2026,right,استقلال,bad,1767341757518,12048,8080,-1772,-1985,279,3330
Akram,1-2-2026,right,استقلال,bad,1767341757565,9852,11344,-308,-1445,1342,-147
Akram,1-2-2026,right,استقلال,bad,1767341757615,11980,11628,388,34,-966,-306
Akram,1-2-2026,right,استقلال,bad,1767341757664,12680,10368,-1832,-140,485,-103
Akram,1-2-2026,right,استقلال,bad,1767341757718,13348,10452,1124,-1376,1930,1702
Akram,1-2-2026,right,استقلال,bad,1767341757765,10776,11952,-1652,3225,-2102,-657
Akram,1-2-2026,right,استقلال,bad,1767341757818,12180,8752,-1992,787,3771,-1190
Akram,1-2-2026,right,استقلال,bad,1767341757866,11440,11164,3332,1281,3862,-803
Akram,1-2-2026,right,استقلال,bad,1767341757912,11760,11196,1492,1472,-4298,-286
Akram,1-2-2026,right,استقلال,bad,1767341757964,11028,11716,-2304,-76,-1245,186
Akram,1-2-2026,right,استقلال,bad,1767341758014,8872,11800,-420,1386,-718,-1282
Akram,1-2-2026,right,استقلال,bad,1767341758065,13152,8428,-1124,4363,1927,-368
Akram,1-2-2026,right,استقلال,bad,1767341758113,13152,12076,3688,-574,-2663,1392
Akram,1-2-2026,right,استقلال,bad,1767341758163,10052,8048,-3288,-581,1328,3514
Akram,1-2-2026,right,استقلال,bad,1767341758213,10988,12536,188,-2738,3125,430
Akram,1-2-2026,right,استقلال,bad,1767341758263,12620,11828,-328,1031,258,-152
Akram,1-2-2026,right,استقلال,bad,1767341758314,11492,12172,20,-764,-1780,-1159
Akram,1-2-2026,right,استقلال,bad,1767341758363,11492,11068,184,-1275,-113,-218
