student,student_id,hand,sample,quality,timestamp_ms,ax,ay,az,gx,gy,gz
Akram,1-2-2026,right,استقلال,good,1767341675316,12284,9296,-1172,-753,1736,-2566
Akram,1-2-2026,right,استقلال,good,1767341675363,13148,9604,-936,-829,1669,-3969
Akram,1-2-2026,right,استقلال,good,1767341675415,11736,10400,-640,-2031,822,-3773
Akram,1-2-2026,right,استقلال,good,1767341675463,12280,10488,-1304,-1206,858,-2987
Akram,1-2-2026,right,استقلال,good,1767341675516,12176,10176,72,-2483,-940,-2197
Akram,1-2-2026,right,استقلال,good,1767341675563,13344,11392,-604,-2870,-1372,-1074
Akram,1-2-2026,right,استقلال,good,1767341675612,12560,10860,-504,-777,-416,-485
Akram,1-2-2026,right,استقلال,good,1767341675663,12568,10580,-204,-551,-140,289
Akram,1-2-2026,right,استقلال,good,1767341675712,12036,10384,-372,-484,51,-354
Akram,1-2-2026,right,استقلال,good,1767341675763,12876,11176,-180,-195,168,282
Akram,1-2-2026,right,استقلال,good,1767341675813,12548,10516,-372,-340,-943,473
Akram,1-2-2026,right,استقلال,good,1767341675866,12024,10504,-724,-33,-166,-586
Akram,1-2-2026,right,استقلال,good,1767341675916,11840,10464,-320,-1761,1809,-1479
Akram,1-2-2026,right,استقلال,good,1767341675966,11684,11236,-140,-1157,-599,-64
Akram,1-2-2026,right,استقلال,good,1767341676016,11948,11136,-404,-1452,470,-131
Akram,1-2-2026,right,استقلال,good,1767341676066,11924,11324,660,-207,-1008,-147
Akram,1-2-2026,right,استقلال,good,1767341676116,12920,11480,-876,-91,-399,-2170
Akram,1-2-2026,right,استقلال,good,1767341676166,10848,13492,896,452,-915,-2698
Akram,1-2-2026,right,استقلال,good,1767341676216,11328,13420,-300,1032,-4454,-556
Akram,1-2-2026,right,استقلال,good,1767341676266,11808,11800,-528,166,-4842,5332
Akram,1-2-2026,right,استقلال,good,1767341676316,11800,9692,-1288,-465,608,-901
Akram,1-2-2026,right,استقلال,good,1767341676365,11736,10560,-1284,-173,185,-1676
Akram,1-2-2026,right,استقلال,good,1767341676417,12056,11056,-1748,-582,1247,-236
Akram,1-2-2026,right,استقلال,good,1767341676466,12364,11476,552,-641,4074,-66
Akram,1-2-2026,right,استقلال,good,1767341676517,11264,11688,-68,869,199,-146
Akram,1-2-2026,right,استقلال,good,1767341676566,12784,11032,464,-401,-2933,-1237
Akram,1-2-2026,right,استقلال,good,1767341676612,11868,10664,-2084,-1037,1869,560
