student,student_id,hand,sample,quality,timestamp_ms,ax,ay,az,gx,gy,gz
Akram,1-2-2026,right,استقلال,medium,1767341717316,12240,10260,-304,43,492,-238
Akram,1-2-2026,right,استقلال,medium,1767341717365,12928,10416,-184,-1018,663,822
Akram,1-2-2026,right,استقلال,medium,1767341717415,11712,11472,108,-1486,1189,271
Akram,1-2-2026,right,استقلال,medium,1767341717465,12212,11000,584,-872,2018,1013
Akram,1-2-2026,right,استقلال,medium,1767341717516,12264,12348,392,-380,2259,-2382
Akram,1-2-2026,right,استقلال,medium,1767341717566,11384,13860,-76,1811,-1849,-2743
Akram,1-2-2026,right,استقلال,medium,1767341717613,12624,10452,160,2570,-4352,-1020
Akram,1-2-2026,right,استقلال,medium,1767341717663,12304,9792,-332,-623,-2290,1744
Akram,1-2-2026,right,استقلال,medium,1767341717713,11640,9584,-1028,-181,-588,-810
Akram,1-2-2026,right,استقلال,medium,1767341717762,10920,12364,-1500,-1131,149,519
Akram,1-2-2026,right,استقلال,medium,1767341717816,12352,10996,-936,-1718,4991,987
Akram,1-2-2026,right,استقلال,medium,1767341717863,12804,10860,1008,624,1738,-601
Akram,1-2-2026,right,استقلال,medium,1767341717915,11804,11736,1692,134,-2724,-1851
Akram,1-2-2026,right,استقلال,medium,1767341717963,12540,10588,-2212,-403,1214,-32
Akram,1-2-2026,right,استقلال,medium,1767341718015,11812,10252,-1724,469,2067,163
Akram,1-2-2026,right,استقلال,medium,1767341718063,12168,11320,992,1904,1807,-716
Akram,1-2-2026,right,استقلال,medium,1767341718114,12200,11228,-160,1131,-903,-368
Akram,1-2-2026,right,استقلال,medium,1767341718164,14232,10712,-404,881,-2481,2109
Akram,1-2-2026,right,استقلال,medium,1767341718213,10644,9204,-1356,-173,-235,2008
Akram,1-2-2026,right,استقلال,medium,1767341718262,12812,10980,-592,727,749,105
Akram,1-2-2026,right,استقلال,medium,1767341718312,11100,9648,-472,410,1634,-1700
Akram,1-2-2026,right,استقلال,medium,1767341718363,12728,11364,1084,-1289,1771,370
Akram,1-2-2026,right,استقلال,medium,1767341718413,12372,11564,-24,17,358,295
Akram,1-2-2026,right,استقلال,medium,1767341718463,13080,10352,-2364,488,-953,-1212
Akram,1-2-2026,right,استقلال,medium,1767341718513,12732,10132,-668,197,-92,-298
Akram,1-2-2026,right,استقلال,medium,1767341718564,12228,10276,2604,845,-540,-84
Akram,1-2-2026,right,استقلال,medium,1767341718616,11044,11164,1448,1230,-1716,258
Akram,1-2-2026,right,استقلال,medium,1767341718665,12360,10836,-332,330,-551,249
Akram,1-2-2026,right,استقلال,medium,1767341718716,12040,10944,-408,47,33,334
Akram,1-2-2026,right,استقلال,medium,1767341718765,12076,11072,-540,191,144,-272
Akram,1-2-2026,right,استقلال,medium,1767341718815,12876,10288,-1984,739,869,-989
Akram,1-2-2026,right,استقلال,medium,1767341718865,12052,11536,2524,68,288,-290
Akram,1-2-2026,right,استقلال,medium,1767341718916,12156,10756,-716,120,-614,416
Akram,1-2-2026,right,استقلال,medium,1767341718965,12656,10096,-592,137,-179,1228
Akram,1-2-2026,right,استقلال,medium,1767341719015,12136,10968,-816,-147,545,399
Akram,1-2-2026,right,استقلال,medium,1767341719065,12016,11112,-816,255,586,-132
Akram,1-2-2026,right,استقلال,medium,1767341719115,11788,10852,-1468,964,154,-1402
Akram,1-2-2026,right,استقلال,medium,1767341719165,12952,10952,24,1110,1642,-170
Akram,1-2-2026,right,استقلال,medium,1767341719215,11960,11556,352,329,-940,303
Akram,1-2-2026,right,استقلال,medium,1767341719265,12260,11232,-588,102,825,603
