student,student_id,hand,sample,quality,timestamp_ms,ax,ay,az,gx,gy,gz
Akram,1-2-2026,right,اقتصاد,good,1767342943396,11512,10544,4456,309,700,-504
Akram,1-2-2026,right,اقتصاد,good,1767342943446,10924,11596,4740,-355,1562,-1069
Akram,1-2-2026,right,اقتصاد,good,1767342943486,10900,11596,5088,20,-1058,-498
Akram,1-2-2026,right,اقتصاد,good,1767342943536,11384,11680,4512,-154,-417,-69
Akram,1-2-2026,right,اقتصاد,good,1767342943586,11716,10732,5436,-188,-253,-460
Akram,1-2-2026,right,اقتصاد,good,1767342943645,10088,13444,3960,1424,-2382,-1595
Akram,1-2-2026,right,اقتصاد,good,1767342943686,9188,13592,4324,1595,-2131,-1162
Akram,1-2-2026,right,اقتصاد,good,1767342943746,11936,10920,4192,341,-1875,1265
Akram,1-2-2026,right,اقتصاد,good,1767342943795,11308,11012,4868,-26,-3596,1736
Akram,1-2-2026,right,اقتصاد,good,1767342943846,10912,10636,3612,-405,-312,472
Akram,1-2-2026,right,اقتصاد,good,1767342943895,11612,10612,3396,309,57,-402
Akram,1-2-2026,right,اقتصاد,good,1767342943946,11332,11156,4028,-71,-21,-663
Akram,1-2-2026,right,اقتصاد,good,1767342943996,11580,11584,3236,-366,2092,-827
Akram,1-2-2026,right,اقتصاد,good,1767342944045,11076,12184,5884,-655,2928,-292
Akram,1-2-2026,right,اقتصاد,good,1767342944097,11028,11744,4200,1026,-723,-28
Akram,1-2-2026,right,اقتصاد,good,1767342944145,11000,12036,4084,754,-1044,-329
Akram,1-2-2026,right,اقتصاد,good,1767342944196,10188,11680,3148,-1427,56,-196
Akram,1-2-2026,right,اقتصاد,good,1767342944245,11508,11068,3272,-923,2214,-493
Akram,1-2-2026,right,اقتصاد,good,1767342944296,10688,11964,3936,416,1776,246
Akram,1-2-2026,right,اقتصاد,good,1767342944345,9604,11860,2636,3681,-388,-698
Akram,1-2-2026,right,اقتصاد,good,1767342944396,11296,12492,4436,856,-2212,1279
Akram,1-2-2026,right,اقتصاد,good,1767342944446,15344,11396,4336,-3699,-1983,6542
Akram,1-2-2026,right,اقتصاد,good,1767342944495,9976,8584,2196,1336,127,-566
Akram,1-2-2026,right,اقتصاد,good,1767342944546,10832,10996,3704,1778,917,-2224
Akram,1-2-2026,right,اقتصاد,good,1767342944595,10704,12216,4264,-278,613,-526
Akram,1-2-2026,right,اقتصاد,good,1767342944636,11544,11564,3760,682,-787,-97
Akram,1-2-2026,right,اقتصاد,good,1767342944695,11480,11280,3872,-324,-760,280
Akram,1-2-2026,right,اقتصاد,good,1767342944747,11088,11984,4004,-1311,-1362,560
Akram,1-2-2026,right,اقتصاد,good,1767342944795,11432,12056,2724,-199,1902,-265
Akram,1-2-2026,right,اقتصاد,good,1767342944846,11676,11288,3028,1086,1400,-1028
Akram,1-2-2026,right,اقتصاد,good,1767342944896,12240,9448,1500,3246,-13,9
Akram,1-2-2026,right,اقتصاد,good,1767342944946,11840,11244,1796,1997,949,123
Akram,1-2-2026,right,اقتصاد,good,1767342944995,11136,11912,4644,2048,-1005,1157
Akram,1-2-2026,right,اقتصاد,good,1767342945046,12116,12152,6420,-2114,-921,2731
Akram,1-2-2026,right,اقتصاد,good,1767342945086,11528,8768,1924,-2791,2024,3354
