student,student_id,hand,sample,quality,timestamp_ms,ax,ay,az,gx,gy,gz
Akram,1-2-2026,right,اقتصاد,medium,1767343006738,11084,11652,6128,-943,34,-871
Akram,1-2-2026,right,اقتصاد,medium,1767343006795,10904,11148,6012,-279,-2064,260
Akram,1-2-2026,right,اقتصاد,medium,1767343006845,12464,11056,5576,-171,-512,-918
Akram,1-2-2026,right,اقتصاد,medium,1767343006894,8836,11724,5600,-133,-11,-2127
Akram,1-2-2026,right,اقتصاد,medium,1767343006944,12460,10480,5196,822,175,251
Akram,1-2-2026,right,اقتصاد,medium,1767343006995,10768,12080,5384,981,-2292,493
Akram,1-2-2026,right,اقتصاد,medium,1767343007040,12012,10404,5740,886,-3360,2553
Akram,1-2-2026,right,اقتصاد,medium,1767343007086,10948,9952,3912,533,136,-512
Akram,1-2-2026,right,اقتصاد,medium,1767343007136,11028,10692,4756,42,-1081,-643
Akram,1-2-2026,right,اقتصاد,medium,1767343007187,12388,11184,4104,265,277,-584
Akram,1-2-2026,right,اقتصاد,medium,1767343007236,11712,11196,3796,-526,3675,-59
Akram,1-2-2026,right,اقتصاد,medium,1767343007287,11240,11264,5944,402,946,14
Akram,1-2-2026,right,اقتصاد,medium,1767343007337,11688,11896,6420,977,-1085,-942
Akram,1-2-2026,right,اقتصاد,medium,1767343007387,13348,10048,1656,-1300,-1513,-158
Akram,1-2-2026,right,اقتصاد,medium,1767343007445,10944,10780,5696,-162,3526,-1070
Akram,1-2-2026,right,اقتصاد,medium,1767343007486,10316,11688,12676,3038,-1596,374
Akram,1-2-2026,right,اقتصاد,medium,1767343007536,11036,11940,5228,1883,289,286
Akram,1-2-2026,right,اقتصاد,medium,1767343007587,11540,12196,6684,-530,-2312,1537
Akram,1-2-2026,right,اقتصاد,medium,1767343007645,10804,9384,2144,114,-660,1145
Akram,1-2-2026,right,اقتصاد,medium,1767343007687,10984,10716,4824,980,861,-947
Akram,1-2-2026,right,اقتصاد,medium,1767343007737,11172,11896,4664,233,1225,-80
Akram,1-2-2026,right,اقتصاد,medium,1767343007787,10976,12460,5348,-24,1151,-764
Akram,1-2-2026,right,اقتصاد,medium,1767343007837,11252,11864,3868,481,147,499
