student,student_id,hand,sample,quality,timestamp_ms,ax,ay,az,gx,gy,gz
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767345392520,9528,10108,6280,604,1308,-2769
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767345392568,9732,11140,6908,-1952,1990,-961
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767345392619,10080,12456,7912,473,966,-237
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767345392670,11128,10460,8580,802,-1407,-3324
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767345392719,12220,11068,7304,1207,-3549,1530
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767345392769,9752,7156,6268,-1757,-145,4221
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767345392820,9320,10332,6796,414,3454,-3326
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767345392869,9196,12344,7424,-517,2446,-418
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767345392920,7424,11272,9640,2702,-4818,-1108
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767345392970,12648,9628,6900,-139,386,-306
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767345393019,9484,10744,9232,931,1146,37
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767345393070,9148,11388,7940,916,-1793,995
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767345393119,11644,11324,5820,-641,2038,13
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767345393169,9812,9332,6328,4767,2619,2015
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767345393220,8120,12736,8864,2324,-5119,816
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767345393269,11688,9360,5564,-2159,-2484,3663
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767345393319,8108,7792,2808,-84,5253,-5362
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767345393369,9492,12420,8688,996,49,-885
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767345393419,9588,10548,8424,-1685,-120,-393
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767345393470,10140,12460,5600,-2706,815,146
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767345393520,9636,10348,7752,3248,-683,-610
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767345393570,11932,10312,4980,1706,3721,347
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767345393619,8200,12448,8124,434,1689,1872
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767345393672,7996,11952,11288,-1665,-3491,43
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767345393720,12272,11420,4352,373,1033,-346
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767345393769,11128,10660,3048,1560,2353,-238
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767345393819,12532,9428,4708,3691,264,1543
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767345393871,10888,9712,8492,805,-2050,1380
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767345393919,10096,11536,6812,-1699,2010,2891
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767345393970,9328,13120,6864,-828,1550,110
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767345394019,14288,11760,2368,4530,-3876,-1914
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767345394072,10364,10416,7624,465,476,-57
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767345394120,9812,12168,6900,842,-233,941
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767345394169,10328,11664,5404,1630,-411,52
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767345394220,13216,10188,8152,2725,209,1369
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767345394270,8664,13000,9080,719,-134,-234
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767345394319,11044,8356,2684,746,-366,675
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767345394370,9016,13424,9108,-2004,4761,-2042
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767345394420,8488,12500,5236,-600,-3280,-926
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767345394469,13256,11208,2516,2259,1531,2020
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767345394519,7224,7044,7208,-420,2449,-909
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767345394569,9504,14480,7424,-21,35,1356
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767345394619,10284,13096,6936,-86,-2266,-1108
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767345394669,13332,8484,1672,3354,2748,-664
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767345394720,8400,12348,7564,749,1995,-1265
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767345394770,10436,12148,4580,744,-1671,-1716
