student,student_id,hand,sample,quality,timestamp_ms,ax,ay,az,gx,gy,gz
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345370570,10568,10408,6640,-254,-268,-1333
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345370616,10224,10836,7324,-1806,-1419,-1433
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345370666,11728,10504,6304,-1448,-2541,-39
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345370716,11468,10696,6100,-1737,-2495,646
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345370766,11484,10176,6004,-1025,-1867,424
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345370817,11324,9600,6180,-174,99,42
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345370867,11460,9980,5560,-599,1831,-1089
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345370916,9692,10216,6684,237,1940,-3897
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345370970,10632,11700,6860,-698,-79,-1339
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345371016,11148,11900,6928,-1070,1787,-1416
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345371069,11648,13340,8244,895,609,-3081
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345371116,11768,10928,6720,777,-3458,398
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345371166,13312,9044,5688,1637,-2157,4536
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345371217,10144,7880,6504,-940,-611,1592
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345371266,13044,12760,7228,575,3959,25
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345371317,9044,12444,8368,-584,2682,-948
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345371366,9472,12208,7616,630,-1659,-943
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345371420,10128,12336,6540,-60,1006,-1590
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345371467,13144,10256,6588,-688,465,-450
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345371520,10748,11244,8936,1820,252,499
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345371570,10200,10224,7300,788,-1156,763
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345371620,10352,11612,5848,14,-100,244
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345371670,10424,11956,5532,-339,862,227
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345371720,12692,9628,3524,4126,-517,646
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345371770,10960,10908,5960,2899,-23,447
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345371820,11760,12116,8608,-557,-1966,1495
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345371870,8544,7020,3088,-2808,2830,1076
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345371920,9028,15108,6808,-3043,3532,-1115
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345371971,10160,12224,9692,-676,-1661,-930
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345372020,12268,10500,3352,-684,385,-66
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345372069,11980,11476,6128,-1155,347,245
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345372119,8696,11528,4684,835,-724,1747
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345372170,11296,7388,4104,5386,2059,-3387
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345372220,11400,11700,7048,-458,1178,-687
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345372270,11104,11172,5672,-283,2421,1095
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345372320,10192,12036,6872,169,-322,189
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345372370,8816,13524,10692,-2782,-1649,-1074
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345372420,12464,10552,4520,265,117,-27
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345372466,11188,11968,-1148,3612,3331,-555
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345372519,10656,11152,7612,3480,-96,-149
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345372569,11124,10656,7076,1054,454,402
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345372617,10696,11648,5200,176,-309,146
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345372671,11444,10648,7756,-3447,1223,1541
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345372717,10700,11268,5860,-108,1379,1445
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345372767,10816,12472,6860,2307,209,-2027
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345372817,13516,9596,6520,120,556,-431
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345372867,12088,10052,4412,771,981,333
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345372917,11144,11112,5296,-370,456,1166
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345372967,10644,11536,5384,262,625,589
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345373016,12492,10608,4108,2627,1388,385
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345373066,10140,11844,7232,1473,789,-512
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345373116,10948,12952,6164,-307,-134,284
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345373166,9108,7576,3784,1086,626,-1080
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345373216,11304,12244,6860,-695,2449,-989
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345373266,9232,13072,10004,-1870,-1647,-2112
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345373320,11540,11804,2752,-1280,1309,330
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345373366,11576,9296,4748,-189,-458,4444
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345373416,8952,8420,6092,2733,2949,-1586
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345373466,10636,11136,6188,-230,2076,448
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345373520,10344,11804,6852,345,-2447,552
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345373566,11160,11868,4968,-1365,-2449,-136
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345373617,10808,12012,1592,1893,1415,-630
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345373667,13668,8992,5156,2940,3380,304
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345373719,9532,12696,6716,1887,3037,-940
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345373765,11788,12292,6064,1018,242,-2728
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345373817,15212,12500,5912,-3079,733,4851
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345373870,12000,8092,4680,-98,-2248,5429
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345373920,10172,10172,5928,1161,2060,688
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345373970,9260,11152,6696,163,2375,-68
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345374020,26836,16532,10696,-5125,8039,473
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345374070,9672,12832,6612,2339,1887,-257
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345374119,8464,15904,4208,1880,-1991,-2387
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345374170,12900,11332,5544,833,-519,-767
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345374220,10624,9872,5856,-1929,-1040,3356
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345374270,7940,8572,4808,1866,1505,-1093
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345374320,10552,12524,8032,-1458,3496,-50
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345374370,9560,12548,6800,1865,335,553
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345374420,11156,9020,4288,750,1110,-2967
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345374470,11436,10364,6836,-649,1731,-899
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345374520,11084,12104,4636,3756,-654,1344
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345374569,7740,12660,10176,-266,-214,459
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345374620,11020,12016,5288,-3005,-760,3843
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345374670,8460,6884,3688,3147,2016,-2227
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345374720,10084,11964,8580,-1408,1710,-1266
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345374770,9600,12144,9732,-1010,-1915,-1084
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345374820,10284,12700,6348,-544,941,-661
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345374871,11740,10968,3320,768,1637,-98
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345374917,10240,11300,900,2607,2824,1765
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345374969,9164,12260,8544,1030,-951,131
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345375020,11164,13776,6768,-3245,-1214,1947
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345375066,8436,5988,3096,3225,2379,-4356
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345375116,10228,12924,7472,567,3110,-1649
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345375167,10536,12756,6192,430,486,-627
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345375217,14508,11504,7064,-1041,-1171,4020
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345375270,8088,8276,4428,-244,-1520,2626
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345375316,7468,16416,6544,-3334,4489,-620
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345375366,9748,12380,6464,1172,-276,-466
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345375416,11908,10296,5696,334,663,-397
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345375466,11276,11880,7744,2610,271,1282
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345375516,9244,12712,8352,1428,-102,442
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345375567,11544,14008,8244,-3183,-1130,2062
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345375616,9484,6740,2360,2867,437,-442
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345375667,9276,13680,6768,-2322,3621,-2253
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345375715,10284,12580,6532,-635,457,-2511
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345375766,11268,11568,5672,-1020,175,-49
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345375817,13048,9916,6588,-2037,-2953,5383
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345375866,6212,7424,4036,3623,4126,-3437
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345375917,9552,12900,8352,820,720,-331
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345375966,10076,12560,7200,776,182,-1210
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345376020,12404,11064,4100,1801,935,-170
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345376067,7320,12364,8928,345,930,131
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345376116,11868,13100,8596,-686,-2460,1882
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345376170,10228,9504,5196,264,-1390,2586
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345376221,11012,10816,6176,-548,236,465
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345376270,9072,9968,6348,1200,23,-1583
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345376320,10092,12544,5620,-1541,1294,-499
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345376370,10296,11480,5220,-596,2367,-421
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345376420,10000,11744,7412,528,92,-109
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345376470,11952,10624,6216,1359,-821,299
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345376519,10768,11636,3928,1298,845,149
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345376570,12304,10996,3532,1734,172,674
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345376620,9464,12744,8100,505,-94,106
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345376670,11080,12740,6968,-705,-809,1872
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345376720,9020,7388,4368,1972,1577,-2270
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345376769,10656,12404,7528,-1202,2625,-1658
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345376820,10020,13704,7196,-899,-130,-1666
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345376870,11276,11268,4924,-321,-281,866
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345376920,10036,9516,6840,-1016,-2908,1979
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345376971,12196,14508,6824,-2497,3971,1426
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345377019,8476,13128,8432,536,408,-512
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345377070,10024,11784,6208,-2856,-2413,362
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345377121,10956,11980,4372,-7,1085,-256
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345377169,11248,10156,5336,2541,669,-468
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345377220,11996,10940,4080,3816,731,759
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345377270,9264,12604,7908,377,-1165,-26
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345377320,11012,10736,5120,-4411,-29,2820
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345377370,8188,7972,4228,1058,1588,-3829
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345377420,10588,12244,7648,-789,98,-366
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345377470,10780,13088,4756,974,860,-825
Akram,1-2-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767345377520,11052,8180,4976,120,-1246,2493
