student,student_id,hand,sample,quality,timestamp_ms,ax,ay,az,gx,gy,gz
Akram,1-2-2026,right,العلم أساس تقدم المجتمعات,good,1767345511234,10660,12000,6880,-1248,1708,-1083
Akram,1-2-2026,right,العلم أساس تقدم المجتمعات,good,1767345511284,9940,11348,6868,-766,-33,-323
Akram,1-2-2026,right,العلم أساس تقدم المجتمعات,good,1767345511335,10056,12528,7828,131,2112,-1641
Akram,1-2-2026,right,العلم أساس تقدم المجتمعات,good,1767345511385,10776,9232,7072,899,-361,-1317
Akram,1-2-2026,right,العلم أساس تقدم المجتمعات,good,1767345511436,12276,9496,7568,965,-972,658
Akram,1-2-2026,right,العلم أساس تقدم المجتمعات,good,1767345511483,10348,11356,6756,700,-2340,905
Akram,1-2-2026,right,العلم أساس تقدم المجتمعات,good,1767345511534,10712,11728,7512,-1764,-214,2941
Akram,1-2-2026,right,العلم أساس تقدم المجتمعات,good,1767345511585,9444,9804,6500,45,302,1558
Akram,1-2-2026,right,العلم أساس تقدم المجتمعات,good,1767345511634,8956,11024,5936,436,676,-1836
Akram,1-2-2026,right,العلم أساس تقدم المجتمعات,good,1767345511684,9700,12064,7072,-996,1457,-491
Akram,1-2-2026,right,العلم أساس تقدم المجتمعات,good,1767345511734,9600,11764,6936,549,-913,547
Akram,1-2-2026,right,العلم أساس تقدم المجتمعات,good,1767345511785,9492,13496,6440,857,3005,-2548
Akram,1-2-2026,right,العلم أساس تقدم المجتمعات,good,1767345511836,11508,9640,5648,1214,941,-1429
Akram,1-2-2026,right,العلم أساس تقدم المجتمعات,good,1767345511884,10624,11156,7224,-302,1498,-114
Akram,1-2-2026,right,العلم أساس تقدم المجتمعات,good,1767345511936,10552,11036,7548,1498,-286,738
Akram,1-2-2026,right,العلم أساس تقدم المجتمعات,good,1767345511986,10684,10920,8504,1468,582,1039
Akram,1-2-2026,right,العلم أساس تقدم المجتمعات,good,1767345512036,10228,10236,7280,14,745,1059
Akram,1-2-2026,right,العلم أساس تقدم المجتمعات,good,1767345512084,8840,12192,7224,-43,223,50
Akram,1-2-2026,right,العلم أساس تقدم المجتمعات,good,1767345512134,9792,11400,7220,-288,-1635,-332
Akram,1-2-2026,right,العلم أساس تقدم المجتمعات,good,1767345512185,10456,10688,4428,-1362,-703,-713
Akram,1-2-2026,right,العلم أساس تقدم المجتمعات,good,1767345512234,10396,11252,6604,-516,4280,-463
Akram,1-2-2026,right,العلم أساس تقدم المجتمعات,good,1767345512285,9000,12416,5136,2385,1446,162
Akram,1-2-2026,right,العلم أساس تقدم المجتمعات,good,1767345512334,10028,11520,6784,2778,1001,-469
Akram,1-2-2026,right,العلم أساس تقدم المجتمعات,good,1767345512387,9760,11424,9420,2034,550,623
Akram,1-2-2026,right,العلم أساس تقدم المجتمعات,good,1767345512434,10948,10984,6996,66,378,951
Akram,1-2-2026,right,العلم أساس تقدم المجتمعات,good,1767345512484,10268,12256,6812,-2507,-640,2447
Akram,1-2-2026,right,العلم أساس تقدم المجتمعات,good,1767345512533,10060,11420,7628,-1478,430,737
Akram,1-2-2026,right,العلم أساس تقدم المجتمعات,good,1767345512584,9104,12732,7036,1380,-883,-423
Akram,1-2-2026,right,العلم أساس تقدم المجتمعات,good,1767345512634,8844,12236,7072,802,678,-1716
Akram,1-2-2026,right,العلم أساس تقدم المجتمعات,good,1767345512684,11220,11136,10324,775,1657,-1145
Akram,1-2-2026,right,العلم أساس تقدم المجتمعات,good,1767345512734,11080,10444,7260,-177,1892,12
Akram,1-2-2026,right,العلم أساس تقدم المجتمعات,good,1767345512784,9260,11412,7496,1861,641,910
Akram,1-2-2026,right,العلم أساس تقدم المجتمعات,good,1767345512834,9796,11700,6932,-606,-1722,1039
Akram,1-2-2026,right,العلم أساس تقدم المجتمعات,good,1767345512885,8816,13148,8016,-443,1309,74
Akram,1-2-2026,right,العلم أساس تقدم المجتمعات,good,1767345512934,9084,12164,7236,424,-989,-62
Akram,1-2-2026,right,العلم أساس تقدم المجتمعات,good,1767345512984,10492,11844,5876,396,767,-551
Akram,1-2-2026,right,العلم أساس تقدم المجتمعات,good,1767345513034,10712,11064,6268,-293,1704,-183
Akram,1-2-2026,right,العلم أساس تقدم المجتمعات,good,1767345513083,10396,11148,6112,745,131,357
Akram,1-2-2026,right,العلم أساس تقدم المجتمعات,good,1767345513134,8744,12012,7476,-749,-1340,369
Akram,1-2-2026,right,العلم أساس تقدم المجتمعات,good,1767345513184,11284,10924,7036,-1641,991,605
Akram,1-2-2026,right,العلم أساس تقدم المجتمعات,good,1767345513234,10028,11688,5740,-644,1573,601
Akram,1-2-2026,right,العلم أساس تقدم المجتمعات,good,1767345513283,8640,12000,7468,5209,1225,-318
Akram,1-2-2026,right,العلم أساس تقدم المجتمعات,good,1767345513333,8748,12676,6344,1999,819,-1829
Akram,1-2-2026,right,العلم أساس تقدم المجتمعات,good,1767345513384,10776,12228,6652,1193,140,-1340
Akram,1-2-2026,right,العلم أساس تقدم المجتمعات,good,1767345513435,11864,11956,8084,602,-41,1725
Akram,1-2-2026,right,العلم أساس تقدم المجتمعات,good,1767345513484,11076,9868,7284,-3284,-3538,4551
Akram,1-2-2026,right,العلم أساس تقدم المجتمعات,good,1767345513534,8444,10716,4744,320,-273,73
