student,student_id,hand,sample,quality,timestamp_ms,ax,ay,az,gx,gy,gz
Akram,1-2-2026,right,جامعة,good,1767343671683,11836,10484,6460,-6,204,-15
Akram,1-2-2026,right,جامعة,good,1767343671723,11464,10212,6504,54,27,-49
Akram,1-2-2026,right,جامعة,good,1767343671773,11680,10224,6156,31,362,-187
Akram,1-2-2026,right,جامعة,good,1767343671823,11356,10032,6500,-105,198,-173
Akram,1-2-2026,right,جامعة,good,1767343671874,11596,9988,5988,399,-14,-644
Akram,1-2-2026,right,جامعة,good,1767343671924,11116,9568,6408,524,382,-1501
Akram,1-2-2026,right,جامعة,good,1767343671973,10876,10740,5892,-469,1100,-1093
Akram,1-2-2026,right,جامعة,good,1767343672024,11064,10712,6612,-973,1044,-626
Akram,1-2-2026,right,جامعة,good,1767343672074,10604,11732,6444,499,2002,-1019
Akram,1-2-2026,right,جامعة,good,1767343672133,12124,9548,6992,161,2273,-1161
Akram,1-2-2026,right,جامعة,good,1767343672174,11724,9804,7056,256,-956,-612
Akram,1-2-2026,right,جامعة,good,1767343672225,11500,10140,6748,806,-1825,466
Akram,1-2-2026,right,جامعة,good,1767343672283,10928,10556,7324,2982,-2322,1300
Akram,1-2-2026,right,جامعة,good,1767343672335,14284,10640,6888,-447,-3386,4568
Akram,1-2-2026,right,جامعة,good,1767343672383,10016,8968,3880,-442,-545,2482
Akram,1-2-2026,right,جامعة,good,1767343672434,12104,11192,6772,744,611,-303
Akram,1-2-2026,right,جامعة,good,1767343672483,10884,9516,5364,648,-791,-1013
Akram,1-2-2026,right,جامعة,good,1767343672535,12452,10764,6292,-1048,1469,-559
Akram,1-2-2026,right,جامعة,good,1767343672584,11448,10780,6284,-333,1113,-294
Akram,1-2-2026,right,جامعة,good,1767343672633,11672,10660,5992,-660,1127,411
Akram,1-2-2026,right,جامعة,good,1767343672684,13088,9528,5908,937,390,-1150
Akram,1-2-2026,right,جامعة,good,1767343672734,11604,9704,6092,609,429,-768
Akram,1-2-2026,right,جامعة,good,1767343672784,11384,9988,6336,259,576,-745
Akram,1-2-2026,right,جامعة,good,1767343672836,11380,10724,6928,822,1090,-491
Akram,1-2-2026,right,جامعة,good,1767343672884,11440,10192,9444,463,-923,126
Akram,1-2-2026,right,جامعة,good,1767343672934,10248,10968,8704,-321,1232,282
Akram,1-2-2026,right,جامعة,good,1767343672984,11168,10648,6408,-92,-291,-81
Akram,1-2-2026,right,جامعة,good,1767343673035,11152,10820,5960,150,-339,-19
Akram,1-2-2026,right,جامعة,good,1767343673084,11444,10740,5868,-46,-49,143
Akram,1-2-2026,right,جامعة,good,1767343673134,11704,10272,5920,219,-307,409
Akram,1-2-2026,right,جامعة,good,1767343673183,10960,11860,5728,-256,-1015,407
Akram,1-2-2026,right,جامعة,good,1767343673234,10876,11432,5824,-427,-376,5
Akram,1-2-2026,right,جامعة,good,1767343673275,12044,9572,5724,188,-448,820
Akram,1-2-2026,right,جامعة,good,1767343673334,11016,10972,5544,-235,-1777,356
Akram,1-2-2026,right,جامعة,good,1767343673384,11372,11316,5484,155,1354,-223
Akram,1-2-2026,right,جامعة,good,1767343673436,10672,10536,6604,494,1620,-1088
Akram,1-2-2026,right,جامعة,good,1767343673483,12224,9528,5624,799,500,-433
Akram,1-2-2026,right,جامعة,good,1767343673533,11612,10524,6144,-4,1944,-215
Akram,1-2-2026,right,جامعة,good,1767343673585,10548,11152,5388,1632,-534,-282
Akram,1-2-2026,right,جامعة,good,1767343673635,11856,10564,5364,725,-267,117
Akram,1-2-2026,right,جامعة,good,1767343673684,11996,10128,4448,943,474,659
Akram,1-2-2026,right,جامعة,good,1767343673733,11256,10296,5416,-656,-72,1276
Akram,1-2-2026,right,جامعة,good,1767343673785,10916,11184,6528,-393,965,606
Akram,1-2-2026,right,جامعة,good,1767343673833,11460,10560,5856,531,-1126,192
Akram,1-2-2026,right,جامعة,good,1767343673885,10024,11660,13020,-3634,-34,-947
Akram,1-2-2026,right,جامعة,good,1767343673933,12340,10456,4760,-144,89,-305
Akram,1-2-2026,right,جامعة,good,1767343673984,11492,10704,5572,-538,1402,-61
Akram,1-2-2026,right,جامعة,good,1767343674033,11904,10260,5584,217,1389,-100
Akram,1-2-2026,right,جامعة,good,1767343674084,11276,11072,5124,197,2770,-452
Akram,1-2-2026,right,جامعة,good,1767343674133,11472,11004,3012,3127,2706,-242
Akram,1-2-2026,right,جامعة,good,1767343674184,10972,10768,6064,3141,1378,-61
Akram,1-2-2026,right,جامعة,good,1767343674233,11616,10216,5948,1164,1564,463
Akram,1-2-2026,right,جامعة,good,1767343674284,10988,10820,6352,1471,-1170,148
Akram,1-2-2026,right,جامعة,good,1767343674334,12572,11148,7328,-836,-4779,1014
Akram,1-2-2026,right,جامعة,good,1767343674384,10492,9040,4328,-4258,1493,3415
Akram,1-2-2026,right,جامعة,good,1767343674434,10236,8396,5268,920,-243,-3423
Akram,1-2-2026,right,جامعة,good,1767343674484,11672,12116,5840,-804,702,-927
Akram,1-2-2026,right,جامعة,good,1767343674534,11784,11184,5616,347,-337,275
Akram,1-2-2026,right,جامعة,good,1767343674583,11168,12400,5820,953,-71,-826
Akram,1-2-2026,right,جامعة,good,1767343674623,10520,10604,3912,2036,-1180,2672
Akram,1-2-2026,right,جامعة,good,1767343674674,11284,7080,4540,3822,3862,-3046
Akram,1-2-2026,right,جامعة,good,1767343674723,12216,11056,6672,855,1349,-2399
Akram,1-2-2026,right,جامعة,good,1767343674784,11300,10976,6188,-87,-375,312
Akram,1-2-2026,right,جامعة,good,1767343674833,12140,10608,5724,-813,1182,397
Akram,1-2-2026,right,جامعة,good,1767343674884,10964,11104,4568,-295,-182,1383
Akram,1-2-2026,right,جامعة,good,1767343674933,11392,10980,3368,1982,2467,475
Akram,1-2-2026,right,جامعة,good,1767343674986,10332,10884,7588,2887,-548,-457
Akram,1-2-2026,right,جامعة,good,1767343675034,10952,11156,6288,612,-1621,-1325
Akram,1-2-2026,right,جامعة,good,1767343675085,11440,10820,8588,-2425,-2521,-1234
Akram,1-2-2026,right,جامعة,good,1767343675134,15256,13144,5084,-2260,-1414,4308
Akram,1-2-2026,right,جامعة,good,1767343675184,10164,7804,3252,433,999,2162
Akram,1-2-2026,right,جامعة,good,1767343675234,12888,11184,6004,1711,1910,878
Akram,1-2-2026,right,جامعة,good,1767343675284,9464,9152,5896,641,947,-1726
Akram,1-2-2026,right,جامعة,good,1767343675333,10204,10208,7296,818,-1647,-98
Akram,1-2-2026,right,جامعة,good,1767343675384,11024,11120,7300,-978,-1180,99
Akram,1-2-2026,right,جامعة,good,1767343675433,11908,10636,5268,-474,885,-616
Akram,1-2-2026,right,جامعة,good,1767343675483,11944,10128,6100,-679,-285,-396
Akram,1-2-2026,right,جامعة,good,1767343675534,10788,11504,5136,-470,1215,130
Akram,1-2-2026,right,جامعة,good,1767343675587,14476,13308,8732,696,755,2801
Akram,1-2-2026,right,جامعة,good,1767343675634,12888,8592,2660,34,497,2530
Akram,1-2-2026,right,جامعة,good,1767343675684,10808,7372,3540,2541,642,620
Akram,1-2-2026,right,جامعة,good,1767343675733,10936,11756,10056,769,1939,-1148
Akram,1-2-2026,right,جامعة,good,1767343675787,9568,10860,7696,-508,-1926,-955
Akram,1-2-2026,right,جامعة,good,1767343675834,13784,11084,4448,-811,-866,-976
Akram,1-2-2026,right,جامعة,good,1767343675884,11440,10472,5868,-807,-646,-334
Akram,1-2-2026,right,جامعة,good,1767343675934,12040,10436,5072,-10,-457,-386
Akram,1-2-2026,right,جامعة,good,1767343675984,11484,10188,5200,-292,-145,-481
Akram,1-2-2026,right,جامعة,good,1767343676034,11444,10656,5808,-152,-256,-617
Akram,1-2-2026,right,جامعة,good,1767343676083,11516,10588,5336,-691,132,60
Akram,1-2-2026,right,جامعة,good,1767343676133,11532,10768,5596,-605,1159,-120
Akram,1-2-2026,right,جامعة,good,1767343676184,11248,10784,5848,-185,791,133
Akram,1-2-2026,right,جامعة,good,1767343676235,10416,11428,5508,414,2052,-1157
Akram,1-2-2026,right,جامعة,good,1767343676273,11504,11000,6092,686,1588,-1695
Akram,1-2-2026,right,جامعة,good,1767343676334,11728,11652,6536,651,553,-1370
Akram,1-2-2026,right,جامعة,good,1767343676383,11380,10144,6124,1016,-866,43
