student,student_id,hand,sample,quality,timestamp_ms,ax,ay,az,gx,gy,gz
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344087225,10160,12104,6244,-202,-117,594
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344087230,7556,10548,6364,712,930,-2854
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344087266,9244,15948,6696,-2142,3837,-1509
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344087309,7784,12944,6824,244,1642,-929
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344087359,9852,14020,5288,1506,4543,-3498
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344087415,10212,13668,5992,2355,1377,-582
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344087459,8968,12804,6808,1956,-2922,3317
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344087516,10008,10744,5924,-2665,-2702,3244
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344087559,10420,14312,7952,-1454,2450,-109
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344087609,8072,13244,7352,-147,1060,-1179
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344087658,8088,14248,5580,1589,2745,-1294
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344087709,11396,10680,6552,2633,3957,-2149
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344087759,9992,12476,7252,1080,701,206
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344087810,8768,12344,7376,-1172,-3234,2167
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344087859,7780,12088,8736,-3242,-1028,2481
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344087913,7884,13104,6444,-1071,1717,240
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344087966,8756,13012,6056,3016,2597,-1724
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344088016,10792,12352,5180,2598,2503,-917
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344088066,11012,11552,6572,306,447,981
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344088116,7676,13216,4320,80,-1486,1767
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344088169,7248,13116,7800,-136,160,-222
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344088216,8204,11768,5128,-2870,-2613,-5
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344088267,9680,13280,3748,415,4559,-2028
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344088315,8420,12140,6096,18,1528,-552
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344088367,10292,13628,3064,2652,2482,366
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344088416,6680,13956,10652,2442,-397,1402
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344088466,7692,13572,9080,-1050,-3866,1788
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344088516,9728,11188,4136,-3172,445,1312
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344088567,8604,13484,6336,-2263,2308,-559
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344088617,8128,13860,7604,552,-874,-396
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344088667,7948,15780,3376,2625,81,-147
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344088716,10052,8324,4352,3963,3158,-622
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344088770,8640,13808,8408,-3482,306,-1063
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344088816,8824,14260,4560,517,591,831
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344088866,9464,12128,2040,1998,1538,546
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344088917,6804,13200,8884,1405,-23,-340
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344088966,9800,14420,10488,-905,-4333,301
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344089018,12560,13552,3676,-4748,-1236,5349
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344089066,8612,8984,3880,1906,-220,1155
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344089116,13548,16644,8272,-3142,3372,-54
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344089166,9096,14404,7132,840,-930,-1148
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344089217,10892,11272,3092,180,-2215,598
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344089266,11808,12908,5420,-2483,589,1227
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344089309,7464,13276,7436,2534,-64,916
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344089366,9812,11960,6456,974,466,2717
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344089409,10532,10360,3816,1616,1170,1900
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344089459,6128,10928,7056,-516,3016,-4691
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344089516,9340,14760,7124,675,967,-358
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344089567,4460,16684,5180,2503,2555,-3337
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344089610,10052,12100,5840,2586,-621,-238
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344089659,11972,12780,7200,-2396,195,3798
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344089709,7464,9860,4784,-791,-1781,1722
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344089759,8836,14156,7108,-2042,2901,-347
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344089810,7680,15432,5888,4676,646,-2800
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344089859,10212,12740,4904,916,1773,-695
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344089914,9860,12568,5140,-115,55,1646
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344089959,8628,12596,6296,416,-1301,2077
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344090010,9012,12788,5728,100,447,840
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344090059,8576,12612,6160,1341,-1207,473
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344090116,7620,13448,7176,-949,-911,-317
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344090159,10540,12892,5984,136,1955,-1116
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344090209,8444,13164,6608,-96,1245,-144
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344090266,9356,13204,6360,477,1366,-175
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344090316,9276,12516,4780,1964,1464,668
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344090359,6052,13900,8516,-457,1323,116
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344090422,8080,13748,6584,96,-636,297
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344090465,8572,13176,5924,-156,562,344
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344090516,8344,13480,6540,444,456,-531
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344090566,9400,13072,5116,386,1455,-1023
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344090617,10288,12584,5992,30,1754,-283
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344090666,7432,13268,7136,2936,1011,303
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344090720,7676,13364,7820,640,-462,1556
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344090765,8408,14688,7736,-2661,-1278,1480
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344090821,10760,13300,4356,-1765,-865,4360
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344090866,7780,9904,4540,-1025,-29,472
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344090918,6320,11476,5788,2777,2233,-4719
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344090966,9952,15656,7952,-1157,1271,125
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344091016,7716,12856,6384,1316,1208,-1183
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344091067,9588,13016,6656,-141,938,-462
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344091116,11180,11796,5308,2010,-73,1718
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344091166,6720,14692,7832,1652,-421,50
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344091216,7540,13584,5632,-488,-601,1003
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344091267,7508,8496,3452,2169,2118,-4426
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344091318,8768,15516,7432,-1710,3482,-852
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344091367,7580,14352,6988,2685,673,-1708
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344091416,10328,12676,5892,-1847,-618,3340
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344091466,10492,10736,5384,-2868,-3251,5259
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344091560,4724,12268,5808,1014,1002,-2330
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344091567,8012,13952,8184,1103,-328,-461
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344091617,10164,11628,4460,1021,1498,-597
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344091667,10800,12060,11140,1048,761,1035
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344091716,6732,14136,7872,1574,-2470,1175
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344091766,9924,12672,5008,1020,-403,2175
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344091816,7708,10180,5372,2232,2218,-4297
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344091866,7556,13716,8924,-248,544,-1597
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344091916,8904,14400,4184,-451,211,-1918
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344091966,8608,13312,5540,-198,-265,1974
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344092016,8948,10720,4788,-584,-2535,3387
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344092066,8272,15952,6740,-5503,3771,418
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344092117,8596,13640,6604,1833,-321,-266
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344092168,8912,12436,4672,-2406,1811,1652
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344092216,8504,13464,4944,1481,926,1010
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344092266,6224,14012,7712,2817,-3581,-1466
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344092317,9672,12472,4592,-458,-1509,-513
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344092366,9720,13632,6912,-2381,-50,4442
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344092416,5896,9584,4496,-1285,-2695,1194
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344092466,12576,14724,8256,-4256,4155,1800
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344092516,8540,13380,6912,1386,572,-1437
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344092566,8412,12352,6228,-1074,79,-482
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344092616,9220,13016,4876,-2287,726,564
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344092667,8216,14568,4904,2755,789,940
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344092716,9224,11352,6180,3476,604,1370
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344092766,7100,10736,5392,1088,1139,-3508
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344092816,8692,14880,8028,-593,2100,-46
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344092866,7176,13060,7368,1457,1201,-408
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344092917,8032,12288,6140,932,-1990,-2027
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344092968,10976,12300,3296,-464,3071,-91
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344093016,7320,13772,10392,1389,2264,162
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344093066,7040,14872,10380,1465,-3729,1298
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344093116,9772,12700,4216,-301,-1140,3214
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344093166,8568,9852,4560,-951,-64,-416
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344093217,12648,16588,10308,-4136,1927,2146
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344093267,9108,13964,5800,1367,362,-1174
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344093316,6548,15188,6588,1564,285,-933
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344093366,8764,10552,3588,564,-587,1208
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344093417,10944,15616,8912,-4384,3972,71
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344093466,8308,14608,6460,1453,2309,-1241
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344093516,9968,12076,5328,62,3175,98
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344093566,7756,12840,6568,2481,-377,1191
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344093616,7512,13932,7364,517,-2779,2450
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344093666,9180,10000,5328,-2864,-195,1483
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344093716,9132,13844,9420,-5556,2618,83
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344093766,8276,14416,7020,1617,-1109,-106
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344093816,8236,13092,7088,2533,-298,-987
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344093866,10176,11540,5700,-902,771,435
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344093916,7300,13912,7000,-183,1291,-819
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344093960,8832,13020,6008,586,190,101
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344094016,11136,12428,8660,1584,1286,542
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,bad,1767344094065,7412,13508,6996,1617,-363,1654
