student,student_id,hand,sample,quality,timestamp_ms,ax,ay,az,gx,gy,gz
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767344005528,11524,10304,5592,308,288,-308
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767344005578,11748,10656,5784,520,355,-283
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767344005629,11516,10712,5908,-99,362,-63
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767344005680,11508,10480,5932,2,360,-81
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767344005729,11256,10288,5448,-142,696,-367
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767344005779,11512,10840,5640,-488,2237,-798
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767344005828,11068,11008,6044,-280,1672,-524
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767344005878,11244,11280,6336,-691,3163,-1078
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767344005929,9544,12020,6740,997,2859,-2175
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767344005978,9244,12852,7568,1116,1521,-1686
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767344006030,10768,10608,6488,746,-1115,188
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767344006079,10812,11312,6676,428,-2413,958
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767344006132,11880,10836,5216,1109,-2255,2140
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767344006179,11948,9340,5776,-1677,-3523,4453
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767344006228,9784,9708,6232,-137,1346,-1967
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767344006280,10468,11772,5244,-320,1725,-772
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767344006328,10808,11144,6736,3,2735,-606
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767344006379,11312,11164,7092,1990,1628,-1395
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767344006431,11612,11116,6916,674,1790,-1465
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767344006950,11700,10968,5504,185,1534,-644
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767344006951,11008,10476,4588,2643,633,-333
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767344006951,10516,10680,7268,265,-554,469
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767344006951,11592,10744,7404,-294,-2980,1683
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767344006952,10456,11844,6892,-1460,-655,1052
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767344006952,11656,10920,4720,-1652,1415,390
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767344006952,10604,10968,6292,-166,-204,452
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767344007166,11452,10804,6332,427,-245,-154
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767344007173,9912,11616,6452,-185,338,415
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767344007281,10528,11052,7036,672,-2561,310
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767344007282,13164,9704,3216,-1119,-820,198
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767344007317,11832,10808,5608,-17,2977,-836
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767344007572,11880,11320,3608,3862,3112,-554
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767344007607,11636,10796,6188,1094,2363,270
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767344007634,12752,10512,5460,3491,-1213,1297
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767344007634,10400,11984,7020,296,-2512,621
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767344007635,12364,11268,6236,-4858,-3027,4579
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767344007636,9760,8284,3596,-337,1796,-2911
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767344007806,11280,10972,7344,-3023,2034,-92
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767344007825,10940,11764,5952,1975,-579,708
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767344007844,11692,10944,6732,2146,808,859
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767344007845,11460,7680,4228,2801,2142,-1271
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767344007925,10472,11176,8732,-2029,1088,-764
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767344007968,10292,11980,5084,940,19,215
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767344007970,9380,13916,5268,-285,3328,580
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767344008023,9248,12940,10160,2162,2680,-1055
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767344008068,9048,12024,8104,2208,-3028,-1323
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767344008118,11568,11392,5972,-3093,-2055,157
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767344008168,15872,12696,5152,-1429,-1177,5160
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767344008217,9792,8892,4456,-403,193,2393
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767344008268,9824,10776,7056,1438,2491,-2250
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767344008368,13300,13648,6392,-2223,2754,1025
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767344008390,10628,11444,5996,192,1054,-605
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767344008418,10120,11724,8480,-1357,-865,-240
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767344008462,11668,10968,5200,33,-1748,-506
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767344008509,11364,11488,5108,-709,398,742
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767344008568,11408,12796,7304,1337,1166,2742
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767344008609,11076,8528,5192,1146,1708,2292
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767344008669,9160,9176,6300,1874,1530,-2382
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767344008718,8780,15180,7820,-4952,3730,181
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767344008766,9636,12404,6240,863,2636,-1395
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767344008818,11352,10720,8736,584,2308,-1356
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767344008867,11760,12148,5880,2895,-1534,-817
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767344008919,12304,10460,6768,-1268,-591,3029
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767344008967,10220,9880,7216,-2660,-3051,2703
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767344009020,14676,18884,10464,-1182,2180,1871
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767344009067,9996,12240,6512,1883,2235,-843
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767344009117,10876,12304,6636,1312,511,-1954
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767344009168,10224,11492,5184,856,2240,-1757
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767344009218,11044,10208,6312,1584,-64,113
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767344009268,11932,10432,4560,475,-590,1015
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767344009317,11460,10068,5088,89,134,1214
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767344009368,9856,12040,6652,-49,-382,423
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767344009418,10524,11048,5416,-835,-510,-419
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767344009467,11924,10500,5480,-274,2009,-244
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767344009518,10156,11472,6040,-30,1730,-651
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767344009568,10176,9576,2768,3887,1280,134
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767344009617,10936,11316,6648,1820,1759,476
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767344009668,10880,10984,7872,974,-2036,648
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767344009718,9768,11992,6240,307,-1006,546
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767344009767,9384,11944,6996,-92,1495,-440
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767344009819,11040,11304,6816,934,2611,-1329
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767344009867,10112,11148,6076,2477,1204,-836
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767344009921,10916,11472,4328,2395,-223,701
Akram,1-2-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767344009967,11068,11144,6888,241,-2778,2338
