student,student_id,hand,sample,quality,timestamp_ms,ax,ay,az,gx,gy,gz
Akram,1-2-2026,right,برنامج,bad,1767341915663,12160,10904,-268,66,105,-121
Akram,1-2-2026,right,برنامج,bad,1767341915712,12160,11112,-392,-42,124,-248
Akram,1-2-2026,right,برنامج,bad,1767341915762,12020,10912,-172,-66,-30,18
Akram,1-2-2026,right,برنامج,bad,1767341915813,12208,10564,-448,-131,78,85
Akram,1-2-2026,right,برنامج,bad,1767341915863,11636,10460,-356,-60,146,-1019
Akram,1-2-2026,right,برنامج,bad,1767341915912,12300,10776,-292,-621,713,349
Akram,1-2-2026,right,برنامج,bad,1767341915963,12112,11664,260,-947,1624,436
Akram,1-2-2026,right,برنامج,bad,1767341916013,11060,12208,240,554,-856,-1615
Akram,1-2-2026,right,برنامج,bad,1767341916063,13828,9292,-1224,227,1254,-12
Akram,1-2-2026,right,برنامج,bad,1767341916112,16784,6276,-6388,1627,2650,488
Akram,1-2-2026,right,برنامج,bad,1767341916162,11356,12416,1964,1575,-2059,191
Akram,1-2-2026,right,برنامج,bad,1767341916212,15556,11188,4,-842,-2032,3341
Akram,1-2-2026,right,برنامج,bad,1767341916262,11184,8804,-2524,-171,350,-631
Akram,1-2-2026,right,برنامج,bad,1767341916311,9512,12640,-636,-3377,4661,-547
Akram,1-2-2026,right,برنامج,bad,1767341916363,11256,12656,352,1669,-2239,-1448
Akram,1-2-2026,right,برنامج,bad,1767341916413,13580,12272,912,1874,-3432,2180
Akram,1-2-2026,right,برنامج,bad,1767341916462,10832,7388,-2236,-41,-193,5042
Akram,1-2-2026,right,برنامج,bad,1767341916512,9272,12744,-172,-2272,7094,-6730
Akram,1-2-2026,right,برنامج,bad,1767341916562,11732,11524,1656,958,601,17
Akram,1-2-2026,right,برنامج,bad,1767341916612,11320,12400,-1372,1455,-387,-1996
Akram,1-2-2026,right,برنامج,bad,1767341916662,15112,10724,-3172,2583,1136,-2423
Akram,1-2-2026,right,برنامج,bad,1767341916711,12812,11644,1160,1639,-1500,787
Akram,1-2-2026,right,برنامج,bad,1767341916762,12640,10000,-460,-580,-2466,5994
Akram,1-2-2026,right,برنامج,bad,1767341916812,10300,12532,1664,-839,5295,-3905
Akram,1-2-2026,right,برنامج,bad,1767341916862,11524,11128,1368,667,-113,-209
Akram,1-2-2026,right,برنامج,bad,1767341916912,11652,10520,-2332,430,2936,-1434
Akram,1-2-2026,right,برنامج,bad,1767341916963,15560,8120,-3592,4945,67,153
