student,student_id,hand,sample,quality,timestamp_ms,ax,ay,az,gx,gy,gz
Akram,1-2-2026,right,برنامج,medium,1767341871514,12060,10716,-1044,-493,392,-679
Akram,1-2-2026,right,برنامج,medium,1767341871565,11612,11676,-928,-1338,1542,-162
Akram,1-2-2026,right,برنامج,medium,1767341871613,11812,11416,40,-1061,1362,-21
Akram,1-2-2026,right,برنامج,medium,1767341871663,12208,11444,-488,-707,560,-262
Akram,1-2-2026,right,برنامج,medium,1767341871712,11864,11512,336,-600,1369,571
Akram,1-2-2026,right,برنامج,medium,1767341871763,12632,11104,712,252,-1068,-884
Akram,1-2-2026,right,برنامج,medium,1767341871814,12148,10992,-452,-87,223,-206
Akram,1-2-2026,right,برنامج,medium,1767341871863,11904,10776,352,907,1120,-1165
Akram,1-2-2026,right,برنامج,medium,1767341871913,10040,10956,208,4322,2201,-821
Akram,1-2-2026,right,برنامج,medium,1767341871963,11776,11784,1380,571,-1465,182
Akram,1-2-2026,right,برنامج,medium,1767341872013,14620,12124,640,-416,-2062,4219
Akram,1-2-2026,right,برنامج,medium,1767341872064,9848,7468,-3176,283,-1096,-2036
Akram,1-2-2026,right,برنامج,medium,1767341872113,9604,12796,-32,-3234,2988,-860
Akram,1-2-2026,right,برنامج,medium,1767341872163,11748,12036,144,633,96,246
Akram,1-2-2026,right,برنامج,medium,1767341872213,12280,12352,-324,1627,-1837,-243
Akram,1-2-2026,right,برنامج,medium,1767341872263,11452,11200,-1664,1121,-2029,5913
Akram,1-2-2026,right,برنامج,medium,1767341872314,8936,8192,-1600,1500,540,-1778
Akram,1-2-2026,right,برنامج,medium,1767341872363,12716,11820,-732,1027,2170,259
Akram,1-2-2026,right,برنامج,medium,1767341872413,11832,10000,-24,64,1087,-990
Akram,1-2-2026,right,برنامج,medium,1767341872463,12376,9848,-596,-313,1942,-2434
Akram,1-2-2026,right,برنامج,medium,1767341872514,11604,11860,916,-863,2134,207
Akram,1-2-2026,right,برنامج,medium,1767341872564,11616,11908,308,743,-1026,-332
Akram,1-2-2026,right,برنامج,medium,1767341872612,12324,12044,-480,-515,1127,-844
Akram,1-2-2026,right,برنامج,medium,1767341872663,10960,11704,-1164,541,-517,-1644
Akram,1-2-2026,right,برنامج,medium,1767341872713,11804,11252,-1556,782,418,-348
Akram,1-2-2026,right,برنامج,medium,1767341872763,11448,9196,48,3537,-315,409
Akram,1-2-2026,right,برنامج,medium,1767341872814,12952,11644,1752,-111,-1027,2148
Akram,1-2-2026,right,برنامج,medium,1767341872863,11316,10352,-2592,-750,2103,3300
Akram,1-2-2026,right,برنامج,medium,1767341872913,11688,10396,-168,342,1608,-744
Akram,1-2-2026,right,برنامج,medium,1767341872963,9888,12372,-864,-1263,1538,-44
Akram,1-2-2026,right,برنامج,medium,1767341873012,11824,12056,152,1012,945,-408
Akram,1-2-2026,right,برنامج,medium,1767341873062,11924,11464,-524,-650,529,-626
Akram,1-2-2026,right,برنامج,medium,1767341873113,12552,10676,0,25,1520,-769
Akram,1-2-2026,right,برنامج,medium,1767341873164,11348,9936,-644,3158,1555,-404
Akram,1-2-2026,right,برنامج,medium,1767341873213,12348,10808,-2384,1858,-17,207
Akram,1-2-2026,right,برنامج,medium,1767341873263,13288,11844,1508,54,-2889,1754
Akram,1-2-2026,right,برنامج,medium,1767341873312,9820,9640,-2124,-1718,106,3423
Akram,1-2-2026,right,برنامج,medium,1767341873363,10496,10372,-720,-1005,1569,-3488
Akram,1-2-2026,right,برنامج,medium,1767341873412,11468,12272,120,-1162,1675,-51
Akram,1-2-2026,right,برنامج,medium,1767341873462,11688,12860,-460,1102,-910,-237
Akram,1-2-2026,right,برنامج,medium,1767341873513,13300,10560,-240,1127,-810,1934
Akram,1-2-2026,right,برنامج,medium,1767341873562,11548,9156,-1084,2009,1893,-3164
Akram,1-2-2026,right,برنامج,medium,1767341873613,11196,12064,-1008,-499,1523,-549
Akram,1-2-2026,right,برنامج,medium,1767341873663,12268,11536,140,619,930,-164
Akram,1-2-2026,right,برنامج,medium,1767341873713,11184,12168,-568,-209,316,361
Akram,1-2-2026,right,برنامج,medium,1767341873763,11348,10824,920,-1209,1483,3403
Akram,1-2-2026,right,برنامج,medium,1767341873813,10584,13348,176,150,-1730,585
Akram,1-2-2026,right,برنامج,medium,1767341873864,11728,11720,-1256,2003,-1557,-2212
Akram,1-2-2026,right,برنامج,medium,1767341873913,11764,10548,-200,1324,1124,-475
Akram,1-2-2026,right,برنامج,medium,1767341873963,12072,9228,-148,1714,2919,-1665
Akram,1-2-2026,right,برنامج,medium,1767341874013,14156,11788,352,362,1575,61
Akram,1-2-2026,right,برنامج,medium,1767341874062,10284,13676,584,-17,251,-401
Akram,1-2-2026,right,برنامج,medium,1767341874113,12068,11388,-300,-275,-543,525
Akram,1-2-2026,right,برنامج,medium,1767341874162,11360,12104,-92,-355,1026,251
Akram,1-2-2026,right,برنامج,medium,1767341874212,11588,10676,-844,330,1034,-1092
Akram,1-2-2026,right,برنامج,medium,1767341874263,12388,10636,-804,319,730,-168
Akram,1-2-2026,right,برنامج,medium,1767341874312,12336,10756,568,297,-863,1326
Akram,1-2-2026,right,برنامج,medium,1767341874363,10948,12260,-848,-139,1259,729
Akram,1-2-2026,right,برنامج,medium,1767341874413,11692,11584,-1132,370,1459,183
Akram,1-2-2026,right,برنامج,medium,1767341874462,12568,11148,940,3140,1974,-1128
Akram,1-2-2026,right,برنامج,medium,1767341874514,11592,12476,1472,-703,673,196
Akram,1-2-2026,right,برنامج,medium,1767341874563,15812,12108,-2804,-1034,-761,5243
Akram,1-2-2026,right,برنامج,medium,1767341874613,8408,8136,-2020,772,301,-934
Akram,1-2-2026,right,برنامج,medium,1767341874663,22096,13396,1520,-257,5010,1607
Akram,1-2-2026,right,برنامج,medium,1767341874712,11844,11444,720,744,-1972,-344
Akram,1-2-2026,right,برنامج,medium,1767341874763,12024,10608,-3476,-1242,-1513,266
Akram,1-2-2026,right,برنامج,medium,1767341874813,11896,10892,-1596,-692,3458,479
Akram,1-2-2026,right,برنامج,medium,1767341874864,10880,12636,-4872,3504,1318,-2526
Akram,1-2-2026,right,برنامج,medium,1767341874914,12252,10616,2400,2483,2412,-1864
Akram,1-2-2026,right,برنامج,medium,1767341874963,11644,11732,-568,1790,-786,-2140
Akram,1-2-2026,right,برنامج,medium,1767341875013,11980,12348,-2772,-3269,-1568,131
Akram,1-2-2026,right,برنامج,medium,1767341875064,12824,10764,-2012,-1533,-338,2075
Akram,1-2-2026,right,برنامج,medium,1767341875114,8608,10204,-2160,-478,-1331,3676
Akram,1-2-2026,right,برنامج,medium,1767341875163,11892,10816,-184,285,1867,-2977
Akram,1-2-2026,right,برنامج,medium,1767341875214,10336,11516,-488,-1322,3770,-803
Akram,1-2-2026,right,برنامج,medium,1767341875263,12024,12544,-16,1721,-672,-691
Akram,1-2-2026,right,برنامج,medium,1767341875313,11604,12344,-720,-312,-594,523
Akram,1-2-2026,right,برنامج,medium,1767341875363,18096,12992,2004,1646,-3982,7039
Akram,1-2-2026,right,برنامج,medium,1767341875414,9540,8488,-1300,1818,-2956,1405
Akram,1-2-2026,right,برنامج,medium,1767341875463,13452,11412,-2204,-616,869,78
Akram,1-2-2026,right,برنامج,medium,1767341875513,11548,10540,-528,982,-618,-246
Akram,1-2-2026,right,برنامج,medium,1767341875563,12392,10896,-2164,350,-364,-122
Akram,1-2-2026,right,برنامج,medium,1767341875613,12080,11328,-1120,111,544,-12
Akram,1-2-2026,right,برنامج,medium,1767341875664,12124,10980,-1224,95,-211,289
Akram,1-2-2026,right,برنامج,medium,1767341875713,11972,11028,-1440,-15,97,-71
Akram,1-2-2026,right,برنامج,medium,1767341875763,12020,10928,-1544,-92,443,-106
