student,student_id,hand,sample,quality,timestamp_ms,ax,ay,az,gx,gy,gz
Akram,1-2-2026,right,تعليم,bad,1767343373041,11068,12324,3268,574,345,-728
Akram,1-2-2026,right,تعليم,bad,1767343373089,11932,11280,2720,447,1157,-582
Akram,1-2-2026,right,تعليم,bad,1767343373139,12540,10976,1192,6797,847,2227
Akram,1-2-2026,right,تعليم,bad,1767343373188,11924,12340,6516,2334,-2365,1274
Akram,1-2-2026,right,تعليم,bad,1767343373239,12600,9520,2124,-4800,-1660,4567
Akram,1-2-2026,right,تعليم,bad,1767343373289,9792,9028,1724,668,3800,-5461
Akram,1-2-2026,right,تعليم,bad,1767343373338,10828,12284,5328,427,-1547,-479
Akram,1-2-2026,right,تعليم,bad,1767343373388,13284,12320,1560,-1425,-1029,-590
Akram,1-2-2026,right,تعليم,bad,1767343373439,13504,11048,3940,-1021,2338,55
Akram,1-2-2026,right,تعليم,bad,1767343373488,8600,14392,3096,1554,-1494,1116
Akram,1-2-2026,right,تعليم,bad,1767343373539,12940,10220,3064,3711,113,-1052
Akram,1-2-2026,right,تعليم,bad,1767343373589,12372,10300,1816,1120,2951,-823
Akram,1-2-2026,right,تعليم,bad,1767343373639,10572,12208,5416,32,-265,-429
Akram,1-2-2026,right,تعليم,bad,1767343373688,12612,9832,2168,-561,929,1742
Akram,1-2-2026,right,تعليم,bad,1767343373738,10264,12160,4640,-222,-1933,629
Akram,1-2-2026,right,تعليم,bad,1767343373790,11996,11672,4380,-324,-3427,-661
Akram,1-2-2026,right,تعليم,bad,1767343373838,11820,11264,2588,-1786,2623,-181
Akram,1-2-2026,right,تعليم,bad,1767343373888,12400,10956,-1960,5310,1958,-688
Akram,1-2-2026,right,تعليم,bad,1767343373938,10992,11840,1156,2280,112,-597
Akram,1-2-2026,right,تعليم,bad,1767343373989,13164,11000,2916,967,199,1044
Akram,1-2-2026,right,تعليم,bad,1767343374037,13128,9956,4692,-3231,-502,2940
Akram,1-2-2026,right,تعليم,bad,1767343374088,11100,12172,2748,-906,-1170,900
Akram,1-2-2026,right,تعليم,bad,1767343374139,11740,11168,1280,2719,57,-3062
Akram,1-2-2026,right,تعليم,bad,1767343374190,12064,10660,3440,3031,1805,-1601
Akram,1-2-2026,right,تعليم,bad,1767343374238,11836,11480,3900,1346,-1583,-211
Akram,1-2-2026,right,تعليم,bad,1767343374288,11332,12172,580,-1155,1272,1738
Akram,1-2-2026,right,تعليم,bad,1767343374338,12076,11200,1012,3850,410,-341
Akram,1-2-2026,right,تعليم,bad,1767343374390,12496,10256,2292,3980,3306,354
Akram,1-2-2026,right,تعليم,bad,1767343374438,9588,13336,4828,-1209,-1387,1124
Akram,1-2-2026,right,تعليم,bad,1767343374488,11712,7320,-1088,1997,-1055,371
Akram,1-2-2026,right,تعليم,bad,1767343374543,11952,14848,3576,-3969,3121,-1572
Akram,1-2-2026,right,تعليم,bad,1767343374589,11316,13100,-220,1165,-3295,-127
Akram,1-2-2026,right,تعليم,bad,1767343374639,12712,11668,504,-814,2980,1781
Akram,1-2-2026,right,تعليم,bad,1767343374688,8520,7172,2596,1819,4025,1047
Akram,1-2-2026,right,تعليم,bad,1767343374738,8704,14240,3632,-575,-1921,-1466
Akram,1-2-2026,right,تعليم,bad,1767343374789,11060,12292,-436,-750,-2239,577
Akram,1-2-2026,right,تعليم,bad,1767343374839,11756,12060,1960,-941,153,453
Akram,1-2-2026,right,تعليم,bad,1767343374889,11500,8548,504,4777,-522,-2361
Akram,1-2-2026,right,تعليم,bad,1767343374940,10656,11780,8156,-25,4881,496
Akram,1-2-2026,right,تعليم,bad,1767343374989,9384,11096,1220,1868,-940,-1194
Akram,1-2-2026,right,تعليم,bad,1767343375039,17088,13304,3240,-1428,-116,5767
Akram,1-2-2026,right,تعليم,bad,1767343375088,11592,9076,2572,-1157,-3694,6148
Akram,1-2-2026,right,تعليم,bad,1767343375144,12220,10880,1112,500,1154,-759
Akram,1-2-2026,right,تعليم,bad,1767343375190,11772,11064,3388,192,377,172
Akram,1-2-2026,right,تعليم,bad,1767343375240,12280,10820,1624,353,469,13
Akram,1-2-2026,right,تعليم,bad,1767343375288,12332,11268,2572,-541,759,-44
Akram,1-2-2026,right,تعليم,bad,1767343375338,12320,11420,2880,-468,-672,2047
Akram,1-2-2026,right,تعليم,bad,1767343375389,12668,10880,2548,-861,-1308,3606
