student,student_id,hand,sample,quality,timestamp_ms,ax,ay,az,gx,gy,gz
Akram,1-2-2026,right,تعليم,medium,1767343243891,11492,11092,3756,-162,439,-712
Akram,1-2-2026,right,تعليم,medium,1767343243940,11672,11548,4024,-759,1020,-896
Akram,1-2-2026,right,تعليم,medium,1767343243991,11484,11484,4168,-987,868,-381
Akram,1-2-2026,right,تعليم,medium,1767343244042,11492,11408,4596,-341,-32,37
Akram,1-2-2026,right,تعليم,medium,1767343244091,11396,11160,4204,524,-22,-114
Akram,1-2-2026,right,تعليم,medium,1767343244140,11300,11016,4328,40,258,-469
Akram,1-2-2026,right,تعليم,medium,1767343244191,12092,10056,4340,312,441,374
Akram,1-2-2026,right,تعليم,medium,1767343244240,11776,11324,3728,272,304,15
Akram,1-2-2026,right,تعليم,medium,1767343244291,12520,10136,2212,1929,1022,370
Akram,1-2-2026,right,تعليم,medium,1767343244341,10036,12352,5468,1087,942,617
Akram,1-2-2026,right,تعليم,medium,1767343244391,11088,11836,4808,1812,-1673,784
Akram,1-2-2026,right,تعليم,medium,1767343244441,11456,11792,4056,1638,-2729,1277
Akram,1-2-2026,right,تعليم,medium,1767343244491,13684,11596,3796,-1969,-1134,2903
Akram,1-2-2026,right,تعليم,medium,1767343244538,10324,9392,856,-1040,-180,1287
Akram,1-2-2026,right,تعليم,medium,1767343244588,11880,10560,3976,457,1353,-1728
Akram,1-2-2026,right,تعليم,medium,1767343244638,11416,11432,4124,-460,1445,-1091
Akram,1-2-2026,right,تعليم,medium,1767343244687,11864,11720,4176,65,75,-371
Akram,1-2-2026,right,تعليم,medium,1767343244738,11656,11508,3548,-489,-288,87
Akram,1-2-2026,right,تعليم,medium,1767343244787,12076,11132,3540,-527,-447,-249
Akram,1-2-2026,right,تعليم,medium,1767343244838,12320,10544,5660,-1903,-305,92
Akram,1-2-2026,right,تعليم,medium,1767343244891,11716,11652,3652,152,-640,669
Akram,1-2-2026,right,تعليم,medium,1767343244938,12284,11880,3124,-10,-1787,994
Akram,1-2-2026,right,تعليم,medium,1767343244987,12008,11456,2932,3170,-3732,2776
Akram,1-2-2026,right,تعليم,medium,1767343245037,11660,7560,2972,1938,796,-1320
Akram,1-2-2026,right,تعليم,medium,1767343245095,12644,11860,3492,514,1080,-789
Akram,1-2-2026,right,تعليم,medium,1767343245137,11780,10460,3512,473,554,-1370
Akram,1-2-2026,right,تعليم,medium,1767343245189,11936,10888,3164,-1158,1943,-1166
Akram,1-2-2026,right,تعليم,medium,1767343245237,11716,11388,2788,-569,1122,-199
Akram,1-2-2026,right,تعليم,medium,1767343245288,11932,11160,3140,174,121,-264
Akram,1-2-2026,right,تعليم,medium,1767343245338,12292,10900,3084,533,52,125
Akram,1-2-2026,right,تعليم,medium,1767343245388,13040,10176,2128,308,898,1147
Akram,1-2-2026,right,تعليم,medium,1767343245442,10920,11792,2348,298,984,723
Akram,1-2-2026,right,تعليم,medium,1767343245487,11428,11524,3580,163,-552,113
Akram,1-2-2026,right,تعليم,medium,1767343245538,11508,11516,3888,306,-1614,-293
Akram,1-2-2026,right,تعليم,medium,1767343245588,11412,11708,3004,-2369,-1735,-171
Akram,1-2-2026,right,تعليم,medium,1767343245638,12684,10300,980,-294,743,-75
Akram,1-2-2026,right,تعليم,medium,1767343245688,11840,11056,3308,-70,221,-79
Akram,1-2-2026,right,تعليم,medium,1767343245739,11860,11168,2976,-313,1047,26
Akram,1-2-2026,right,تعليم,medium,1767343245789,12068,10824,3112,-40,1150,-163
Akram,1-2-2026,right,تعليم,medium,1767343245841,11388,11372,4400,1194,434,-269
Akram,1-2-2026,right,تعليم,medium,1767343245891,12380,11028,2384,206,2789,185
Akram,1-2-2026,right,تعليم,medium,1767343245941,10744,11980,6232,1671,750,-727
Akram,1-2-2026,right,تعليم,medium,1767343245991,12876,11308,6872,-112,1896,-15
Akram,1-2-2026,right,تعليم,medium,1767343246041,11864,11040,2920,445,-398,-31
Akram,1-2-2026,right,تعليم,medium,1767343246091,12208,10760,3756,-72,177,479
Akram,1-2-2026,right,تعليم,medium,1767343246141,12172,11148,2712,-420,-83,1060
Akram,1-2-2026,right,تعليم,medium,1767343246191,10972,12104,3200,-465,952,1094
Akram,1-2-2026,right,تعليم,medium,1767343246240,13280,8396,2524,-415,686,1358
Akram,1-2-2026,right,تعليم,medium,1767343246291,12216,10920,3004,-336,921,861
Akram,1-2-2026,right,تعليم,medium,1767343246341,12016,10736,3264,229,11,258
Akram,1-2-2026,right,تعليم,medium,1767343246391,11888,11068,3096,-350,1483,184
Akram,1-2-2026,right,تعليم,medium,1767343246441,12200,10804,3164,537,1145,-744
Akram,1-2-2026,right,تعليم,medium,1767343246491,13600,8840,3008,385,643,-356
Akram,1-2-2026,right,تعليم,medium,1767343246542,11396,10168,4308,318,816,-587
Akram,1-2-2026,right,تعليم,medium,1767343246591,12140,11024,2936,475,1471,-521
Akram,1-2-2026,right,تعليم,medium,1767343246642,11440,11036,3084,505,-128,-332
Akram,1-2-2026,right,تعليم,medium,1767343246691,12216,10776,2404,585,146,179
Akram,1-2-2026,right,تعليم,medium,1767343246743,11108,11676,3476,68,269,-106
Akram,1-2-2026,right,تعليم,medium,1767343246791,12352,10908,3140,317,-749,295
Akram,1-2-2026,right,تعليم,medium,1767343246841,10304,12296,3044,-131,-420,692
Akram,1-2-2026,right,تعليم,medium,1767343246888,11736,11088,3136,351,-505,256
Akram,1-2-2026,right,تعليم,medium,1767343246938,11972,11112,2948,-155,733,43
Akram,1-2-2026,right,تعليم,medium,1767343246988,11684,11384,3284,-87,1367,-345
Akram,1-2-2026,right,تعليم,medium,1767343247038,12012,11076,2852,-132,1581,-283
Akram,1-2-2026,right,تعليم,medium,1767343247090,11540,11060,1180,1136,696,-597
Akram,1-2-2026,right,تعليم,medium,1767343247141,11976,11392,4,2408,-954,50
Akram,1-2-2026,right,تعليم,medium,1767343247187,11748,11864,5192,768,1123,379
Akram,1-2-2026,right,تعليم,medium,1767343247239,11772,11428,3452,1437,-1759,756
Akram,1-2-2026,right,تعليم,medium,1767343247288,11824,11696,3076,-1279,-1212,1246
Akram,1-2-2026,right,تعليم,medium,1767343247338,11456,9772,824,712,581,-647
Akram,1-2-2026,right,تعليم,medium,1767343247388,12056,11240,2528,985,1416,-802
Akram,1-2-2026,right,تعليم,medium,1767343247438,11472,10616,3036,460,789,-933
Akram,1-2-2026,right,تعليم,medium,1767343247489,12012,11572,2884,-586,2448,-980
Akram,1-2-2026,right,تعليم,medium,1767343247538,11548,11696,3808,551,-1761,-301
Akram,1-2-2026,right,تعليم,medium,1767343247592,11704,12156,3388,-1639,314,-320
Akram,1-2-2026,right,تعليم,medium,1767343247638,12712,11548,1824,-695,-667,720
Akram,1-2-2026,right,تعليم,medium,1767343247688,12564,10924,3328,1629,-1142,2670
Akram,1-2-2026,right,تعليم,medium,1767343247739,12176,9732,1948,-59,837,1369
Akram,1-2-2026,right,تعليم,medium,1767343247788,11820,11612,2820,212,897,560
Akram,1-2-2026,right,تعليم,medium,1767343247838,11840,10500,2708,528,864,-505
Akram,1-2-2026,right,تعليم,medium,1767343247888,11564,10796,2736,542,1103,-1130
Akram,1-2-2026,right,تعليم,medium,1767343247938,12208,11204,2236,449,916,-390
Akram,1-2-2026,right,تعليم,medium,1767343247988,11148,11804,3116,44,-490,-355
Akram,1-2-2026,right,تعليم,medium,1767343248041,12432,10640,3524,-774,228,629
Akram,1-2-2026,right,تعليم,medium,1767343248088,11696,11548,3044,-128,-891,146
Akram,1-2-2026,right,تعليم,medium,1767343248140,11952,11612,2980,-796,-88,-10
Akram,1-2-2026,right,تعليم,medium,1767343248191,12364,11700,1992,-239,1870,-754
Akram,1-2-2026,right,تعليم,medium,1767343248241,11764,10860,2224,136,1821,-377
Akram,1-2-2026,right,تعليم,medium,1767343248291,11704,11364,4672,410,863,49
Akram,1-2-2026,right,تعليم,medium,1767343248341,12144,10608,2916,785,-2242,73
Akram,1-2-2026,right,تعليم,medium,1767343248391,12836,9128,3324,-269,-1440,1759
Akram,1-2-2026,right,تعليم,medium,1767343248441,11540,11568,2756,-205,1310,110
Akram,1-2-2026,right,تعليم,medium,1767343248491,12152,10720,1312,820,914,524
Akram,1-2-2026,right,تعليم,medium,1767343248541,11536,11152,484,1810,848,-171
Akram,1-2-2026,right,تعليم,medium,1767343248591,11608,10668,1552,1670,1595,-170
Akram,1-2-2026,right,تعليم,medium,1767343248641,13184,10636,3472,1026,2085,-30
Akram,1-2-2026,right,تعليم,medium,1767343248691,12220,11220,2312,550,2438,-777
Akram,1-2-2026,right,تعليم,medium,1767343248741,12512,10688,3068,729,1038,-1590
Akram,1-2-2026,right,تعليم,medium,1767343248790,11892,11672,2732,-66,382,-169
Akram,1-2-2026,right,تعليم,medium,1767343248840,11588,12704,2548,283,-2029,378
Akram,1-2-2026,right,تعليم,medium,1767343248891,14892,12840,4428,-2319,-4609,8802
Akram,1-2-2026,right,تعليم,medium,1767343248941,10848,8964,356,-661,-1729,2939
Akram,1-2-2026,right,تعليم,medium,1767343248991,12524,10152,2860,-429,-1133,1031
Akram,1-2-2026,right,تعليم,medium,1767343249041,11932,10108,2356,-504,-2904,2045
Akram,1-2-2026,right,تعليم,medium,1767343249091,12844,9380,356,1247,-743,-620
Akram,1-2-2026,right,تعليم,medium,1767343249141,12952,11016,2548,-23,-23,132
Akram,1-2-2026,right,تعليم,medium,1767343249191,12600,10216,1944,1099,-1102,358
Akram,1-2-2026,right,تعليم,medium,1767343249241,13008,10096,824,-52,214,180
Akram,1-2-2026,right,تعليم,medium,1767343249291,12992,10344,1648,198,573,-201
Akram,1-2-2026,right,تعليم,medium,1767343249341,12364,10136,1388,441,375,-292
Akram,1-2-2026,right,تعليم,medium,1767343249391,12868,10640,1472,257,530,-132
Akram,1-2-2026,right,تعليم,medium,1767343249441,12740,10496,1964,400,0,161
Akram,1-2-2026,right,تعليم,medium,1767343249493,12684,10100,1148,229,353,-45
Akram,1-2-2026,right,تعليم,medium,1767343249541,12524,10288,1596,88,677,-364
Akram,1-2-2026,right,تعليم,medium,1767343249591,12952,10604,1596,248,310,-116
Akram,1-2-2026,right,تعليم,medium,1767343249641,12472,10424,1656,166,162,-79
Akram,1-2-2026,right,تعليم,medium,1767343249692,12968,10600,1224,-126,121,373
Akram,1-2-2026,right,تعليم,medium,1767343249741,12416,10060,1592,203,-86,520
Akram,1-2-2026,right,تعليم,medium,1767343249790,12788,10424,1456,216,-289,609
Akram,1-2-2026,right,تعليم,medium,1767343249841,12708,9920,1092,150,-77,653
Akram,1-2-2026,right,تعليم,medium,1767343249890,12728,10364,1348,242,222,108
Akram,1-2-2026,right,تعليم,medium,1767343249941,12692,10020,1312,219,-58,226
