student,student_id,hand,sample,quality,timestamp_ms,ax,ay,az,gx,gy,gz
Akram,1-2-2026,right,تكنولوجيا,bad,1767342710450,11600,10464,2720,306,851,-486
Akram,1-2-2026,right,تكنولوجيا,bad,1767342710500,10528,12368,5016,3002,-420,2047
Akram,1-2-2026,right,تكنولوجيا,bad,1767342710550,10728,12576,5028,2021,-3789,2545
Akram,1-2-2026,right,تكنولوجيا,bad,1767342710591,12108,10440,3740,-2573,-376,3250
Akram,1-2-2026,right,تكنولوجيا,bad,1767342710649,9844,8052,688,-1454,86,-1581
Akram,1-2-2026,right,تكنولوجيا,bad,1767342710700,9072,15540,5092,-3710,2178,-1075
Akram,1-2-2026,right,تكنولوجيا,bad,1767342710750,10892,12016,7256,1328,-3941,-2022
Akram,1-2-2026,right,تكنولوجيا,bad,1767342710800,13024,10504,2024,-285,-709,-262
Akram,1-2-2026,right,تكنولوجيا,bad,1767342710850,11412,11900,1468,-469,424,2517
Akram,1-2-2026,right,تكنولوجيا,bad,1767342710899,11924,10796,4224,3571,1382,1650
Akram,1-2-2026,right,تكنولوجيا,bad,1767342710950,10808,7792,4168,575,1192,-2591
Akram,1-2-2026,right,تكنولوجيا,bad,1767342711000,11364,13340,5436,-3914,498,1916
Akram,1-2-2026,right,تكنولوجيا,bad,1767342711049,10588,12688,2888,1150,1310,545
Akram,1-2-2026,right,تكنولوجيا,bad,1767342711099,12320,11976,5652,2872,2619,-222
Akram,1-2-2026,right,تكنولوجيا,bad,1767342711151,10852,12392,9320,-1733,-5444,-1951
Akram,1-2-2026,right,تكنولوجيا,bad,1767342711199,12312,10736,640,-144,1483,-984
Akram,1-2-2026,right,تكنولوجيا,bad,1767342711249,12472,10100,5368,1720,2353,160
Akram,1-2-2026,right,تكنولوجيا,bad,1767342711299,11748,12144,4124,433,938,734
Akram,1-2-2026,right,تكنولوجيا,bad,1767342711349,10772,11160,5768,-237,-2424,1591
Akram,1-2-2026,right,تكنولوجيا,bad,1767342711399,11868,12012,2068,165,2122,254
Akram,1-2-2026,right,تكنولوجيا,bad,1767342711449,12148,9636,564,3238,715,-999
Akram,1-2-2026,right,تكنولوجيا,bad,1767342711500,10556,11280,6944,464,312,786
Akram,1-2-2026,right,تكنولوجيا,bad,1767342711550,14220,13092,4756,-2297,-2400,4936
Akram,1-2-2026,right,تكنولوجيا,bad,1767342711599,9140,7252,-1764,-1120,1506,-1871
Akram,1-2-2026,right,تكنولوجيا,bad,1767342711649,11116,12920,6824,-2370,1308,-1146
Akram,1-2-2026,right,تكنولوجيا,bad,1767342711700,9228,14796,3384,2924,-1669,-769
Akram,1-2-2026,right,تكنولوجيا,bad,1767342711749,11748,8388,316,1842,2130,-221
Akram,1-2-2026,right,تكنولوجيا,bad,1767342711800,12476,11944,5260,-665,3335,710
Akram,1-2-2026,right,تكنولوجيا,bad,1767342711849,9744,12196,5568,116,-1890,-236
Akram,1-2-2026,right,تكنولوجيا,bad,1767342711900,11628,11608,1844,101,900,239
Akram,1-2-2026,right,تكنولوجيا,bad,1767342711948,11696,10816,4084,-35,310,300
Akram,1-2-2026,right,تكنولوجيا,bad,1767342712000,11760,11476,2644,1711,36,-153
Akram,1-2-2026,right,تكنولوجيا,bad,1767342712048,10704,11636,3188,290,-1293,571
Akram,1-2-2026,right,تكنولوجيا,bad,1767342712101,9972,11532,2084,-2469,-1259,1338
Akram,1-2-2026,right,تكنولوجيا,bad,1767342712150,11700,12696,1004,2194,804,-2963
Akram,1-2-2026,right,تكنولوجيا,bad,1767342712200,13492,10280,868,2163,3432,-530
Akram,1-2-2026,right,تكنولوجيا,bad,1767342712249,11740,11860,6648,1673,1139,249
Akram,1-2-2026,right,تكنولوجيا,bad,1767342712300,13240,11736,5472,-3006,-2854,5414
Akram,1-2-2026,right,تكنولوجيا,bad,1767342712350,9936,10212,1432,-1822,1187,2318
