student,student_id,hand,sample,quality,timestamp_ms,ax,ay,az,gx,gy,gz
Akram,1-2-2026,right,تكنولوجيا,good,1767342595101,11952,10964,4156,-11,-207,94
Akram,1-2-2026,right,تكنولوجيا,good,1767342595152,11536,11228,4208,-80,-105,-223
Akram,1-2-2026,right,تكنولوجيا,good,1767342595201,11940,11084,4316,-205,-42,-37
Akram,1-2-2026,right,تكنولوجيا,good,1767342595252,11520,10724,4116,-374,-86,64
Akram,1-2-2026,right,تكنولوجيا,good,1767342595301,11792,11036,4044,88,430,-403
Akram,1-2-2026,right,تكنولوجيا,good,1767342595350,11708,10856,4252,243,152,-334
Akram,1-2-2026,right,تكنولوجيا,good,1767342595401,11424,10520,3660,131,398,-1077
Akram,1-2-2026,right,تكنولوجيا,good,1767342595452,11264,11516,4456,-209,1715,-1830
Akram,1-2-2026,right,تكنولوجيا,good,1767342595501,11336,11192,4548,-871,535,-855
Akram,1-2-2026,right,تكنولوجيا,good,1767342595551,11236,11412,4184,-24,119,-390
Akram,1-2-2026,right,تكنولوجيا,good,1767342595601,11412,11652,4468,-761,460,-241
Akram,1-2-2026,right,تكنولوجيا,good,1767342595650,11344,11364,4912,109,78,-19
Akram,1-2-2026,right,تكنولوجيا,good,1767342595701,11416,12020,4472,221,731,-486
Akram,1-2-2026,right,تكنولوجيا,good,1767342595752,11988,10260,3968,256,-461,-325
Akram,1-2-2026,right,تكنولوجيا,good,1767342595802,11252,11368,3668,338,73,-315
Akram,1-2-2026,right,تكنولوجيا,good,1767342595853,11212,11296,-752,3854,327,578
Akram,1-2-2026,right,تكنولوجيا,good,1767342595901,11536,11204,3976,1199,-1030,1402
Akram,1-2-2026,right,تكنولوجيا,good,1767342595951,10968,12436,3332,1668,-1103,1565
Akram,1-2-2026,right,تكنولوجيا,good,1767342596004,12360,11572,5400,-789,113,1079
Akram,1-2-2026,right,تكنولوجيا,good,1767342596051,11884,10620,3040,-979,-1022,1899
Akram,1-2-2026,right,تكنولوجيا,good,1767342596101,11064,9984,2712,341,-328,-255
Akram,1-2-2026,right,تكنولوجيا,good,1767342596151,12000,11396,3868,-66,-135,91
Akram,1-2-2026,right,تكنولوجيا,good,1767342596201,11680,10836,3344,161,225,-373
Akram,1-2-2026,right,تكنولوجيا,good,1767342596251,11868,10768,3516,6,427,-203
Akram,1-2-2026,right,تكنولوجيا,good,1767342596301,11204,10852,3336,339,704,-1049
Akram,1-2-2026,right,تكنولوجيا,good,1767342596351,11976,11600,3876,-624,187,-141
Akram,1-2-2026,right,تكنولوجيا,good,1767342596403,11640,11620,2988,197,-1357,-78
Akram,1-2-2026,right,تكنولوجيا,good,1767342596451,11592,11488,3568,-768,-131,-187
Akram,1-2-2026,right,تكنولوجيا,good,1767342596502,11396,10612,2804,-191,-1194,-308
Akram,1-2-2026,right,تكنولوجيا,good,1767342596552,11872,11140,2992,-500,-108,-282
Akram,1-2-2026,right,تكنولوجيا,good,1767342596604,11120,11048,3304,-1567,838,478
Akram,1-2-2026,right,تكنولوجيا,good,1767342596653,11456,12272,1580,1058,253,759
Akram,1-2-2026,right,تكنولوجيا,good,1767342596702,11348,9740,3884,-1016,-226,2214
Akram,1-2-2026,right,تكنولوجيا,good,1767342596752,12264,9804,2604,1742,1932,173
Akram,1-2-2026,right,تكنولوجيا,good,1767342596803,11640,11692,4880,1337,1901,-485
Akram,1-2-2026,right,تكنولوجيا,good,1767342596853,12672,11748,4012,524,-839,0
Akram,1-2-2026,right,تكنولوجيا,good,1767342596901,11708,10640,3220,-24,-398,419
Akram,1-2-2026,right,تكنولوجيا,good,1767342596951,11868,11048,3632,67,-424,366
Akram,1-2-2026,right,تكنولوجيا,good,1767342597001,11920,10748,3160,409,369,-18
