student,student_id,hand,sample,quality,timestamp_ms,ax,ay,az,gx,gy,gz
Akram,1-2-2026,right,تكنولوجيا,medium,1767342629201,11760,10864,4424,50,260,36
Akram,1-2-2026,right,تكنولوجيا,medium,1767342629251,11824,10764,4176,54,261,28
Akram,1-2-2026,right,تكنولوجيا,medium,1767342629301,11872,10728,4232,-115,274,-13
Akram,1-2-2026,right,تكنولوجيا,medium,1767342629355,11744,10332,4096,113,168,-414
Akram,1-2-2026,right,تكنولوجيا,medium,1767342629401,12232,11184,3972,179,350,-913
Akram,1-2-2026,right,تكنولوجيا,medium,1767342629452,11860,11724,4920,-81,237,-892
Akram,1-2-2026,right,تكنولوجيا,medium,1767342629501,11576,11400,3996,-1357,23,-862
Akram,1-2-2026,right,تكنولوجيا,medium,1767342629550,11408,11740,3988,-140,954,-514
Akram,1-2-2026,right,تكنولوجيا,medium,1767342629601,12532,10452,2692,818,660,-418
Akram,1-2-2026,right,تكنولوجيا,medium,1767342629651,12288,11080,6636,1546,-809,187
Akram,1-2-2026,right,تكنولوجيا,medium,1767342629702,10772,11504,5500,951,-2617,1151
Akram,1-2-2026,right,تكنولوجيا,medium,1767342629751,11676,12168,3956,286,-1258,823
Akram,1-2-2026,right,تكنولوجيا,medium,1767342629801,11492,9960,3360,-1992,566,2203
Akram,1-2-2026,right,تكنولوجيا,medium,1767342629851,10912,9428,2020,-265,-231,-1446
Akram,1-2-2026,right,تكنولوجيا,medium,1767342629901,10372,14024,4200,-3148,1106,420
Akram,1-2-2026,right,تكنولوجيا,medium,1767342629952,11368,11312,4612,792,-1006,144
Akram,1-2-2026,right,تكنولوجيا,medium,1767342630001,12380,11152,4148,-501,-1484,-452
Akram,1-2-2026,right,تكنولوجيا,medium,1767342630051,12172,11128,3568,-774,764,-342
Akram,1-2-2026,right,تكنولوجيا,medium,1767342630101,12340,10444,5180,-1522,1239,749
Akram,1-2-2026,right,تكنولوجيا,medium,1767342630151,12956,12784,3284,888,-1121,2730
Akram,1-2-2026,right,تكنولوجيا,medium,1767342630201,11284,10208,2684,1519,1398,1324
Akram,1-2-2026,right,تكنولوجيا,medium,1767342630251,11248,10272,4148,1990,943,38
Akram,1-2-2026,right,تكنولوجيا,medium,1767342630301,12036,10352,5412,1553,374,-2100
Akram,1-2-2026,right,تكنولوجيا,medium,1767342630350,12772,12060,3520,-886,-410,838
Akram,1-2-2026,right,تكنولوجيا,medium,1767342630401,11636,11112,3952,-1287,-287,770
Akram,1-2-2026,right,تكنولوجيا,medium,1767342630451,11776,11116,3952,-149,-513,426
Akram,1-2-2026,right,تكنولوجيا,medium,1767342630501,11952,10840,4552,715,660,633
Akram,1-2-2026,right,تكنولوجيا,medium,1767342630551,10924,11712,3860,1576,-647,-326
Akram,1-2-2026,right,تكنولوجيا,medium,1767342630601,11624,10468,4800,1991,-405,-339
Akram,1-2-2026,right,تكنولوجيا,medium,1767342630651,12188,10288,4036,602,-1608,-1165
Akram,1-2-2026,right,تكنولوجيا,medium,1767342630701,12900,12688,2508,-1484,-2885,-1806
Akram,1-2-2026,right,تكنولوجيا,medium,1767342630750,12852,10944,196,-218,-2809,307
Akram,1-2-2026,right,تكنولوجيا,medium,1767342630801,11356,10232,2548,70,148,2120
Akram,1-2-2026,right,تكنولوجيا,medium,1767342630850,11832,9240,3504,83,607,-1408
Akram,1-2-2026,right,تكنولوجيا,medium,1767342630900,11948,10088,2980,916,2054,-3401
Akram,1-2-2026,right,تكنولوجيا,medium,1767342630950,11936,10572,3216,-1078,1758,337
Akram,1-2-2026,right,تكنولوجيا,medium,1767342631000,11712,11460,3416,512,347,243
Akram,1-2-2026,right,تكنولوجيا,medium,1767342631050,12488,10740,2408,691,398,-1029
Akram,1-2-2026,right,تكنولوجيا,medium,1767342631102,12412,10096,-1276,2870,524,-257
Akram,1-2-2026,right,تكنولوجيا,medium,1767342631150,11552,11312,3304,1009,-777,546
Akram,1-2-2026,right,تكنولوجيا,medium,1767342631201,11116,11880,4536,731,367,1133
Akram,1-2-2026,right,تكنولوجيا,medium,1767342631250,12012,10748,4216,367,117,194
Akram,1-2-2026,right,تكنولوجيا,medium,1767342631301,11544,11400,2964,475,-1397,202
Akram,1-2-2026,right,تكنولوجيا,medium,1767342631351,12380,11536,3088,-181,2831,-383
Akram,1-2-2026,right,تكنولوجيا,medium,1767342631401,11828,11052,1168,1919,1534,-328
Akram,1-2-2026,right,تكنولوجيا,medium,1767342631452,12692,11176,2204,1659,855,-43
Akram,1-2-2026,right,تكنولوجيا,medium,1767342631504,11696,12152,3236,1887,-2040,1100
Akram,1-2-2026,right,تكنولوجيا,medium,1767342631551,10604,9672,2812,-5344,2290,4971
Akram,1-2-2026,right,تكنولوجيا,medium,1767342631601,11896,7812,2208,1086,1622,-4689
Akram,1-2-2026,right,تكنولوجيا,medium,1767342631651,12848,11696,4188,-621,141,-246
Akram,1-2-2026,right,تكنولوجيا,medium,1767342631701,12108,11136,2900,1423,-425,611
Akram,1-2-2026,right,تكنولوجيا,medium,1767342631751,11732,12332,2532,1529,-1859,309
Akram,1-2-2026,right,تكنولوجيا,medium,1767342631801,11072,7204,1308,2635,2309,-1852
