student,student_id,hand,sample,quality,timestamp_ms,ax,ay,az,gx,gy,gz
Akram,1-2-2026,right,جامعة,good,1767343475438,11440,11440,3432,-145,459,-182
Akram,1-2-2026,right,جامعة,good,1767343475490,11736,10940,3212,-133,196,-152
Akram,1-2-2026,right,جامعة,good,1767343475537,11668,11056,3412,-326,428,-360
Akram,1-2-2026,right,جامعة,good,1767343475586,11800,11208,3612,-145,-106,-232
Akram,1-2-2026,right,جامعة,good,1767343475637,11720,11200,3600,-155,-211,-104
Akram,1-2-2026,right,جامعة,good,1767343475687,11388,11172,3348,-319,-839,-356
Akram,1-2-2026,right,جامعة,good,1767343475737,12080,11152,3184,-566,-1114,-443
Akram,1-2-2026,right,جامعة,good,1767343475787,11760,10840,2316,-647,-383,-334
Akram,1-2-2026,right,جامعة,good,1767343475837,12024,10824,2624,-651,595,-371
Akram,1-2-2026,right,جامعة,good,1767343475888,11868,11000,3412,-248,112,-106
Akram,1-2-2026,right,جامعة,good,1767343475938,11704,11104,3344,78,24,-43
Akram,1-2-2026,right,جامعة,good,1767343475987,11764,11192,3392,-444,688,17
Akram,1-2-2026,right,جامعة,good,1767343476037,11656,11172,3392,-340,967,63
Akram,1-2-2026,right,جامعة,good,1767343476087,11928,11192,3428,-294,659,140
Akram,1-2-2026,right,جامعة,good,1767343476137,12192,11016,4024,317,1002,-69
Akram,1-2-2026,right,جامعة,good,1767343476187,11304,12112,5464,355,1929,333
Akram,1-2-2026,right,جامعة,good,1767343476237,11492,11284,3892,1082,824,159
Akram,1-2-2026,right,جامعة,good,1767343476286,10596,12068,3892,989,1184,295
Akram,1-2-2026,right,جامعة,good,1767343476338,11324,11880,5128,569,-32,8
Akram,1-2-2026,right,جامعة,good,1767343476388,11732,11488,3712,1088,-1733,407
Akram,1-2-2026,right,جامعة,good,1767343476437,13592,12436,2848,-750,-1840,3286
Akram,1-2-2026,right,جامعة,good,1767343476487,11244,9452,2352,607,-1023,872
Akram,1-2-2026,right,جامعة,good,1767343476537,11892,10344,1924,-35,1553,-1711
Akram,1-2-2026,right,جامعة,good,1767343476587,10888,9976,2608,25,2979,-3151
Akram,1-2-2026,right,جامعة,good,1767343476637,11508,11576,3484,-1223,3269,-1266
Akram,1-2-2026,right,جامعة,good,1767343476687,12052,11756,3384,270,1574,-345
Akram,1-2-2026,right,جامعة,good,1767343476738,11716,11744,3456,234,-89,448
Akram,1-2-2026,right,جامعة,good,1767343476787,11776,12424,4080,889,-1687,1283
Akram,1-2-2026,right,جامعة,good,1767343476838,11436,9700,2056,600,-2275,3294
Akram,1-2-2026,right,جامعة,good,1767343476887,12132,10488,2932,615,602,-174
Akram,1-2-2026,right,جامعة,good,1767343476937,11552,11024,3084,1090,721,-440
Akram,1-2-2026,right,جامعة,good,1767343476988,11636,10332,3148,1158,1244,-2318
Akram,1-2-2026,right,جامعة,good,1767343477037,11640,11296,3428,-1331,1657,-917
Akram,1-2-2026,right,جامعة,good,1767343477086,11952,11660,3184,-125,-199,-336
Akram,1-2-2026,right,جامعة,good,1767343477137,13048,10036,3044,-763,1013,991
Akram,1-2-2026,right,جامعة,good,1767343477187,13264,8872,4416,-1687,-603,1369
Akram,1-2-2026,right,جامعة,good,1767343477238,12848,10552,3980,-675,-221,1434
Akram,1-2-2026,right,جامعة,good,1767343477288,11944,11272,3416,151,-155,419
Akram,1-2-2026,right,جامعة,good,1767343477337,12004,11312,2964,737,-1909,31
Akram,1-2-2026,right,جامعة,good,1767343477386,12936,12744,4260,656,-1320,1861
Akram,1-2-2026,right,جامعة,good,1767343477439,11868,8932,2728,1795,556,-361
Akram,1-2-2026,right,جامعة,good,1767343477487,12572,11044,3100,1186,1570,-427
Akram,1-2-2026,right,جامعة,good,1767343477537,11456,10620,3356,853,892,-640
Akram,1-2-2026,right,جامعة,good,1767343477588,11648,10788,4356,-312,794,-650
Akram,1-2-2026,right,جامعة,good,1767343477636,12208,11252,3356,-642,971,-70
Akram,1-2-2026,right,جامعة,good,1767343477687,11760,11316,3160,232,-1387,49
Akram,1-2-2026,right,جامعة,good,1767343477737,12556,10540,1832,-60,-717,275
Akram,1-2-2026,right,جامعة,good,1767343477787,11808,11596,2032,-552,2806,-386
Akram,1-2-2026,right,جامعة,good,1767343477838,12228,10868,3516,1024,1274,-513
Akram,1-2-2026,right,جامعة,good,1767343477887,11928,11108,3264,259,358,-213
Akram,1-2-2026,right,جامعة,good,1767343477937,11896,11312,3696,-331,-632,-1
Akram,1-2-2026,right,جامعة,good,1767343477987,11752,11296,2852,360,-1407,431
Akram,1-2-2026,right,جامعة,good,1767343478037,11144,11972,2600,-250,946,154
Akram,1-2-2026,right,جامعة,good,1767343478086,11996,11128,2844,-59,336,151
Akram,1-2-2026,right,جامعة,good,1767343478136,11656,11488,2404,-46,1156,73
Akram,1-2-2026,right,جامعة,good,1767343478188,12520,11156,3556,1245,1019,-750
Akram,1-2-2026,right,جامعة,good,1767343478237,11968,10652,700,2347,-37,-582
Akram,1-2-2026,right,جامعة,good,1767343478287,11832,11268,3248,292,-164,-25
Akram,1-2-2026,right,جامعة,good,1767343478336,12112,10372,2704,225,-267,726
Akram,1-2-2026,right,جامعة,good,1767343478387,12612,10396,3156,160,524,840
Akram,1-2-2026,right,جامعة,good,1767343478437,12808,10696,3032,-94,743,959
Akram,1-2-2026,right,جامعة,good,1767343478487,11504,11496,4280,6,1404,489
Akram,1-2-2026,right,جامعة,good,1767343478536,11956,11432,3072,347,687,427
Akram,1-2-2026,right,جامعة,good,1767343478587,11704,11100,3040,250,-195,-6
Akram,1-2-2026,right,جامعة,good,1767343478638,11852,11092,3040,167,-540,51
Akram,1-2-2026,right,جامعة,good,1767343478686,12060,10468,1880,-1267,1135,-320
Akram,1-2-2026,right,جامعة,good,1767343478737,12024,10604,1328,-890,432,-135
Akram,1-2-2026,right,جامعة,good,1767343478787,11812,10760,2848,41,-728,9
Akram,1-2-2026,right,جامعة,good,1767343478837,12104,10952,2344,101,776,83
Akram,1-2-2026,right,جامعة,good,1767343478886,11892,11084,3032,-16,839,159
Akram,1-2-2026,right,جامعة,good,1767343478936,12000,11052,3000,-293,1092,-101
Akram,1-2-2026,right,جامعة,good,1767343478987,12052,11132,3212,-267,1485,119
Akram,1-2-2026,right,جامعة,good,1767343479036,11896,11056,2892,784,498,-31
Akram,1-2-2026,right,جامعة,good,1767343479087,12548,10772,4016,713,882,-154
Akram,1-2-2026,right,جامعة,good,1767343479137,12424,11048,1700,3442,-1408,-649
Akram,1-2-2026,right,جامعة,good,1767343479188,12204,11420,4132,512,1700,22
Akram,1-2-2026,right,جامعة,good,1767343479237,11804,11712,3984,67,986,172
Akram,1-2-2026,right,جامعة,good,1767343479287,11556,11328,3212,619,280,-148
Akram,1-2-2026,right,جامعة,good,1767343479337,11660,11248,2908,233,113,24
Akram,1-2-2026,right,جامعة,good,1767343479387,11832,11240,2816,39,136,-41
Akram,1-2-2026,right,جامعة,good,1767343479436,11800,11088,2772,179,-72,-145
Akram,1-2-2026,right,جامعة,good,1767343479488,11864,11236,2596,253,-278,-210
Akram,1-2-2026,right,جامعة,good,1767343479536,12136,11188,2668,203,-333,-160
Akram,1-2-2026,right,جامعة,good,1767343479588,12232,10760,2988,-506,399,830
Akram,1-2-2026,right,جامعة,good,1767343479636,11916,11756,1536,-168,-321,358
Akram,1-2-2026,right,جامعة,good,1767343479689,12520,10824,2852,-45,913,607
Akram,1-2-2026,right,جامعة,good,1767343479738,12900,10220,-432,1285,1509,684
Akram,1-2-2026,right,جامعة,good,1767343479787,12832,10764,1852,1715,1422,-5
Akram,1-2-2026,right,جامعة,good,1767343479838,11216,11736,208,1700,418,-591
Akram,1-2-2026,right,جامعة,good,1767343479887,11996,10792,3592,511,-620,-171
Akram,1-2-2026,right,جامعة,good,1767343479937,12188,10576,2936,136,-1270,-483
Akram,1-2-2026,right,جامعة,good,1767343479987,13428,11364,7392,-4418,3772,234
Akram,1-2-2026,right,جامعة,good,1767343480037,13708,10756,-160,84,-1476,687
Akram,1-2-2026,right,جامعة,good,1767343480087,11016,10352,2916,862,-1164,1760
Akram,1-2-2026,right,جامعة,good,1767343480137,12380,10716,3444,176,725,451
Akram,1-2-2026,right,جامعة,good,1767343480187,11652,9752,2720,-105,209,1790
Akram,1-2-2026,right,جامعة,good,1767343480237,11096,10440,3000,345,70,-399
Akram,1-2-2026,right,جامعة,good,1767343480287,12012,10420,2804,367,1096,-996
Akram,1-2-2026,right,جامعة,good,1767343480337,12404,10736,3012,-201,1095,-559
Akram,1-2-2026,right,جامعة,good,1767343480387,12184,11392,3124,365,-577,-224
Akram,1-2-2026,right,جامعة,good,1767343480436,12284,11204,2388,198,-513,65
Akram,1-2-2026,right,جامعة,good,1767343480487,11996,10840,3424,-644,-416,-167
Akram,1-2-2026,right,جامعة,good,1767343480537,12340,10676,2424,58,-314,-210
Akram,1-2-2026,right,جامعة,good,1767343480587,11720,10984,1488,-1014,395,295
Akram,1-2-2026,right,جامعة,good,1767343480637,12176,12148,2572,612,-655,458
Akram,1-2-2026,right,جامعة,good,1767343480686,9988,12576,3548,-119,-4238,2960
Akram,1-2-2026,right,جامعة,good,1767343480737,11552,8324,172,1181,-2794,-341
Akram,1-2-2026,right,جامعة,good,1767343480787,12236,10308,2700,288,-469,-1023
Akram,1-2-2026,right,جامعة,good,1767343480837,12044,10228,2140,572,-652,-886
Akram,1-2-2026,right,جامعة,good,1767343480888,12692,10624,1684,312,201,-652
Akram,1-2-2026,right,جامعة,good,1767343480937,12640,10916,2476,499,-152,169
Akram,1-2-2026,right,جامعة,good,1767343480986,12468,10356,1888,419,150,218
Akram,1-2-2026,right,جامعة,good,1767343481037,12172,10556,1984,186,414,-223
Akram,1-2-2026,right,جامعة,good,1767343481086,12368,10388,1960,199,297,-154
Akram,1-2-2026,right,جامعة,good,1767343481137,12420,10764,1900,220,642,-277
Akram,1-2-2026,right,جامعة,good,1767343481187,12256,10592,2236,201,72,-36
Akram,1-2-2026,right,جامعة,good,1767343481237,12392,10628,2088,187,405,-233
Akram,1-2-2026,right,جامعة,good,1767343481287,12396,10764,1976,256,228,-62
Akram,1-2-2026,right,جامعة,good,1767343481337,12280,10512,2028,351,892,-22
Akram,1-2-2026,right,جامعة,good,1767343481387,12272,10624,2120,63,385,-1
Akram,1-2-2026,right,جامعة,good,1767343481438,12276,10536,2168,-50,273,-145
Akram,1-2-2026,right,جامعة,good,1767343481487,12424,10800,1904,95,492,-199
Akram,1-2-2026,right,جامعة,good,1767343481539,12204,10640,2056,-69,396,-264
Akram,1-2-2026,right,جامعة,good,1767343481588,12184,10708,2036,-127,236,-136
Akram,1-2-2026,right,جامعة,good,1767343481637,12368,10988,2104,-354,-181,277
Akram,1-2-2026,right,جامعة,good,1767343481686,12424,10860,2100,13,71,401
Akram,1-2-2026,right,جامعة,good,1767343481737,12404,10588,1932,-124,130,229
Akram,1-2-2026,right,جامعة,good,1767343481786,12380,10836,2388,-29,235,265
Akram,1-2-2026,right,جامعة,good,1767343481840,12232,10360,1968,-21,-105,75
Akram,1-2-2026,right,جامعة,good,1767343481887,12548,10596,1968,-202,-192,202
Akram,1-2-2026,right,جامعة,good,1767343481937,12448,10720,1984,102,-84,524
