student,student_id,hand,sample,quality,timestamp_ms,ax,ay,az,gx,gy,gz
Akram,1-2-2026,right,جامعة,medium,1767343516286,11720,10896,3988,350,344,-313
Akram,1-2-2026,right,جامعة,medium,1767343516338,12060,10932,3808,306,436,-299
Akram,1-2-2026,right,جامعة,medium,1767343516387,11660,10780,3940,341,334,-176
Akram,1-2-2026,right,جامعة,medium,1767343516436,11940,10896,3888,228,129,-67
Akram,1-2-2026,right,جامعة,medium,1767343516487,11920,10492,3376,279,156,139
Akram,1-2-2026,right,جامعة,medium,1767343516537,11764,10576,3740,380,105,-691
Akram,1-2-2026,right,جامعة,medium,1767343516586,14016,11364,4872,-289,2339,-199
Akram,1-2-2026,right,جامعة,medium,1767343516636,11456,11428,3676,-1340,1343,-669
Akram,1-2-2026,right,جامعة,medium,1767343516686,11292,11524,4632,25,-331,-240
Akram,1-2-2026,right,جامعة,medium,1767343516736,11388,12524,6496,-2406,-853,-1802
Akram,1-2-2026,right,جامعة,medium,1767343516786,9260,13384,3780,-1760,160,-1498
Akram,1-2-2026,right,جامعة,medium,1767343516837,12080,10692,3880,190,-602,4
Akram,1-2-2026,right,جامعة,medium,1767343516887,11384,11288,3480,-198,981,194
Akram,1-2-2026,right,جامعة,medium,1767343516936,11772,10892,3376,-456,1513,-40
Akram,1-2-2026,right,جامعة,medium,1767343516987,13088,9456,-944,2324,3064,614
Akram,1-2-2026,right,جامعة,medium,1767343517037,10344,12484,4996,2948,1293,319
Akram,1-2-2026,right,جامعة,medium,1767343517087,11536,11484,4328,1083,-2393,276
Akram,1-2-2026,right,جامعة,medium,1767343517136,15148,13656,4192,-1527,-2872,4543
Akram,1-2-2026,right,جامعة,medium,1767343517187,10692,7216,532,966,-66,-1968
Akram,1-2-2026,right,جامعة,medium,1767343517236,11044,13564,4576,-3940,5522,-1995
Akram,1-2-2026,right,جامعة,medium,1767343517287,11608,12188,3932,1485,-200,-39
Akram,1-2-2026,right,جامعة,medium,1767343517336,11276,12436,3872,782,-26,471
Akram,1-2-2026,right,جامعة,medium,1767343517386,14612,11228,3948,277,-926,4491
Akram,1-2-2026,right,جامعة,medium,1767343517437,10720,8000,1296,1406,973,-916
Akram,1-2-2026,right,جامعة,medium,1767343517487,11020,12288,4280,-1536,3905,-1243
Akram,1-2-2026,right,جامعة,medium,1767343517537,11868,11292,4152,-310,-136,315
Akram,1-2-2026,right,جامعة,medium,1767343517589,10628,11444,5784,-2485,195,3082
Akram,1-2-2026,right,جامعة,medium,1767343517636,11528,11936,4232,-197,-1217,1162
Akram,1-2-2026,right,جامعة,medium,1767343517689,10632,12624,4028,3938,-1457,-1184
Akram,1-2-2026,right,جامعة,medium,1767343517740,12748,9016,2424,1115,-1736,1679
Akram,1-2-2026,right,جامعة,medium,1767343517786,11296,8508,3196,2611,2003,-1936
Akram,1-2-2026,right,جامعة,medium,1767343517836,11900,11820,5076,-709,2409,-578
