student,student_id,hand,sample,quality,timestamp_ms,ax,ay,az,gx,gy,gz
Akram,1-2-2026,right,لغة,medium,1767343183443,11032,11448,5048,122,305,54
Akram,1-2-2026,right,لغة,medium,1767343183487,10864,10724,4772,389,337,-537
Akram,1-2-2026,right,لغة,medium,1767343183538,10204,11784,3804,-976,1106,42
Akram,1-2-2026,right,لغة,medium,1767343183588,10232,11784,5340,-594,-1525,321
Akram,1-2-2026,right,لغة,medium,1767343183638,10688,11240,4196,163,1157,-1249
Akram,1-2-2026,right,لغة,medium,1767343183692,8652,14544,3040,1144,-1571,-2203
Akram,1-2-2026,right,لغة,medium,1767343183737,11988,11364,4676,-892,1869,-338
Akram,1-2-2026,right,لغة,medium,1767343183792,9560,10636,6516,3029,-1023,844
Akram,1-2-2026,right,لغة,medium,1767343183837,11216,10652,7736,1,1177,1757
Akram,1-2-2026,right,لغة,medium,1767343183892,7452,14748,5084,-629,-461,317
Akram,1-2-2026,right,لغة,medium,1767343183938,10348,11756,3944,-343,-1599,-148
Akram,1-2-2026,right,لغة,medium,1767343183988,11468,10796,3020,-7,-2090,472
Akram,1-2-2026,right,لغة,medium,1767343184037,11980,10520,772,1282,3649,-935
Akram,1-2-2026,right,لغة,medium,1767343184087,8692,12792,6360,2916,2564,612
Akram,1-2-2026,right,لغة,medium,1767343184137,11800,11408,6980,1401,-2929,1337
Akram,1-2-2026,right,لغة,medium,1767343184189,10056,10380,4060,-6539,1951,5264
Akram,1-2-2026,right,لغة,medium,1767343184242,13764,14928,13732,-1621,-1348,1703
Akram,1-2-2026,right,لغة,medium,1767343184288,11260,12256,5344,1150,-846,444
Akram,1-2-2026,right,لغة,medium,1767343184339,11956,12628,3692,3931,-1039,-835
Akram,1-2-2026,right,لغة,medium,1767343184389,11340,6744,2036,5182,898,-1245
Akram,1-2-2026,right,لغة,medium,1767343184441,10996,11336,6296,-2272,3599,-1313
Akram,1-2-2026,right,لغة,medium,1767343184492,11028,12056,3924,1095,-1683,245
Akram,1-2-2026,right,لغة,medium,1767343184542,12212,10792,2800,-461,1625,2258
Akram,1-2-2026,right,لغة,medium,1767343184592,10624,11312,6956,1510,628,878
Akram,1-2-2026,right,لغة,medium,1767343184641,11964,11180,3724,1524,-3105,-647
Akram,1-2-2026,right,لغة,medium,1767343184692,12096,11796,6260,-2717,-48,-1238
Akram,1-2-2026,right,لغة,medium,1767343184741,13092,12484,1340,-483,-446,6326
Akram,1-2-2026,right,لغة,medium,1767343184792,9160,7500,3080,1134,2775,-44
Akram,1-2-2026,right,لغة,medium,1767343184843,21904,23356,10036,-2356,2218,2753
Akram,1-2-2026,right,لغة,medium,1767343184892,9868,13152,8704,-853,-4029,-568
Akram,1-2-2026,right,لغة,medium,1767343184941,12128,11024,2712,-488,2084,-533
Akram,1-2-2026,right,لغة,medium,1767343184992,11660,11104,4532,-453,-1904,-337
Akram,1-2-2026,right,لغة,medium,1767343185042,11864,11852,3504,927,-1992,956
Akram,1-2-2026,right,لغة,medium,1767343185092,9696,9584,4056,-801,-811,3376
Akram,1-2-2026,right,لغة,medium,1767343185141,13428,10752,3304,1739,324,1730
Akram,1-2-2026,right,لغة,medium,1767343185192,11752,10808,4376,1284,-1798,2331
Akram,1-2-2026,right,لغة,medium,1767343185242,12404,8796,2324,1255,-1029,-758
Akram,1-2-2026,right,لغة,medium,1767343185293,12324,11596,3132,142,1644,-1290
Akram,1-2-2026,right,لغة,medium,1767343185341,11972,10820,3904,518,11,-272
Akram,1-2-2026,right,لغة,medium,1767343185395,12276,10564,2560,-126,359,-421
Akram,1-2-2026,right,لغة,medium,1767343185442,11752,10820,2972,-290,1609,383
Akram,1-2-2026,right,لغة,medium,1767343185492,12184,10696,3096,24,-642,770
Akram,1-2-2026,right,لغة,medium,1767343185543,12048,10608,2988,-417,-73,269
Akram,1-2-2026,right,لغة,medium,1767343185594,12116,10832,3064,-47,-138,864
Akram,1-2-2026,right,لغة,medium,1767343185641,12396,10608,3180,89,-635,515
Akram,1-2-2026,right,لغة,medium,1767343185692,12560,10472,3096,-245,204,478
Akram,1-2-2026,right,لغة,medium,1767343185743,12264,10336,3200,85,-110,119
Akram,1-2-2026,right,لغة,medium,1767343185791,12392,10568,2680,316,-321,316
Akram,1-2-2026,right,لغة,medium,1767343185841,12844,10504,2648,148,-83,123
