student,student_id,hand,sample,quality,timestamp_ms,ax,ay,az,gx,gy,gz
Akram,1-2-2026,right,مدرسة,good,1767342112508,12600,10024,5332,448,1006,-1396
Akram,1-2-2026,right,مدرسة,good,1767342112560,11820,11328,6564,-478,16,-640
Akram,1-2-2026,right,مدرسة,good,1767342112609,12176,10632,4460,-693,-170,-7
Akram,1-2-2026,right,مدرسة,good,1767342112658,11680,10836,4864,-523,184,74
Akram,1-2-2026,right,مدرسة,good,1767342112709,11740,10888,5108,-420,-7,102
Akram,1-2-2026,right,مدرسة,good,1767342112759,11924,10372,4668,-67,-82,36
Akram,1-2-2026,right,مدرسة,good,1767342112809,11648,10712,4984,155,157,-165
Akram,1-2-2026,right,مدرسة,good,1767342112859,12016,10464,4740,141,26,56
Akram,1-2-2026,right,مدرسة,good,1767342112909,11148,10736,4968,14,324,-530
Akram,1-2-2026,right,مدرسة,good,1767342112959,11776,10624,5068,119,-219,-1129
Akram,1-2-2026,right,مدرسة,good,1767342113009,11460,10160,3792,707,1223,-1952
Akram,1-2-2026,right,مدرسة,good,1767342113063,11716,11252,6324,-276,818,-1528
Akram,1-2-2026,right,مدرسة,good,1767342113110,11412,11288,5404,-173,-520,-263
Akram,1-2-2026,right,مدرسة,good,1767342113158,11292,11344,4612,-532,-1344,-353
Akram,1-2-2026,right,مدرسة,good,1767342113210,12876,9980,1820,-1343,-1639,-374
Akram,1-2-2026,right,مدرسة,good,1767342113259,11972,11132,4084,-434,468,-125
Akram,1-2-2026,right,مدرسة,good,1767342113309,10104,12256,3844,565,841,-1279
Akram,1-2-2026,right,مدرسة,good,1767342113360,10968,11404,3360,1667,488,-269
Akram,1-2-2026,right,مدرسة,good,1767342113409,12048,10704,1544,2259,158,-131
Akram,1-2-2026,right,مدرسة,good,1767342113459,11260,11204,6136,913,-531,195
Akram,1-2-2026,right,مدرسة,good,1767342113508,11532,10144,4872,127,-576,702
Akram,1-2-2026,right,مدرسة,good,1767342113560,11580,11400,4992,-503,401,664
Akram,1-2-2026,right,مدرسة,good,1767342113609,10712,11648,5072,-21,-292,248
Akram,1-2-2026,right,مدرسة,good,1767342113661,11664,11040,4732,231,-722,-130
Akram,1-2-2026,right,مدرسة,good,1767342113709,11000,11432,4628,-378,2019,87
Akram,1-2-2026,right,مدرسة,good,1767342113759,12492,10644,4740,372,221,-114
Akram,1-2-2026,right,مدرسة,good,1767342113809,11100,11156,4472,553,1669,-419
Akram,1-2-2026,right,مدرسة,good,1767342113859,11456,10872,4964,430,464,111
Akram,1-2-2026,right,مدرسة,good,1767342113909,11108,11328,7020,1145,-967,71
Akram,1-2-2026,right,مدرسة,good,1767342113959,12180,10784,4236,627,316,860
Akram,1-2-2026,right,مدرسة,good,1767342114009,11820,10700,3644,104,304,1097
Akram,1-2-2026,right,مدرسة,good,1767342114048,10688,11708,5396,169,-345,154
Akram,1-2-2026,right,مدرسة,good,1767342114098,11300,11292,4116,151,28,99
Akram,1-2-2026,right,مدرسة,good,1767342114160,11172,11420,4712,16,237,304
Akram,1-2-2026,right,مدرسة,good,1767342114209,11420,11656,5004,80,175,-598
Akram,1-2-2026,right,مدرسة,good,1767342114258,13796,9884,4096,-90,905,-455
Akram,1-2-2026,right,مدرسة,good,1767342114310,11544,11068,4592,263,823,-232
Akram,1-2-2026,right,مدرسة,good,1767342114360,12152,10384,2404,2254,-20,132
Akram,1-2-2026,right,مدرسة,good,1767342114411,10440,11820,7608,823,1619,366
Akram,1-2-2026,right,مدرسة,good,1767342114459,10348,12052,4812,112,-226,231
Akram,1-2-2026,right,مدرسة,good,1767342114509,11900,12456,4696,-647,159,362
Akram,1-2-2026,right,مدرسة,good,1767342114559,11200,9656,2656,-824,710,1699
Akram,1-2-2026,right,مدرسة,good,1767342114611,11604,11476,4928,1219,815,-56
Akram,1-2-2026,right,مدرسة,good,1767342114659,11356,11116,4504,840,417,142
Akram,1-2-2026,right,مدرسة,good,1767342114709,11792,11316,4540,539,472,10
Akram,1-2-2026,right,مدرسة,good,1767342114759,11332,10968,4352,457,425,-23
Akram,1-2-2026,right,مدرسة,good,1767342114809,12012,11076,4272,559,548,90
Akram,1-2-2026,right,مدرسة,good,1767342114860,11196,10744,4564,648,540,-350
Akram,1-2-2026,right,مدرسة,good,1767342114910,11124,10936,4496,412,50,-813
Akram,1-2-2026,right,مدرسة,good,1767342114959,12292,10660,4212,38,435,83
Akram,1-2-2026,right,مدرسة,good,1767342115009,11520,11400,4360,75,262,-229
Akram,1-2-2026,right,مدرسة,good,1767342115059,11476,11160,4392,-378,832,-362
Akram,1-2-2026,right,مدرسة,good,1767342115109,11136,11244,4616,219,-11,250
Akram,1-2-2026,right,مدرسة,good,1767342115159,11584,11660,4380,459,897,-692
Akram,1-2-2026,right,مدرسة,good,1767342115208,11496,11736,4592,369,828,-1198
Akram,1-2-2026,right,مدرسة,good,1767342115259,12548,10384,4640,1184,263,-1413
Akram,1-2-2026,right,مدرسة,good,1767342115310,11124,11748,3668,44,2282,-611
Akram,1-2-2026,right,مدرسة,good,1767342115359,12212,10284,5404,1708,759,179
Akram,1-2-2026,right,مدرسة,good,1767342115409,11916,10768,3196,2710,-1849,1021
Akram,1-2-2026,right,مدرسة,good,1767342115463,10820,11892,5300,334,-559,410
Akram,1-2-2026,right,مدرسة,good,1767342115509,12236,12064,4796,-3284,-1402,5368
Akram,1-2-2026,right,مدرسة,good,1767342115559,11244,9716,4136,-463,-656,1109
Akram,1-2-2026,right,مدرسة,good,1767342115609,11288,11048,3564,-411,439,882
Akram,1-2-2026,right,مدرسة,good,1767342115658,11532,10792,4220,806,171,-310
Akram,1-2-2026,right,مدرسة,good,1767342115709,11688,11168,4204,476,196,-24
Akram,1-2-2026,right,مدرسة,good,1767342115759,11376,10736,3796,625,243,-585
Akram,1-2-2026,right,مدرسة,good,1767342115812,11640,10640,4256,773,720,-1853
Akram,1-2-2026,right,مدرسة,good,1767342115859,11228,11184,4288,168,-227,-329
Akram,1-2-2026,right,مدرسة,good,1767342115908,11752,11452,4044,-274,964,-192
Akram,1-2-2026,right,مدرسة,good,1767342115960,11296,11408,4400,244,-121,-470
Akram,1-2-2026,right,مدرسة,good,1767342116009,11704,10976,3900,188,-161,-130
Akram,1-2-2026,right,مدرسة,good,1767342116059,11284,11112,4128,279,768,-492
Akram,1-2-2026,right,مدرسة,good,1767342116108,11676,11172,4004,209,863,-115
Akram,1-2-2026,right,مدرسة,good,1767342116159,11540,10756,3964,1399,-217,-80
Akram,1-2-2026,right,مدرسة,good,1767342116208,11352,11444,4976,293,532,-10
Akram,1-2-2026,right,مدرسة,good,1767342116259,11420,11360,4092,231,399,-35
Akram,1-2-2026,right,مدرسة,good,1767342116308,11272,11356,4064,180,-892,536
Akram,1-2-2026,right,مدرسة,good,1767342116359,11296,11436,4044,14,-246,-131
Akram,1-2-2026,right,مدرسة,good,1767342116398,11596,11260,3928,124,-165,65
Akram,1-2-2026,right,مدرسة,good,1767342116459,11420,11272,4032,133,-430,207
Akram,1-2-2026,right,مدرسة,good,1767342116499,11384,11664,3996,113,1120,-645
Akram,1-2-2026,right,مدرسة,good,1767342116549,11860,11152,3648,309,1690,-418
Akram,1-2-2026,right,مدرسة,good,1767342116599,11480,11228,3768,906,71,-53
Akram,1-2-2026,right,مدرسة,good,1767342116648,11848,11028,4036,368,269,3
Akram,1-2-2026,right,مدرسة,good,1767342116699,11604,11056,4164,210,-539,477
Akram,1-2-2026,right,مدرسة,good,1767342116749,10176,12824,5896,-30,282,172
Akram,1-2-2026,right,مدرسة,good,1767342116798,11380,11572,3912,-232,-417,259
Akram,1-2-2026,right,مدرسة,good,1767342116848,11500,11224,3732,-67,-18,218
Akram,1-2-2026,right,مدرسة,good,1767342116909,11648,11228,3796,39,-97,197
Akram,1-2-2026,right,مدرسة,good,1767342116948,10588,12220,3208,850,457,-732
Akram,1-2-2026,right,مدرسة,good,1767342117009,11556,11272,3468,1260,323,-838
Akram,1-2-2026,right,مدرسة,good,1767342117048,11408,11356,2132,2167,-1463,-22
