student,student_id,hand,sample,quality,timestamp_ms,ax,ay,az,gx,gy,gz
Akram,1-2-2026,right,مدرسة,medium,1767342180258,12456,9836,4248,1080,554,-292
Akram,1-2-2026,right,مدرسة,medium,1767342180299,11892,10656,5312,236,804,-2320
Akram,1-2-2026,right,مدرسة,medium,1767342180358,11348,10664,5048,-820,-749,-1241
Akram,1-2-2026,right,مدرسة,medium,1767342180399,11340,10932,4844,-360,-956,-282
Akram,1-2-2026,right,مدرسة,medium,1767342180458,11900,10892,5092,-309,-807,-528
Akram,1-2-2026,right,مدرسة,medium,1767342180501,11620,11536,5492,-815,-486,-657
Akram,1-2-2026,right,مدرسة,medium,1767342180557,11812,10304,4288,-423,1765,-548
Akram,1-2-2026,right,مدرسة,medium,1767342180608,12012,10168,2668,2037,395,-170
Akram,1-2-2026,right,مدرسة,medium,1767342180657,12624,10536,4820,1960,349,-29
Akram,1-2-2026,right,مدرسة,medium,1767342180708,11676,10784,5244,195,-2302,-444
Akram,1-2-2026,right,مدرسة,medium,1767342180758,10112,12464,2984,-764,619,-276
Akram,1-2-2026,right,مدرسة,medium,1767342180808,11676,11232,4372,-53,1989,44
Akram,1-2-2026,right,مدرسة,medium,1767342180858,11296,11148,3900,1416,1343,-503
Akram,1-2-2026,right,مدرسة,medium,1767342180907,11812,10948,3052,2374,345,-103
Akram,1-2-2026,right,مدرسة,medium,1767342180958,11948,10732,5952,400,-1868,497
Akram,1-2-2026,right,مدرسة,medium,1767342181008,10400,11876,4200,-691,1005,580
Akram,1-2-2026,right,مدرسة,medium,1767342181058,11372,11084,4968,74,330,184
Akram,1-2-2026,right,مدرسة,medium,1767342181108,12452,10608,4280,857,-901,-377
Akram,1-2-2026,right,مدرسة,medium,1767342181158,11188,11408,4464,-400,2245,-164
Akram,1-2-2026,right,مدرسة,medium,1767342181208,12240,10140,5044,479,-65,-286
Akram,1-2-2026,right,مدرسة,medium,1767342181260,12160,10764,3788,3921,305,856
Akram,1-2-2026,right,مدرسة,medium,1767342181307,11412,11204,4132,1679,-1481,3
Akram,1-2-2026,right,مدرسة,medium,1767342181358,14488,11420,4884,-1623,-665,3963
Akram,1-2-2026,right,مدرسة,medium,1767342181407,10328,9496,4068,905,2102,374
Akram,1-2-2026,right,مدرسة,medium,1767342181458,11904,10116,5004,870,1090,397
Akram,1-2-2026,right,مدرسة,medium,1767342181507,10896,9576,3776,1408,489,-2181
Akram,1-2-2026,right,مدرسة,medium,1767342181558,10592,11100,5468,15,942,-1016
Akram,1-2-2026,right,مدرسة,medium,1767342181608,11740,12832,4664,439,2118,-1249
Akram,1-2-2026,right,مدرسة,medium,1767342181659,12452,10892,3464,1298,1331,-1331
Akram,1-2-2026,right,مدرسة,medium,1767342181707,12636,9564,5320,1897,460,-380
Akram,1-2-2026,right,مدرسة,medium,1767342181759,12664,12612,4476,3704,797,1309
Akram,1-2-2026,right,مدرسة,medium,1767342181808,10904,11788,4808,544,-1752,1188
Akram,1-2-2026,right,مدرسة,medium,1767342181858,12100,10692,5032,-3490,674,4416
Akram,1-2-2026,right,مدرسة,medium,1767342181899,11704,8228,2824,-304,149,246
Akram,1-2-2026,right,مدرسة,medium,1767342181958,11740,10888,4932,718,-212,-1485
Akram,1-2-2026,right,مدرسة,medium,1767342181999,11080,12560,4232,-1592,397,-172
Akram,1-2-2026,right,مدرسة,medium,1767342182048,11596,11024,4548,834,179,27
Akram,1-2-2026,right,مدرسة,medium,1767342182098,11556,11588,4260,27,1936,-702
Akram,1-2-2026,right,مدرسة,medium,1767342182149,12316,10336,4916,844,372,-548
Akram,1-2-2026,right,مدرسة,medium,1767342182199,12300,10600,5432,398,1064,-292
Akram,1-2-2026,right,مدرسة,medium,1767342182248,13032,9784,3620,1233,-1494,248
Akram,1-2-2026,right,مدرسة,medium,1767342182298,10696,11884,3768,-541,232,326
Akram,1-2-2026,right,مدرسة,medium,1767342182349,11708,10928,4152,68,199,334
Akram,1-2-2026,right,مدرسة,medium,1767342182399,12016,11068,4072,346,1280,-117
Akram,1-2-2026,right,مدرسة,medium,1767342182449,11528,10796,7368,935,991,-223
