student,student_id,hand,sample,quality,timestamp_ms,ax,ay,az,gx,gy,gz
Akram,1-2-2026,right,مستشفى,bad,1767341467320,11596,12196,1816,-1435,-45,-236
Akram,1-2-2026,right,مستشفى,bad,1767341467369,13124,10668,2164,-421,2090,415
Akram,1-2-2026,right,مستشفى,bad,1767341467420,12636,10204,5204,302,578,-44
Akram,1-2-2026,right,مستشفى,bad,1767341467469,12036,10616,3388,309,-191,24
Akram,1-2-2026,right,مستشفى,bad,1767341467520,11768,11304,2616,243,-2349,437
Akram,1-2-2026,right,مستشفى,bad,1767341467569,11884,11152,2116,-196,642,800
Akram,1-2-2026,right,مستشفى,bad,1767341467611,11932,12272,2736,-317,1471,-914
Akram,1-2-2026,right,مستشفى,bad,1767341467662,12428,11040,5160,-12,2108,-414
Akram,1-2-2026,right,مستشفى,bad,1767341467711,11860,11268,3152,-275,-1169,338
Akram,1-2-2026,right,مستشفى,bad,1767341467769,10604,12220,1440,702,-463,-152
Akram,1-2-2026,right,مستشفى,bad,1767341467812,11452,11828,1968,-917,1423,402
Akram,1-2-2026,right,مستشفى,bad,1767341467869,14596,9740,3764,703,84,-825
Akram,1-2-2026,right,مستشفى,bad,1767341467911,13572,9388,3964,668,287,17
Akram,1-2-2026,right,مستشفى,bad,1767341467961,10948,11292,3176,1221,-2066,172
Akram,1-2-2026,right,مستشفى,bad,1767341468011,11776,11256,1424,-1482,2523,913
Akram,1-2-2026,right,مستشفى,bad,1767341468061,11488,10956,564,3002,-1217,-1860
Akram,1-2-2026,right,مستشفى,bad,1767341468111,12944,9804,4104,1745,-1181,-267
Akram,1-2-2026,right,مستشفى,bad,1767341468161,11800,11536,2160,316,237,450
Akram,1-2-2026,right,مستشفى,bad,1767341468219,11968,11160,1864,-298,946,368
Akram,1-2-2026,right,مستشفى,bad,1767341468261,13832,11404,1088,1364,1479,-489
Akram,1-2-2026,right,مستشفى,bad,1767341468311,11712,10904,3220,478,-263,269
Akram,1-2-2026,right,مستشفى,bad,1767341468370,11712,11240,1700,544,772,630
Akram,1-2-2026,right,مستشفى,bad,1767341468419,12092,11628,-2452,3047,949,-669
Akram,1-2-2026,right,مستشفى,bad,1767341468470,13576,11336,5044,3769,2728,-245
Akram,1-2-2026,right,مستشفى,bad,1767341468519,16808,14696,5400,-2468,-2696,7526
Akram,1-2-2026,right,مستشفى,bad,1767341468570,10620,5948,-3132,309,-1770,2923
Akram,1-2-2026,right,مستشفى,bad,1767341468619,9688,11148,1444,-919,5631,-8034
Akram,1-2-2026,right,مستشفى,bad,1767341468661,11636,11380,4600,2148,-4578,-306
Akram,1-2-2026,right,مستشفى,bad,1767341468712,13664,10156,-256,-935,729,-474
Akram,1-2-2026,right,مستشفى,bad,1767341468760,11504,11188,2936,-1173,2911,519
