student,student_id,hand,sample,quality,timestamp_ms,ax,ay,az,gx,gy,gz
Akram,1-2-2026,right,مستشفى,good,1767341562417,11468,10768,5132,449,169,-741
Akram,1-2-2026,right,مستشفى,good,1767341562468,11288,11396,5172,259,783,-1239
Akram,1-2-2026,right,مستشفى,good,1767341562520,11720,10652,5608,306,-299,-1008
Akram,1-2-2026,right,مستشفى,good,1767341562568,11352,11816,4620,-495,-2335,-271
Akram,1-2-2026,right,مستشفى,good,1767341562618,11640,11132,2972,-1140,-378,-257
Akram,1-2-2026,right,مستشفى,good,1767341562667,11276,11360,5020,-787,190,-770
Akram,1-2-2026,right,مستشفى,good,1767341562719,11072,11748,4236,-315,1992,-521
Akram,1-2-2026,right,مستشفى,good,1767341562768,11624,11160,6812,-270,332,64
Akram,1-2-2026,right,مستشفى,good,1767341562818,11792,10716,4240,884,-964,1284
Akram,1-2-2026,right,مستشفى,good,1767341562868,10340,11724,5304,-438,-36,-36
Akram,1-2-2026,right,مستشفى,good,1767341562917,11344,11228,5088,413,-1607,81
Akram,1-2-2026,right,مستشفى,good,1767341562975,11084,11308,4648,-275,-25,-30
Akram,1-2-2026,right,مستشفى,good,1767341563017,11416,11316,4632,-229,335,95
Akram,1-2-2026,right,مستشفى,good,1767341563069,10528,12456,2828,767,1553,-983
Akram,1-2-2026,right,مستشفى,good,1767341563117,11808,10764,4564,-130,1087,-184
Akram,1-2-2026,right,مستشفى,good,1767341563168,11528,11388,3884,559,397,97
Akram,1-2-2026,right,مستشفى,good,1767341563218,11480,10996,3656,1210,-1445,426
Akram,1-2-2026,right,مستشفى,good,1767341563267,11296,11356,5452,122,-1617,620
Akram,1-2-2026,right,مستشفى,good,1767341563318,11132,11504,4608,-71,-73,44
Akram,1-2-2026,right,مستشفى,good,1767341563368,11332,11260,4424,-52,208,81
Akram,1-2-2026,right,مستشفى,good,1767341563417,11496,11272,4664,19,-79,62
Akram,1-2-2026,right,مستشفى,good,1767341563468,11212,11244,4576,-253,722,121
Akram,1-2-2026,right,مستشفى,good,1767341563518,11364,11472,4536,151,1106,-253
Akram,1-2-2026,right,مستشفى,good,1767341563571,11544,11392,4732,631,484,-210
Akram,1-2-2026,right,مستشفى,good,1767341563618,11712,11016,5248,627,-94,-125
Akram,1-2-2026,right,مستشفى,good,1767341563668,11596,11372,5784,98,493,113
Akram,1-2-2026,right,مستشفى,good,1767341563717,11340,11440,5392,-63,-106,-8
Akram,1-2-2026,right,مستشفى,good,1767341563770,11776,11340,4312,381,-822,431
Akram,1-2-2026,right,مستشفى,good,1767341563817,11260,11472,4260,-109,27,94
Akram,1-2-2026,right,مستشفى,good,1767341563868,11456,11364,4132,66,-22,-17
Akram,1-2-2026,right,مستشفى,good,1767341563918,11496,11336,4268,-195,246,-94
Akram,1-2-2026,right,مستشفى,good,1767341563968,11400,11292,4352,-172,1199,265
Akram,1-2-2026,right,مستشفى,good,1767341564018,11352,11516,4060,96,1336,-410
Akram,1-2-2026,right,مستشفى,good,1767341564068,11956,11272,4456,654,1327,-171
Akram,1-2-2026,right,مستشفى,good,1767341564118,12064,10972,6464,443,390,36
Akram,1-2-2026,right,مستشفى,good,1767341564168,11556,11348,3948,303,100,85
Akram,1-2-2026,right,مستشفى,good,1767341564218,11812,11228,3764,199,598,507
Akram,1-2-2026,right,مستشفى,good,1767341564268,11016,11644,4348,-19,-539,42
Akram,1-2-2026,right,مستشفى,good,1767341564318,11276,11680,3600,-298,449,219
Akram,1-2-2026,right,مستشفى,good,1767341564368,11316,11380,3984,-96,-240,16
Akram,1-2-2026,right,مستشفى,good,1767341564418,11468,11336,4112,-44,40,14
Akram,1-2-2026,right,مستشفى,good,1767341564467,11440,11464,3992,-384,2354,223
Akram,1-2-2026,right,مستشفى,good,1767341564519,11928,10504,5292,364,2135,-300
Akram,1-2-2026,right,مستشفى,good,1767341564563,11788,11076,1992,1687,673,230
Akram,1-2-2026,right,مستشفى,good,1767341564618,11880,11624,6328,1810,25,719
Akram,1-2-2026,right,مستشفى,good,1767341564662,12024,12028,7320,1672,212,1140
Akram,1-2-2026,right,مستشفى,good,1767341564712,11228,11544,6356,61,-1599,447
Akram,1-2-2026,right,مستشفى,good,1767341564762,11120,11016,3540,-2179,-1012,3310
Akram,1-2-2026,right,مستشفى,good,1767341564812,11440,9952,2636,-738,394,-24
Akram,1-2-2026,right,مستشفى,good,1767341564862,11912,11492,4072,-16,123,-37
Akram,1-2-2026,right,مستشفى,good,1767341564913,11800,10556,3720,631,295,-319
Akram,1-2-2026,right,مستشفى,good,1767341564962,11416,10848,4180,220,550,-1142
Akram,1-2-2026,right,مستشفى,good,1767341565012,11376,10648,3928,218,410,-2297
Akram,1-2-2026,right,مستشفى,good,1767341565063,11704,11168,3924,-626,967,-42
Akram,1-2-2026,right,مستشفى,good,1767341565112,11540,11360,3892,-585,1372,14
Akram,1-2-2026,right,مستشفى,good,1767341565161,11908,11056,5556,683,1243,-247
Akram,1-2-2026,right,مستشفى,good,1767341565218,11912,10904,3584,2962,-1088,-251
Akram,1-2-2026,right,مستشفى,good,1767341565268,11748,12188,4960,3713,-953,457
Akram,1-2-2026,right,مستشفى,good,1767341565317,12036,11316,4504,1994,-261,458
Akram,1-2-2026,right,مستشفى,good,1767341565368,11892,11492,4376,149,-1752,1072
Akram,1-2-2026,right,مستشفى,good,1767341565418,11256,11064,2956,-2828,-691,3016
Akram,1-2-2026,right,مستشفى,good,1767341565467,11072,10072,2632,-191,-861,294
Akram,1-2-2026,right,مستشفى,good,1767341565517,12104,11048,3440,-313,126,-1050
Akram,1-2-2026,right,مستشفى,good,1767341565569,11760,10396,3300,299,213,-1223
Akram,1-2-2026,right,مستشفى,good,1767341565613,10300,12168,3656,-313,816,-660
Akram,1-2-2026,right,مستشفى,good,1767341565663,11732,11348,4272,508,-558,-97
Akram,1-2-2026,right,مستشفى,good,1767341565712,11980,10964,2896,-1469,-153,-478
Akram,1-2-2026,right,مستشفى,good,1767341565770,11960,10972,3120,-1289,1749,229
Akram,1-2-2026,right,مستشفى,good,1767341565812,11792,11400,3756,-163,152,460
Akram,1-2-2026,right,مستشفى,good,1767341565862,11572,11832,2068,2596,-1316,-189
Akram,1-2-2026,right,مستشفى,good,1767341565911,12212,9092,3464,2383,-362,487
