student,student_id,hand,sample,quality,timestamp_ms,ax,ay,az,gx,gy,gz
Akram,1-2-2026,right,معلومات,good,1767342364302,12084,10688,3520,-43,28,-243
Akram,1-2-2026,right,معلومات,good,1767342364355,12244,10700,3256,211,182,-88
Akram,1-2-2026,right,معلومات,good,1767342364406,11940,10832,3572,214,229,-77
Akram,1-2-2026,right,معلومات,good,1767342364449,12092,10592,3464,280,270,-434
Akram,1-2-2026,right,معلومات,good,1767342364499,11840,10276,2916,646,520,-544
Akram,1-2-2026,right,معلومات,good,1767342364550,11480,11496,3528,-696,-140,-6
Akram,1-2-2026,right,معلومات,good,1767342364600,11944,10840,4208,-771,-1447,161
Akram,1-2-2026,right,معلومات,good,1767342364658,11652,11268,3272,-82,-2503,21
Akram,1-2-2026,right,معلومات,good,1767342364699,11996,10296,4436,-2196,386,94
Akram,1-2-2026,right,معلومات,good,1767342364750,11484,11420,3388,-570,1250,-583
Akram,1-2-2026,right,معلومات,good,1767342364800,11984,10956,2904,201,255,-362
Akram,1-2-2026,right,معلومات,good,1767342364850,11760,11284,2680,1255,-770,-529
Akram,1-2-2026,right,معلومات,good,1767342364899,13160,10272,3772,1047,-466,69
Akram,1-2-2026,right,معلومات,good,1767342364949,12424,10544,3408,706,-747,287
Akram,1-2-2026,right,معلومات,good,1767342365000,12948,9860,2792,-44,-745,1191
Akram,1-2-2026,right,معلومات,good,1767342365049,11644,11496,2624,3,-65,181
Akram,1-2-2026,right,معلومات,good,1767342365103,12220,10764,2916,-158,-266,19
Akram,1-2-2026,right,معلومات,good,1767342365149,11940,10968,2728,-128,736,125
Akram,1-2-2026,right,معلومات,good,1767342365205,12332,10712,2840,90,620,-258
Akram,1-2-2026,right,معلومات,good,1767342365249,12552,10712,3268,455,847,-55
Akram,1-2-2026,right,معلومات,good,1767342365300,11816,10584,3000,820,-707,-503
Akram,1-2-2026,right,معلومات,good,1767342365349,12188,10868,2208,678,117,-99
Akram,1-2-2026,right,معلومات,good,1767342365406,11260,11204,2776,880,-1291,-335
Akram,1-2-2026,right,معلومات,good,1767342365456,12044,10724,3160,276,104,60
Akram,1-2-2026,right,معلومات,good,1767342365505,12108,10800,2312,721,38,364
Akram,1-2-2026,right,معلومات,good,1767342365555,12024,10932,3072,49,1163,583
Akram,1-2-2026,right,معلومات,good,1767342365605,12032,10516,2116,-209,1020,1342
Akram,1-2-2026,right,معلومات,good,1767342365655,12824,10152,2032,12,445,988
Akram,1-2-2026,right,معلومات,good,1767342365705,11608,11360,3280,211,477,177
Akram,1-2-2026,right,معلومات,good,1767342365755,12244,10732,2876,480,-811,90
Akram,1-2-2026,right,معلومات,good,1767342365804,11772,10988,3700,-622,-878,-50
Akram,1-2-2026,right,معلومات,good,1767342365855,11836,10768,3712,-765,-1070,-813
Akram,1-2-2026,right,معلومات,good,1767342365905,12700,10692,3312,-609,-830,-143
Akram,1-2-2026,right,معلومات,good,1767342365956,12264,11004,1700,-209,614,-123
Akram,1-2-2026,right,معلومات,good,1767342365999,12232,10828,2640,-137,1039,134
Akram,1-2-2026,right,معلومات,good,1767342366055,12328,10836,2272,-20,1442,62
Akram,1-2-2026,right,معلومات,good,1767342366105,12552,10748,2360,-16,2185,23
Akram,1-2-2026,right,معلومات,good,1767342366155,11980,11104,3216,1061,814,-583
Akram,1-2-2026,right,معلومات,good,1767342366206,11796,11144,560,1785,-22,-638
Akram,1-2-2026,right,معلومات,good,1767342366255,11900,11000,-24,2224,980,-238
Akram,1-2-2026,right,معلومات,good,1767342366306,11556,10284,7432,1228,-1293,-13
Akram,1-2-2026,right,معلومات,good,1767342366356,12028,10932,1692,998,39,100
Akram,1-2-2026,right,معلومات,good,1767342366406,12416,10600,644,1632,-478,291
Akram,1-2-2026,right,معلومات,good,1767342366455,11452,11800,4216,125,764,83
Akram,1-2-2026,right,معلومات,good,1767342366508,12212,10648,2516,197,-221,285
Akram,1-2-2026,right,معلومات,good,1767342366555,13792,8908,3284,-371,487,1075
Akram,1-2-2026,right,معلومات,good,1767342366605,11596,11720,2868,-759,-524,1635
Akram,1-2-2026,right,معلومات,good,1767342366656,13664,9172,3044,131,408,1436
Akram,1-2-2026,right,معلومات,good,1767342366707,12096,11244,2692,-598,55,303
Akram,1-2-2026,right,معلومات,good,1767342366755,12576,10520,2720,-100,68,25
Akram,1-2-2026,right,معلومات,good,1767342366800,12356,10564,2696,-223,683,672
Akram,1-2-2026,right,معلومات,good,1767342366849,12608,10940,3476,569,1620,-1113
Akram,1-2-2026,right,معلومات,good,1767342366901,10212,11816,1572,2074,-1783,-1999
Akram,1-2-2026,right,معلومات,good,1767342366949,12468,10732,2452,474,1023,-1000
Akram,1-2-2026,right,معلومات,good,1767342367000,12144,10796,2416,-272,859,-599
Akram,1-2-2026,right,معلومات,good,1767342367051,12616,10360,2688,562,638,-279
Akram,1-2-2026,right,معلومات,good,1767342367101,12124,11396,5324,715,974,-324
Akram,1-2-2026,right,معلومات,good,1767342367150,12684,9612,-936,2300,-720,394
Akram,1-2-2026,right,معلومات,good,1767342367206,12456,9836,2068,1338,-1654,842
Akram,1-2-2026,right,معلومات,good,1767342367254,10592,12600,4828,63,725,604
Akram,1-2-2026,right,معلومات,good,1767342367300,11780,11328,3036,-14,-1234,236
Akram,1-2-2026,right,معلومات,good,1767342367355,11372,11544,368,-104,336,-47
Akram,1-2-2026,right,معلومات,good,1767342367400,11836,11632,2744,-70,881,-190
Akram,1-2-2026,right,معلومات,good,1767342367450,11896,10356,1612,-173,-305,-684
Akram,1-2-2026,right,معلومات,good,1767342367500,11940,11184,2264,197,778,-783
Akram,1-2-2026,right,معلومات,good,1767342367551,11320,11848,1688,948,-83,-1264
Akram,1-2-2026,right,معلومات,good,1767342367599,12064,11140,1588,484,997,-412
Akram,1-2-2026,right,معلومات,good,1767342367650,13292,10528,1840,2247,2490,128
Akram,1-2-2026,right,معلومات,good,1767342367705,13288,9784,3552,1519,1249,959
Akram,1-2-2026,right,معلومات,good,1767342367755,13296,10236,2416,458,-1188,1139
Akram,1-2-2026,right,معلومات,good,1767342367805,13240,13436,3312,-1332,1598,3681
Akram,1-2-2026,right,معلومات,good,1767342367855,11772,9264,1116,-366,1209,1192
Akram,1-2-2026,right,معلومات,good,1767342367905,12972,10492,2084,343,243,790
Akram,1-2-2026,right,معلومات,good,1767342367955,11992,9972,2504,435,272,-27
Akram,1-2-2026,right,معلومات,good,1767342368004,12304,10176,2300,826,730,-865
Akram,1-2-2026,right,معلومات,good,1767342368055,12456,10412,1988,868,1432,-1307
Akram,1-2-2026,right,معلومات,good,1767342368105,12528,12104,3592,-982,898,38
Akram,1-2-2026,right,معلومات,good,1767342368158,12804,10344,788,-1280,-961,692
Akram,1-2-2026,right,معلومات,good,1767342368205,12428,10936,3376,-1086,40,2
Akram,1-2-2026,right,معلومات,good,1767342368255,12112,11124,2544,-412,1113,-553
Akram,1-2-2026,right,معلومات,good,1767342368305,12784,10324,2816,420,1510,-495
Akram,1-2-2026,right,معلومات,good,1767342368355,11988,10652,788,1803,-1680,-220
Akram,1-2-2026,right,معلومات,good,1767342368405,12608,10296,4536,751,-216,667
Akram,1-2-2026,right,معلومات,good,1767342368455,12996,10276,2472,306,364,917
Akram,1-2-2026,right,معلومات,good,1767342368505,12040,10688,2476,272,-170,-18
Akram,1-2-2026,right,معلومات,good,1767342368555,12208,10792,2432,-263,1157,160
Akram,1-2-2026,right,معلومات,good,1767342368605,11900,11080,1676,633,801,-707
Akram,1-2-2026,right,معلومات,good,1767342368655,12632,10332,2072,817,362,-189
Akram,1-2-2026,right,معلومات,good,1767342368705,12480,10532,3360,926,-630,-310
Akram,1-2-2026,right,معلومات,good,1767342368754,11992,10872,3800,691,62,-147
Akram,1-2-2026,right,معلومات,good,1767342368805,11304,11432,2404,-258,-243,525
Akram,1-2-2026,right,معلومات,good,1767342368855,13596,9468,3576,-1461,2956,1501
Akram,1-2-2026,right,معلومات,good,1767342368905,12800,11316,4264,-364,1893,619
Akram,1-2-2026,right,معلومات,good,1767342368955,12740,10292,3012,110,235,768
Akram,1-2-2026,right,معلومات,good,1767342369005,12560,11020,3040,-373,861,440
Akram,1-2-2026,right,معلومات,good,1767342369057,12740,11684,2248,1937,-3999,-1658
Akram,1-2-2026,right,معلومات,good,1767342369105,12208,9580,912,680,237,786
Akram,1-2-2026,right,معلومات,good,1767342369155,13012,9616,2740,1181,1384,148
Akram,1-2-2026,right,معلومات,good,1767342369205,11864,9748,3320,1012,1117,-756
Akram,1-2-2026,right,معلومات,good,1767342369254,12568,10772,2760,291,654,-1256
Akram,1-2-2026,right,معلومات,good,1767342369305,12328,10672,3120,-809,1031,6
Akram,1-2-2026,right,معلومات,good,1767342369357,12068,10660,2584,-612,1881,-229
Akram,1-2-2026,right,معلومات,good,1767342369405,12184,10724,3192,103,1264,247
Akram,1-2-2026,right,معلومات,good,1767342369455,12392,10804,3064,-274,879,-130
Akram,1-2-2026,right,معلومات,good,1767342369505,12376,10428,3204,379,315,-532
Akram,1-2-2026,right,معلومات,good,1767342369555,11912,11104,2660,286,709,-582
Akram,1-2-2026,right,معلومات,good,1767342369605,12596,10056,3972,875,876,-170
Akram,1-2-2026,right,معلومات,good,1767342369655,13548,10072,712,1406,1444,744
Akram,1-2-2026,right,معلومات,good,1767342369705,9916,11804,4184,2731,704,612
Akram,1-2-2026,right,معلومات,good,1767342369755,11948,10828,3888,1413,145,796
