student,student_id,hand,sample,quality,timestamp_ms,ax,ay,az,gx,gy,gz
Amine,1-3-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767481350319,5412,12296,11120,2915,-3084,1788
Amine,1-3-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767481350366,6456,12212,9616,755,741,510
Amine,1-3-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767481350416,6476,13464,9360,-773,-1312,359
Amine,1-3-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767481350467,6732,12332,9372,-2790,4493,-1610
Amine,1-3-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767481350516,5476,11972,9764,-3836,4097,-79
Amine,1-3-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767481350566,5120,10736,9264,1662,2021,-763
Amine,1-3-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767481350615,7264,15304,10348,1771,1651,-981
Amine,1-3-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767481350667,5360,13412,9128,718,-858,-171
Amine,1-3-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767481350717,5848,13144,9228,358,217,-1167
Amine,1-3-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767481350767,6976,13616,6532,2618,-2638,555
Amine,1-3-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767481350817,5728,12052,8736,712,1059,1473
Amine,1-3-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767481350866,3184,13872,9932,837,886,517
Amine,1-3-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767481350915,5740,13120,10268,-428,404,7
Amine,1-3-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767481350966,5584,12644,9268,-256,1455,-181
Amine,1-3-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767481351015,6128,13004,8960,-316,262,117
Amine,1-3-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767481351066,6008,12808,9476,-102,-65,-541
Amine,1-3-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767481351116,6452,12496,9816,1070,696,258
Amine,1-3-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767481351166,6476,12036,9688,1000,1221,1773
Amine,1-3-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767481351215,4788,14384,8764,-27,184,1288
Amine,1-3-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767481351265,5680,14260,8696,-3294,2169,-1170
Amine,1-3-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767481351315,5544,10400,8656,-3026,69,1656
Amine,1-3-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767481351365,6032,10480,9564,2774,1146,-2406
Amine,1-3-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767481351417,6724,16604,8416,1185,425,-1949
Amine,1-3-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767481351465,5988,12768,9240,-91,-1892,355
Amine,1-3-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767481351520,6936,12892,9212,-1011,-1059,-755
Amine,1-3-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767481351566,8232,15972,12968,-3040,1063,4676
Amine,1-3-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767481351616,5252,9988,8800,-497,193,1839
Amine,1-3-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767481351666,6036,10928,9852,5506,2437,-2751
Amine,1-3-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767481351717,5116,12312,9940,2059,264,689
Amine,1-3-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767481351781,6648,12624,8524,464,-733,921
Amine,1-3-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767481351830,5028,13632,8656,-403,703,-998
Amine,1-3-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767481351915,4552,14316,9264,-309,-888,-1488
Amine,1-3-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767481351934,4920,14436,8408,-785,-3824,-927
Amine,1-3-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767481351984,7036,12132,9452,735,1128,-40
Amine,1-3-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767481352017,4792,11760,12124,1909,3797,1212
Amine,1-3-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767481352066,6620,12620,10160,1402,3263,967
Amine,1-3-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767481352116,5960,12516,9240,-29,414,182
Amine,1-3-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767481352166,6032,13496,6696,95,554,-36
Amine,1-3-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767481352216,5656,13572,8300,253,132,211
Amine,1-3-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767481352265,6204,12952,8932,-332,217,-389
Amine,1-3-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767481352316,6092,13496,7912,272,91,-440
Amine,1-3-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767481352366,6032,12604,9884,1357,-305,1032
Amine,1-3-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767481352417,5380,12888,8880,947,1288,545
Amine,1-3-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767481352466,6192,12532,9460,-14,392,211
Amine,1-3-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767481352515,6544,12820,7976,43,-951,891
Amine,1-3-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767481352565,5772,13692,8328,566,737,495
Amine,1-3-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767481352616,6060,13116,8496,-587,474,-1036
Amine,1-3-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767481352666,6656,14012,7884,665,-325,539
Amine,1-3-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767481352715,5060,12980,9496,1017,475,6
Amine,1-3-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767481352766,6336,11856,10076,598,351,1794
Amine,1-3-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767481352816,5700,13936,8724,-928,369,947
Amine,1-3-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767481352866,7636,15000,9708,-2391,637,3667
Amine,1-3-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767481352918,6088,10072,8604,3766,1670,-1094
Amine,1-3-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767481352967,5084,13924,8816,1997,-419,-845
Amine,1-3-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767481353015,5916,12988,8480,-1020,-1973,-1582
Amine,1-3-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767481353066,7476,12884,9432,-2622,650,-1222
Amine,1-3-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767481353115,5888,10492,8416,-3143,940,1905
Amine,1-3-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767481353165,6324,11376,9312,2569,3120,-430
Amine,1-3-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767481353215,5580,18136,8616,1119,876,-208
Amine,1-3-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767481353267,4784,13928,8132,-535,-880,-1068
Amine,1-3-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767481353315,6592,13176,9468,-203,-1753,-612
Amine,1-3-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767481353365,6720,11736,9596,963,345,460
Amine,1-3-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767481353417,6860,12688,9216,588,685,1801
Amine,1-3-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767481353466,6152,13692,7308,-250,789,-311
Amine,1-3-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767481353515,5536,13480,8356,594,707,172
Amine,1-3-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767481353567,6448,13008,8544,701,430,-57
Amine,1-3-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767481353615,8024,13880,7900,2806,-2117,1334
Amine,1-3-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767481353665,4388,14396,7800,2589,-1645,1583
Amine,1-3-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767481353715,5312,12952,9276,445,-1202,-566
Amine,1-3-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767481353767,5936,13180,8776,-101,-46,-381
Amine,1-3-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767481353816,6324,13832,8884,-1052,-458,63
Amine,1-3-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767481353865,8620,11416,9980,-7342,-647,5370
Amine,1-3-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767481353917,6500,10676,8448,-4359,-1518,387
Amine,1-3-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767481353966,4792,12292,8444,1766,-1692,-2928
Amine,1-3-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767481354016,5696,13780,9456,309,-2309,-1542
Amine,1-3-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767481354067,4556,13972,9800,-65,-2177,-2599
Amine,1-3-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767481354118,7440,12160,9908,-613,-986,296
Amine,1-3-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767481354166,6652,10968,8916,1016,2084,-1243
Amine,1-3-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767481354215,5104,14216,8424,1152,1482,-598
Amine,1-3-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767481354265,6708,13068,8136,745,-1356,1605
Amine,1-3-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767481354316,5200,13824,7868,1306,1295,-1789
Amine,1-3-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767481354366,-752,13224,16120,907,149,1693
Amine,1-3-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767481354415,6496,12444,9580,-1350,-208,196
Amine,1-3-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767481354467,8468,14616,11432,-5452,2240,1623
Amine,1-3-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767481354518,4512,10468,7860,-1051,1596,-84
Amine,1-3-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767481354567,7004,10108,8292,4265,2474,-2328
Amine,1-3-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767481354616,4844,13812,8312,831,-1049,109
Amine,1-3-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767481354667,6980,12676,8952,-226,462,-1408
Amine,1-3-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767481354715,4428,11608,10324,902,-1179,1276
Amine,1-3-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767481354765,5332,11736,9228,1551,-533,537
Amine,1-3-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767481354815,7276,12332,9404,1293,1304,356
Amine,1-3-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767481354867,4052,14232,9124,418,789,179
Amine,1-3-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767481354916,6480,13332,9220,-723,2441,786
Amine,1-3-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767481354966,5348,14436,9572,-1715,2450,287
Amine,1-3-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767481355016,6728,11024,9464,-2498,1049,526
Amine,1-3-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767481355067,5964,11100,9116,1645,1532,-1922
Amine,1-3-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767481355120,7060,15584,8756,1022,648,-46
Amine,1-3-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767481355170,6108,13600,8544,907,-62,-154
Amine,1-3-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767481355216,5520,13972,8496,-35,-895,-453
Amine,1-3-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767481355268,7576,13312,7996,313,-2669,1194
Amine,1-3-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767481355315,7400,11928,9820,876,1359,-805
Amine,1-3-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767481355365,6192,12464,9536,1548,1718,1519
Amine,1-3-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767481355416,5160,13576,8624,-79,477,1837
Amine,1-3-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767481355465,6860,15264,9856,-2665,141,2801
Amine,1-3-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767481355516,5764,10264,8536,516,35,-121
Amine,1-3-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767481355565,10668,18856,10188,2373,2241,-1845
Amine,1-3-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767481355616,6388,12616,9772,1824,235,-634
Amine,1-3-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767481355666,6076,12928,8764,-569,206,240
Amine,1-3-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767481355715,6900,12532,10036,-2511,717,1008
Amine,1-3-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767481355765,5348,11056,8652,-2736,1609,-375
Amine,1-3-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767481355817,5972,10804,9200,1531,1554,-1908
Amine,1-3-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767481355867,5820,11776,8300,1335,809,286
Amine,1-3-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767481355915,6296,13200,8524,-247,-650,233
Amine,1-3-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767481355965,7176,12648,9228,867,-1354,609
Amine,1-3-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767481356015,5912,12236,10036,321,136,130
Amine,1-3-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767481356065,7380,12316,9780,970,1037,733
Amine,1-3-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767481356116,6220,13172,8008,810,1363,672
Amine,1-3-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767481356166,5912,14308,8548,-953,152,1230
Amine,1-3-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767481356217,6736,11484,8120,-3690,-1377,4377
Amine,1-3-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767481356266,7368,9188,9284,3862,1764,-1230
Amine,1-3-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767481356316,4360,13616,8600,2389,185,-850
Amine,1-3-2026,right,التعليم الجيد يفتح أبواب المستقبل,good,1767481356365,3296,13920,10020,-1346,-1050,-2782
