student,student_id,hand,sample,quality,timestamp_ms,ax,ay,az,gx,gy,gz
Amine,1-3-2026,right,العلم أساس تقدم المجتمعات,good,1767480772724,5596,13380,9036,782,-1996,1596
Amine,1-3-2026,right,العلم أساس تقدم المجتمعات,good,1767480772773,6660,12740,9180,305,-1638,-69
Amine,1-3-2026,right,العلم أساس تقدم المجتمعات,good,1767480772824,5432,13264,8552,1027,2535,-347
Amine,1-3-2026,right,العلم أساس تقدم المجتمعات,good,1767480772864,5364,11640,9212,1070,1648,1272
Amine,1-3-2026,right,العلم أساس تقدم المجتمعات,good,1767480772914,6128,12228,9888,886,1851,-1068
Amine,1-3-2026,right,العلم أساس تقدم المجتمعات,good,1767480772964,5016,13400,9344,-1598,335,1442
Amine,1-3-2026,right,العلم أساس تقدم المجتمعات,good,1767480773014,7124,12704,10788,-3219,-53,2101
Amine,1-3-2026,right,العلم أساس تقدم المجتمعات,good,1767480773074,5960,12048,9788,-3186,609,127
Amine,1-3-2026,right,العلم أساس تقدم المجتمعات,good,1767480773115,5380,11808,10124,-323,813,-289
Amine,1-3-2026,right,العلم أساس تقدم المجتمعات,good,1767480773174,5768,12388,9716,1955,1286,-1048
Amine,1-3-2026,right,العلم أساس تقدم المجتمعات,good,1767480773223,7016,15936,11736,1388,1709,-958
Amine,1-3-2026,right,العلم أساس تقدم المجتمعات,good,1767480773274,5192,12828,9388,442,-522,-188
Amine,1-3-2026,right,العلم أساس تقدم المجتمعات,good,1767480773323,5912,13300,9624,1847,-400,356
Amine,1-3-2026,right,العلم أساس تقدم المجتمعات,good,1767480773374,5228,12380,10852,873,549,265
Amine,1-3-2026,right,العلم أساس تقدم المجتمعات,good,1767480773431,5548,12592,9420,893,1304,-499
Amine,1-3-2026,right,العلم أساس تقدم المجتمعات,good,1767480773499,4588,13340,9700,475,1085,-94
Amine,1-3-2026,right,العلم أساس تقدم المجتمعات,good,1767480773563,5932,12712,9704,239,38,942
Amine,1-3-2026,right,العلم أساس تقدم المجتمعات,good,1767480773615,5428,12868,9812,-306,1376,-136
Amine,1-3-2026,right,العلم أساس تقدم المجتمعات,good,1767480773622,4940,13068,9624,-108,631,248
Amine,1-3-2026,right,العلم أساس تقدم المجتمعات,good,1767480773674,5560,12928,9684,-53,-90,242
Amine,1-3-2026,right,العلم أساس تقدم المجتمعات,good,1767480773724,4528,13440,10416,-829,305,-1688
Amine,1-3-2026,right,العلم أساس تقدم المجتمعات,good,1767480773773,5696,13464,9608,-105,-830,-585
Amine,1-3-2026,right,العلم أساس تقدم المجتمعات,good,1767480773823,6412,12764,9444,604,1313,-507
Amine,1-3-2026,right,العلم أساس تقدم المجتمعات,good,1767480773874,7028,12400,9120,1406,1443,1975
Amine,1-3-2026,right,العلم أساس تقدم المجتمعات,good,1767480773922,5428,12916,8920,1679,1667,1001
Amine,1-3-2026,right,العلم أساس تقدم المجتمعات,good,1767480773974,4916,13180,10260,426,1114,345
Amine,1-3-2026,right,العلم أساس تقدم المجتمعات,good,1767480774023,7044,12244,9964,-285,234,-16
Amine,1-3-2026,right,العلم أساس تقدم المجتمعات,good,1767480774074,6448,13576,7692,-609,1214,-584
Amine,1-3-2026,right,العلم أساس تقدم المجتمعات,good,1767480774123,5820,13060,8776,83,-638,927
Amine,1-3-2026,right,العلم أساس تقدم المجتمعات,good,1767480774173,6372,13588,8356,529,686,-625
Amine,1-3-2026,right,العلم أساس تقدم المجتمعات,good,1767480774223,5952,14032,10336,1208,-845,1460
Amine,1-3-2026,right,العلم أساس تقدم المجتمعات,good,1767480774274,8204,12048,10400,1101,1877,-674
Amine,1-3-2026,right,العلم أساس تقدم المجتمعات,good,1767480774322,3348,14272,10152,501,2935,407
Amine,1-3-2026,right,العلم أساس تقدم المجتمعات,good,1767480774374,5120,13500,10308,-1995,-515,1948
Amine,1-3-2026,right,العلم أساس تقدم المجتمعات,good,1767480774423,5744,11712,9132,-3234,1102,1526
Amine,1-3-2026,right,العلم أساس تقدم المجتمعات,good,1767480774474,5484,11280,9100,581,1134,5
Amine,1-3-2026,right,العلم أساس تقدم المجتمعات,good,1767480774522,5132,11488,9108,3116,1988,-940
Amine,1-3-2026,right,العلم أساس تقدم المجتمعات,good,1767480774574,4872,13536,8920,1099,-80,640
Amine,1-3-2026,right,العلم أساس تقدم المجتمعات,good,1767480774623,7188,12260,9260,-365,-514,-1191
Amine,1-3-2026,right,العلم أساس تقدم المجتمعات,good,1767480774674,6124,12184,8928,1450,-448,616
Amine,1-3-2026,right,العلم أساس تقدم المجتمعات,good,1767480774723,6924,12208,8724,1319,556,1583
Amine,1-3-2026,right,العلم أساس تقدم المجتمعات,good,1767480774774,5920,12240,8200,-152,227,313
Amine,1-3-2026,right,العلم أساس تقدم المجتمعات,good,1767480774830,5412,12676,9072,-844,136,-631
Amine,1-3-2026,right,العلم أساس تقدم المجتمعات,good,1767480774874,5452,12960,9196,487,357,99
Amine,1-3-2026,right,العلم أساس تقدم المجتمعات,good,1767480774924,5964,12976,9096,835,151,403
Amine,1-3-2026,right,العلم أساس تقدم المجتمعات,good,1767480774974,6172,13080,8352,1685,-58,558
Amine,1-3-2026,right,العلم أساس تقدم المجتمعات,good,1767480775024,5840,13436,5580,3340,-1498,718
Amine,1-3-2026,right,العلم أساس تقدم المجتمعات,good,1767480775074,6980,12688,9200,2527,-2099,1360
Amine,1-3-2026,right,العلم أساس تقدم المجتمعات,good,1767480775123,6184,13748,6964,1643,117,237
Amine,1-3-2026,right,العلم أساس تقدم المجتمعات,good,1767480775166,5708,12652,9528,118,1306,-157
Amine,1-3-2026,right,العلم أساس تقدم المجتمعات,good,1767480775224,5952,13016,10472,-3390,-163,-371
Amine,1-3-2026,right,العلم أساس تقدم المجتمعات,good,1767480775277,5564,13276,9004,-3391,1330,528
Amine,1-3-2026,right,العلم أساس تقدم المجتمعات,good,1767480775323,4932,11592,9076,-1618,-101,470
Amine,1-3-2026,right,العلم أساس تقدم المجتمعات,good,1767480775375,6792,11780,9656,-101,260,-1428
Amine,1-3-2026,right,العلم أساس تقدم المجتمعات,good,1767480775423,6548,11824,9772,965,513,-226
Amine,1-3-2026,right,العلم أساس تقدم المجتمعات,good,1767480775473,5052,12972,9204,538,-915,-1306
Amine,1-3-2026,right,العلم أساس تقدم المجتمعات,good,1767480775523,5164,14072,9368,0,-264,-1540
Amine,1-3-2026,right,العلم أساس تقدم المجتمعات,good,1767480775574,5748,12644,9508,-230,-435,-515
Amine,1-3-2026,right,العلم أساس تقدم المجتمعات,good,1767480775623,6160,12720,9588,-203,-252,-458
Amine,1-3-2026,right,العلم أساس تقدم المجتمعات,good,1767480775674,5272,12476,9716,336,206,-601
Amine,1-3-2026,right,العلم أساس تقدم المجتمعات,good,1767480775723,6012,13144,9416,99,-578,-104
Amine,1-3-2026,right,العلم أساس تقدم المجتمعات,good,1767480775773,5500,13200,9200,524,-1024,330
Amine,1-3-2026,right,العلم أساس تقدم المجتمعات,good,1767480775824,4644,12188,10036,630,868,-905
Amine,1-3-2026,right,العلم أساس تقدم المجتمعات,good,1767480775873,6244,13188,8332,2266,-988,1087
Amine,1-3-2026,right,العلم أساس تقدم المجتمعات,good,1767480775924,6228,12552,9656,233,-53,746
Amine,1-3-2026,right,العلم أساس تقدم المجتمعات,good,1767480775973,5424,12416,10520,-1993,-1213,2472
Amine,1-3-2026,right,العلم أساس تقدم المجتمعات,good,1767480776024,7820,14460,10748,-6059,1126,956
Amine,1-3-2026,right,العلم أساس تقدم المجتمعات,good,1767480776072,6060,11624,8772,-2467,1652,-500
Amine,1-3-2026,right,العلم أساس تقدم المجتمعات,good,1767480776124,5076,10400,9216,942,519,-1939
Amine,1-3-2026,right,العلم أساس تقدم المجتمعات,good,1767480776173,8788,17280,12272,1186,-150,-262
Amine,1-3-2026,right,العلم أساس تقدم المجتمعات,good,1767480776224,6208,12776,9208,431,-1104,663
Amine,1-3-2026,right,العلم أساس تقدم المجتمعات,good,1767480776273,3764,13576,9736,703,131,611
Amine,1-3-2026,right,العلم أساس تقدم المجتمعات,good,1767480776324,5680,13164,8736,645,-1481,317
Amine,1-3-2026,right,العلم أساس تقدم المجتمعات,good,1767480776373,6928,12100,9920,-388,806,-1378
Amine,1-3-2026,right,العلم أساس تقدم المجتمعات,good,1767480776424,4964,12656,9492,1000,1084,1417
