student,student_id,hand,sample,quality,timestamp_ms,ax,ay,az,gx,gy,gz
Amine,1-3-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767478399106,-136,13120,11120,-35,893,-467
Amine,1-3-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767478399167,-680,12488,11192,-104,1341,162
Amine,1-3-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767478399216,696,13048,10988,-35,807,1
Amine,1-3-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767478399267,44,13140,11160,-222,585,-321
Amine,1-3-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767478399317,236,13368,10780,39,-99,261
Amine,1-3-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767478399367,416,12844,11620,-104,375,-105
Amine,1-3-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767478399416,956,12544,11336,-434,1037,-214
Amine,1-3-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767478399467,-28,13340,10484,-305,429,-293
Amine,1-3-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767478399518,740,13456,10520,-265,248,-36
Amine,1-3-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767478399567,-264,12720,11828,629,379,179
Amine,1-3-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767478399620,1052,13312,11608,494,-373,654
Amine,1-3-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767478399667,384,12812,11612,195,820,-919
Amine,1-3-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767478399717,956,12872,11256,-225,71,85
Amine,1-3-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767478399767,264,12904,11736,-47,1452,675
Amine,1-3-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767478399816,692,12620,11284,-14,2641,144
Amine,1-3-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767478399867,-152,12780,11720,-630,4024,544
Amine,1-3-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767478399917,-464,13120,10924,-160,468,344
Amine,1-3-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767478399967,632,13140,10888,-54,-964,-449
Amine,1-3-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767478400017,-576,13860,10392,348,-2043,-547
Amine,1-3-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767478400054,720,12792,11212,347,368,-244
Amine,1-3-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767478400117,1468,12672,11332,642,281,1457
Amine,1-3-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767478400166,480,11672,11484,539,2388,1411
Amine,1-3-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767478400217,-1276,13540,10560,-96,1645,194
Amine,1-3-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767478400266,-44,13444,11060,-1000,841,537
Amine,1-3-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767478400317,880,13528,11940,-5433,-3324,1389
Amine,1-3-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767478400367,620,10920,11044,-1619,-2401,-728
Amine,1-3-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767478400421,1300,11148,11736,2707,2427,-1404
Amine,1-3-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767478400466,564,15592,13600,2472,3197,-1291
Amine,1-3-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767478400517,584,13824,10568,249,413,32
Amine,1-3-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767478400566,744,14480,10568,-754,-2354,812
Amine,1-3-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767478400617,324,11128,9772,-2282,-2103,3617
Amine,1-3-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767478400666,884,11136,12204,2027,2622,109
Amine,1-3-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767478400721,164,13240,12528,2267,2564,-1438
Amine,1-3-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767478400766,-316,13580,11376,-34,1046,-369
Amine,1-3-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767478400817,408,13872,10364,183,1681,134
Amine,1-3-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767478400896,224,13512,10576,462,1254,713
Amine,1-3-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767478400979,-808,13276,10904,711,194,630
Amine,1-3-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767478400987,836,12724,11636,-82,-1573,-893
Amine,1-3-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767478401017,-428,13196,11768,-829,-1503,-1445
Amine,1-3-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767478401054,432,13068,11232,-3601,-2945,958
Amine,1-3-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767478401117,1348,11680,11284,-106,1488,968
Amine,1-3-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767478401167,-416,12292,9976,2932,3763,-180
Amine,1-3-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767478401216,-292,13788,10932,694,2047,-169
Amine,1-3-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767478401267,-160,13512,11008,700,19,-1525
Amine,1-3-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767478401317,-284,12664,11652,10,-1485,-802
Amine,1-3-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767478401367,1196,13688,11844,-1387,-976,563
Amine,1-3-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767478401417,296,12212,10676,-4256,-1988,2592
Amine,1-3-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767478401467,1272,11140,11444,-687,-1871,554
Amine,1-3-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767478401517,1308,12012,12056,470,252,949
Amine,1-3-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767478401567,436,12692,11672,1542,809,-127
Amine,1-3-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767478401617,132,12912,11000,1460,54,-784
Amine,1-3-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767478401667,16,13740,11464,1143,-39,-1406
Amine,1-3-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767478401717,660,12720,11120,-60,-659,-867
Amine,1-3-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767478401771,1228,12564,11272,605,120,-990
Amine,1-3-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767478401816,364,13196,11296,634,242,-837
Amine,1-3-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767478401867,864,13232,11208,376,832,-415
Amine,1-3-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767478401917,1012,13060,10896,589,1000,-516
Amine,1-3-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767478401967,652,13708,10188,500,1546,-553
Amine,1-3-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767478402016,2196,14416,8936,1290,-444,83
Amine,1-3-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767478402067,-1004,11572,13832,345,-713,804
Amine,1-3-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767478402117,232,12868,11256,-393,-97,60
Amine,1-3-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767478402167,184,13124,11980,-2125,-1017,-83
Amine,1-3-2026,right,اللغة العربية غنية بالتعبير والدقة في المعاني,good,1767478402217,452,12304,9796,-4190,-1171,737
