student,student_id,hand,sample,quality,timestamp_ms,ax,ay,az,gx,gy,gz
Amine,1-3-2026,right,يحب الطالب التعلم واكتشاف أشياء جديدة,good,1767479793054,3908,17832,11620,2196,738,-374
Amine,1-3-2026,right,يحب الطالب التعلم واكتشاف أشياء جديدة,good,1767479793106,4500,13444,10300,852,-2330,86
Amine,1-3-2026,right,يحب الطالب التعلم واكتشاف أشياء جديدة,good,1767479793157,3152,14224,8260,-598,-444,-1814
Amine,1-3-2026,right,يحب الطالب التعلم واكتشاف أشياء جديدة,good,1767479793204,3844,13844,10692,-2157,1344,14
Amine,1-3-2026,right,يحب الطالب التعلم واكتشاف أشياء جديدة,good,1767479793256,2336,12424,9812,-2680,941,401
Amine,1-3-2026,right,يحب الطالب التعلم واكتشاف أشياء جديدة,good,1767479793302,3600,12104,10484,-17,1342,38
Amine,1-3-2026,right,يحب الطالب التعلم واكتشاف أشياء جديدة,good,1767479793352,2460,12724,10160,2143,2367,-94
Amine,1-3-2026,right,يحب الطالب التعلم واكتشاف أشياء جديدة,good,1767479793402,3040,13320,10184,2123,1602,234
Amine,1-3-2026,right,يحب الطالب التعلم واكتشاف أشياء جديدة,good,1767479793453,2052,14176,10012,724,487,162
Amine,1-3-2026,right,يحب الطالب التعلم واكتشاف أشياء جديدة,good,1767479793501,2292,13940,9836,571,-815,688
Amine,1-3-2026,right,يحب الطالب التعلم واكتشاف أشياء جديدة,good,1767479793552,2472,14220,9368,379,-1788,-375
Amine,1-3-2026,right,يحب الطالب التعلم واكتشاف أشياء جديدة,good,1767479793603,3720,13132,9536,65,-2137,88
Amine,1-3-2026,right,يحب الطالب التعلم واكتشاف أشياء جديدة,good,1767479793652,3884,13480,9880,542,858,-201
Amine,1-3-2026,right,يحب الطالب التعلم واكتشاف أشياء جديدة,good,1767479793702,1280,13576,9944,193,2234,416
Amine,1-3-2026,right,يحب الطالب التعلم واكتشاف أشياء جديدة,good,1767479793752,2880,13692,9960,208,2004,579
