student,student_id,hand,sample,quality,timestamp_ms,ax,ay,az,gx,gy,gz
Amine,1-3-2026,right,يحتاج النجاح إلى الصبر والعمل المستمر,good,1767481985749,6376,11808,9816,1819,188,-1427
Amine,1-3-2026,right,يحتاج النجاح إلى الصبر والعمل المستمر,good,1767481985785,6800,13120,9688,1058,-1185,-1582
Amine,1-3-2026,right,يحتاج النجاح إلى الصبر والعمل المستمر,good,1767481985850,6264,12392,9468,1384,-78,-1577
Amine,1-3-2026,right,يحتاج النجاح إلى الصبر والعمل المستمر,good,1767481985900,6680,12160,9336,1180,180,-2273
Amine,1-3-2026,right,يحتاج النجاح إلى الصبر والعمل المستمر,good,1767481985950,6496,12276,9540,1710,548,-2419
Amine,1-3-2026,right,يحتاج النجاح إلى الصبر والعمل المستمر,good,1767481985999,6112,11976,8972,1901,282,-3055
Amine,1-3-2026,right,يحتاج النجاح إلى الصبر والعمل المستمر,good,1767481986048,5832,13624,9104,956,-38,-1441
Amine,1-3-2026,right,يحتاج النجاح إلى الصبر والعمل المستمر,good,1767481986100,6104,13084,9068,371,-869,-708
Amine,1-3-2026,right,يحتاج النجاح إلى الصبر والعمل المستمر,good,1767481986149,5352,13840,8348,275,-1456,-290
Amine,1-3-2026,right,يحتاج النجاح إلى الصبر والعمل المستمر,good,1767481986200,5316,12932,9892,96,-1153,42
Amine,1-3-2026,right,يحتاج النجاح إلى الصبر والعمل المستمر,good,1767481986248,6744,12584,9056,207,67,-1109
Amine,1-3-2026,right,يحتاج النجاح إلى الصبر والعمل المستمر,good,1767481986300,6548,12632,8944,795,2333,-259
Amine,1-3-2026,right,يحتاج النجاح إلى الصبر والعمل المستمر,good,1767481986350,6264,12664,10308,1200,1515,2141
Amine,1-3-2026,right,يحتاج النجاح إلى الصبر والعمل المستمر,good,1767481986400,5216,13768,8816,-156,-296,1121
Amine,1-3-2026,right,يحتاج النجاح إلى الصبر والعمل المستمر,good,1767481986449,6432,14368,8312,-2289,713,824
Amine,1-3-2026,right,يحتاج النجاح إلى الصبر والعمل المستمر,good,1767481986499,5640,11148,8744,-2154,-665,1689
Amine,1-3-2026,right,يحتاج النجاح إلى الصبر والعمل المستمر,good,1767481986549,5968,11080,9036,3281,1064,-2435
Amine,1-3-2026,right,يحتاج النجاح إلى الصبر والعمل المستمر,good,1767481986599,5472,14156,8528,2229,424,-1988
Amine,1-3-2026,right,يحتاج النجاح إلى الصبر والعمل المستمر,good,1767481986653,5048,14084,8452,226,-1430,-2076
Amine,1-3-2026,right,يحتاج النجاح إلى الصبر والعمل المستمر,good,1767481986699,5032,13164,8980,-1186,-484,-1693
Amine,1-3-2026,right,يحتاج النجاح إلى الصبر والعمل المستمر,good,1767481986750,7120,12828,9224,-1425,1119,1043
Amine,1-3-2026,right,يحتاج النجاح إلى الصبر والعمل المستمر,good,1767481986801,5852,12456,8592,-1990,1332,1977
Amine,1-3-2026,right,يحتاج النجاح إلى الصبر والعمل المستمر,good,1767481986850,5968,12228,9328,661,1720,44
Amine,1-3-2026,right,يحتاج النجاح إلى الصبر والعمل المستمر,good,1767481986899,6100,12636,8844,1519,2439,-387
