student,student_id,hand,sample,quality,timestamp_ms,ax,ay,az,gx,gy,gz
Amine,1-4-2026,right,تعليم,good,1767486154523,11652,10660,2052,1126,912,-2618
Amine,1-4-2026,right,تعليم,good,1767486154574,12232,11044,2832,-1189,1584,-893
Amine,1-4-2026,right,تعليم,good,1767486154624,11856,11620,2732,-882,1391,-472
Amine,1-4-2026,right,تعليم,good,1767486154675,11636,11592,3328,-123,1809,-146
Amine,1-4-2026,right,تعليم,good,1767486154724,11768,11328,3336,1064,709,-1089
Amine,1-4-2026,right,تعليم,good,1767486154774,12676,10952,1884,434,780,-81
Amine,1-4-2026,right,تعليم,good,1767486154823,13940,10124,888,2691,2204,781
Amine,1-4-2026,right,تعليم,good,1767486154873,12420,11552,-376,2827,-2828,191
Amine,1-4-2026,right,تعليم,good,1767486154924,11624,11432,2720,2629,-6041,2091
Amine,1-4-2026,right,تعليم,good,1767486154975,12048,10768,1348,-632,-564,2374
Amine,1-4-2026,right,تعليم,good,1767486155024,12060,9804,2704,-1291,-405,358
Amine,1-4-2026,right,تعليم,good,1767486155074,12340,9944,540,-390,-260,512
Amine,1-4-2026,right,تعليم,good,1767486155125,12888,11864,2808,-2888,3685,-740
Amine,1-4-2026,right,تعليم,good,1767486155174,11188,11384,3328,621,-892,-619
Amine,1-4-2026,right,تعليم,good,1767486155224,12692,11064,1356,125,164,-160
Amine,1-4-2026,right,تعليم,good,1767486155274,11908,11092,2796,-801,458,-334
Amine,1-4-2026,right,تعليم,good,1767486155323,12704,10572,664,-686,-1096,-748
Amine,1-4-2026,right,تعليم,good,1767486155374,12008,10624,696,-1046,1761,-159
Amine,1-4-2026,right,تعليم,good,1767486155424,12396,11328,2596,-88,2302,1201
Amine,1-4-2026,right,تعليم,good,1767486155473,11468,12532,2384,2002,-3323,658
Amine,1-4-2026,right,تعليم,good,1767486155524,11276,8228,2092,2568,-1610,455
Amine,1-4-2026,right,تعليم,good,1767486155575,12344,10152,2664,1797,1135,-2891
Amine,1-4-2026,right,تعليم,good,1767486155626,14448,11724,2836,177,2235,-680
