student,student_id,hand,sample,quality,timestamp_ms,ax,ay,az,gx,gy,gz
Amine,1-4-2026,right,تكنولوجيا,bad,1767485873229,13148,9868,-1920,2423,1123,-755
Amine,1-4-2026,right,تكنولوجيا,bad,1767485873279,11376,12020,10640,2605,-2946,367
Amine,1-4-2026,right,تكنولوجيا,bad,1767485873325,14096,10516,4448,1175,-5546,665
Amine,1-4-2026,right,تكنولوجيا,bad,1767485873375,12584,7388,1268,-2354,807,3808
Amine,1-4-2026,right,تكنولوجيا,bad,1767485873425,12520,6376,2472,213,-655,-2835
Amine,1-4-2026,right,تكنولوجيا,bad,1767485873475,12584,12504,4292,-2661,3330,-648
Amine,1-4-2026,right,تكنولوجيا,bad,1767485873525,13160,9740,3920,492,-430,-588
Amine,1-4-2026,right,تكنولوجيا,bad,1767485873576,13784,8952,5076,-2151,-248,51
Amine,1-4-2026,right,تكنولوجيا,bad,1767485873625,14096,10376,1780,115,1791,1551
Amine,1-4-2026,right,تكنولوجيا,bad,1767485873675,15916,9308,4460,3391,-5570,3852
Amine,1-4-2026,right,تكنولوجيا,bad,1767485873728,12052,6092,-504,1937,443,-121
Amine,1-4-2026,right,تكنولوجيا,bad,1767485873777,13440,8132,4528,-892,3882,-519
Amine,1-4-2026,right,تكنولوجيا,bad,1767485873826,13112,12052,5524,-1465,-1479,727
Amine,1-4-2026,right,تكنولوجيا,bad,1767485873875,13576,9968,2396,-733,779,-76
Amine,1-4-2026,right,تكنولوجيا,bad,1767485873929,13336,9656,2000,973,658,740
Amine,1-4-2026,right,تكنولوجيا,bad,1767485873979,10240,11660,4852,2483,-1183,-1565
Amine,1-4-2026,right,تكنولوجيا,bad,1767485874029,12208,10192,3680,115,-4285,-868
Amine,1-4-2026,right,تكنولوجيا,bad,1767485874079,13336,11452,2912,-1088,2064,-347
Amine,1-4-2026,right,تكنولوجيا,bad,1767485874133,14296,8816,1844,-168,982,-256
Amine,1-4-2026,right,تكنولوجيا,bad,1767485874179,13760,7668,2360,2570,-627,1209
Amine,1-4-2026,right,تكنولوجيا,bad,1767485874229,12916,8908,3424,2831,-1563,-650
Amine,1-4-2026,right,تكنولوجيا,bad,1767485874278,13124,9264,3492,1038,-1057,92
Amine,1-4-2026,right,تكنولوجيا,bad,1767485874332,12888,10228,2000,-68,219,291
Amine,1-4-2026,right,تكنولوجيا,bad,1767485874379,13424,9208,2732,-141,1761,535
Amine,1-4-2026,right,تكنولوجيا,bad,1767485874430,15188,9064,408,5092,56,677
Amine,1-4-2026,right,تكنولوجيا,bad,1767485874481,12640,10620,4624,611,-3056,1283
Amine,1-4-2026,right,تكنولوجيا,bad,1767485874529,9276,4772,-1892,-396,2870,-993
Amine,1-4-2026,right,تكنولوجيا,bad,1767485874579,15908,10008,2972,-2684,5630,-494
Amine,1-4-2026,right,تكنولوجيا,bad,1767485874629,13164,13584,3088,1307,-2575,962
Amine,1-4-2026,right,تكنولوجيا,bad,1767485874679,13064,4644,-944,1363,44,1536
Amine,1-4-2026,right,تكنولوجيا,bad,1767485874728,21188,2976,8432,-1612,10146,-135
Amine,1-4-2026,right,تكنولوجيا,bad,1767485874779,12556,10792,2960,1472,-5232,-1107
Amine,1-4-2026,right,تكنولوجيا,bad,1767485874829,12504,11296,868,-1367,4266,485
Amine,1-4-2026,right,تكنولوجيا,bad,1767485874878,14096,8912,3488,1792,46,-1109
Amine,1-4-2026,right,تكنولوجيا,bad,1767485874929,14376,11800,9220,3899,1450,1876
Amine,1-4-2026,right,تكنولوجيا,bad,1767485874975,15632,6688,5608,-4963,-2193,8331
Amine,1-4-2026,right,تكنولوجيا,bad,1767485875029,7968,6948,-2116,-195,906,-1898
Amine,1-4-2026,right,تكنولوجيا,bad,1767485875078,14220,11264,3952,-2793,1537,162
Amine,1-4-2026,right,تكنولوجيا,bad,1767485875129,12020,13488,1744,1437,347,-996
Amine,1-4-2026,right,تكنولوجيا,bad,1767485875179,11248,10488,-1892,2544,1809,-3801
Amine,1-4-2026,right,تكنولوجيا,bad,1767485875229,16764,6172,5108,475,4261,148
Amine,1-4-2026,right,تكنولوجيا,bad,1767485875276,13340,8828,6396,347,-1117,1184
Amine,1-4-2026,right,تكنولوجيا,bad,1767485875326,12336,10516,2148,217,-218,-302
Amine,1-4-2026,right,تكنولوجيا,bad,1767485875376,12364,9408,-3660,2237,4077,-2695
Amine,1-4-2026,right,تكنولوجيا,bad,1767485875428,13864,9028,-3272,3512,-862,-910
Amine,1-4-2026,right,تكنولوجيا,bad,1767485875475,13852,10252,3744,947,-2461,1317
Amine,1-4-2026,right,تكنولوجيا,bad,1767485875525,11380,7716,-40,-1222,3210,5002
Amine,1-4-2026,right,تكنولوجيا,bad,1767485875575,11688,9188,5336,-933,3123,-4121
Amine,1-4-2026,right,تكنولوجيا,bad,1767485875629,13484,9564,3528,-1449,439,-120
Amine,1-4-2026,right,تكنولوجيا,bad,1767485875675,13236,11576,6108,368,329,-1254
Amine,1-4-2026,right,تكنولوجيا,bad,1767485875726,16340,7752,-172,-590,-362,-431
Amine,1-4-2026,right,تكنولوجيا,bad,1767485875775,14128,7300,-1256,2386,-427,398
Amine,1-4-2026,right,تكنولوجيا,bad,1767485875825,14492,10928,6244,3787,2284,608
Amine,1-4-2026,right,تكنولوجيا,bad,1767485875875,12464,12344,3676,2546,-6792,-536
Amine,1-4-2026,right,تكنولوجيا,bad,1767485875925,10096,9096,1848,-1382,-3240,2546
Amine,1-4-2026,right,تكنولوجيا,bad,1767485875975,13360,5356,2216,2407,5769,-8502
Amine,1-4-2026,right,تكنولوجيا,bad,1767485876026,11584,11152,4892,-132,4884,-2092
Amine,1-4-2026,right,تكنولوجيا,bad,1767485876076,13968,10548,2044,1127,-2930,949
Amine,1-4-2026,right,تكنولوجيا,bad,1767485876125,18556,9716,5480,-1631,-4719,7252
Amine,1-4-2026,right,تكنولوجيا,bad,1767485876179,7188,4664,-2348,2833,1588,-3118
Amine,1-4-2026,right,تكنولوجيا,bad,1767485876226,14188,13104,4528,-2116,3856,-976
Amine,1-4-2026,right,تكنولوجيا,bad,1767485876278,13248,10328,2732,1571,-1160,563
Amine,1-4-2026,right,تكنولوجيا,bad,1767485876329,14032,8320,1984,-1087,2848,-362
Amine,1-4-2026,right,تكنولوجيا,bad,1767485876380,12912,9352,7692,3757,2160,977
Amine,1-4-2026,right,تكنولوجيا,bad,1767485876429,13220,9880,4072,1588,-3241,1023
Amine,1-4-2026,right,تكنولوجيا,bad,1767485876481,15200,11240,1476,-1372,-2524,3675
Amine,1-4-2026,right,تكنولوجيا,bad,1767485876528,10260,4276,-1664,1404,2667,-3710
Amine,1-4-2026,right,تكنولوجيا,bad,1767485876578,14196,10324,3240,-1079,5008,-1427
Amine,1-4-2026,right,تكنولوجيا,bad,1767485876630,14000,10812,2984,807,-1729,-1561
Amine,1-4-2026,right,تكنولوجيا,bad,1767485876678,14316,9760,1012,218,-3138,1262
Amine,1-4-2026,right,تكنولوجيا,bad,1767485876729,17812,8536,3036,350,-6317,6430
Amine,1-4-2026,right,تكنولوجيا,bad,1767485876778,12148,6176,-612,2548,3318,-1940
Amine,1-4-2026,right,تكنولوجيا,bad,1767485876831,14604,9236,3552,-1025,3333,-1116
Amine,1-4-2026,right,تكنولوجيا,bad,1767485876878,13548,9908,3608,-2092,-1779,725
Amine,1-4-2026,right,تكنولوجيا,bad,1767485876929,19360,5176,5732,-1391,7704,3709
Amine,1-4-2026,right,تكنولوجيا,bad,1767485876980,12496,12032,3016,-229,103,487
Amine,1-4-2026,right,تكنولوجيا,bad,1767485877029,14948,10240,7888,131,-8071,729
Amine,1-4-2026,right,تكنولوجيا,bad,1767485877079,11232,6052,-40,500,-3791,3598
Amine,1-4-2026,right,تكنولوجيا,bad,1767485877129,15128,9264,1208,106,2816,-882
Amine,1-4-2026,right,تكنولوجيا,bad,1767485877223,13224,7712,3088,1058,-1112,1026
Amine,1-4-2026,right,تكنولوجيا,bad,1767485877229,14024,7920,576,-21,820,-1150
Amine,1-4-2026,right,تكنولوجيا,bad,1767485877279,13800,8840,1768,-33,773,170
Amine,1-4-2026,right,تكنولوجيا,bad,1767485877329,14000,8680,1760,521,235,31
Amine,1-4-2026,right,تكنولوجيا,bad,1767485877378,13520,8132,1300,195,885,-625
Amine,1-4-2026,right,تكنولوجيا,bad,1767485877426,13856,8972,1888,475,1121,-337
Amine,1-4-2026,right,تكنولوجيا,bad,1767485877475,13764,8800,2468,-333,-403,181
Amine,1-4-2026,right,تكنولوجيا,bad,1767485877525,15652,8396,1488,-465,2013,1216
Amine,1-4-2026,right,تكنولوجيا,bad,1767485877582,13700,8820,2256,221,427,522
Amine,1-4-2026,right,تكنولوجيا,bad,1767485877625,14328,8024,1772,367,-101,348
Amine,1-4-2026,right,تكنولوجيا,bad,1767485877676,13816,8476,1508,128,684,360
Amine,1-4-2026,right,تكنولوجيا,bad,1767485877726,13636,8548,2632,92,-571,635
Amine,1-4-2026,right,تكنولوجيا,bad,1767485877779,13760,8000,1316,428,-299,-257
