student,student_id,hand,sample,quality,timestamp_ms,ax,ay,az,gx,gy,gz
Amine,1-4-2026,right,تكنولوجيا,good,1767485979176,12352,10216,3796,57,142,-105
Amine,1-4-2026,right,تكنولوجيا,good,1767485979227,12408,9944,3796,14,-2,-611
Amine,1-4-2026,right,تكنولوجيا,good,1767485979278,12760,10268,3960,13,201,-527
Amine,1-4-2026,right,تكنولوجيا,good,1767485979327,12072,9992,4104,88,215,-579
Amine,1-4-2026,right,تكنولوجيا,good,1767485979377,12004,9528,3776,48,535,-1611
Amine,1-4-2026,right,تكنولوجيا,good,1767485979427,12012,10968,3300,283,1498,-1984
Amine,1-4-2026,right,تكنولوجيا,good,1767485979477,11880,11256,4720,311,-1330,-1259
Amine,1-4-2026,right,تكنولوجيا,good,1767485979527,12412,11448,3520,-75,-244,-349
Amine,1-4-2026,right,تكنولوجيا,good,1767485979579,12032,10924,3896,-1589,1628,-238
Amine,1-4-2026,right,تكنولوجيا,good,1767485979627,11792,10968,4300,396,-233,123
Amine,1-4-2026,right,تكنولوجيا,good,1767485979677,11772,8420,5008,999,-1034,-442
Amine,1-4-2026,right,تكنولوجيا,good,1767485979728,12924,9956,3320,624,-201,-667
Amine,1-4-2026,right,تكنولوجيا,good,1767485979775,12064,11004,4060,-550,-1726,343
Amine,1-4-2026,right,تكنولوجيا,good,1767485979827,12476,11624,3764,584,207,721
Amine,1-4-2026,right,تكنولوجيا,good,1767485979877,11776,11932,4368,1442,-3662,3026
Amine,1-4-2026,right,تكنولوجيا,good,1767485979927,11672,10020,992,-1426,-1972,2820
Amine,1-4-2026,right,تكنولوجيا,good,1767485979978,11868,8992,4100,726,162,-2065
Amine,1-4-2026,right,تكنولوجيا,good,1767485980027,11676,10816,5056,-1744,-1348,-1568
Amine,1-4-2026,right,تكنولوجيا,good,1767485980077,13120,10252,2072,326,3483,-1307
Amine,1-4-2026,right,تكنولوجيا,good,1767485980127,12256,11296,3828,12,2993,-1272
Amine,1-4-2026,right,تكنولوجيا,good,1767485980177,11260,12072,5344,1622,201,-461
Amine,1-4-2026,right,تكنولوجيا,good,1767485980227,12208,11004,4676,375,-2049,98
Amine,1-4-2026,right,تكنولوجيا,good,1767485980278,11472,12144,5896,-3035,2352,-218
Amine,1-4-2026,right,تكنولوجيا,good,1767485980325,12276,10796,3296,-476,2732,-705
Amine,1-4-2026,right,تكنولوجيا,good,1767485980377,13772,9424,-5520,4399,367,1008
Amine,1-4-2026,right,تكنولوجيا,good,1767485980426,12156,12704,12104,-216,-29,162
Amine,1-4-2026,right,تكنولوجيا,good,1767485980476,12624,11784,3944,1324,-2204,3108
Amine,1-4-2026,right,تكنولوجيا,good,1767485980526,11416,9568,1132,-2885,338,3798
Amine,1-4-2026,right,تكنولوجيا,good,1767485980576,13628,10040,2828,1844,1618,731
Amine,1-4-2026,right,تكنولوجيا,good,1767485980625,11692,9652,3916,-7,560,-719
