student,student_id,hand,sample,quality,timestamp_ms,ax,ay,az,gx,gy,gz
Amine,1-4-2026,right,جامعة,bad,1767486473386,11124,13528,2756,-1648,3291,-1484
Amine,1-4-2026,right,جامعة,bad,1767486473426,10476,12104,3392,1059,-5171,-90
Amine,1-4-2026,right,جامعة,bad,1767486473478,13280,9568,-1820,-861,-2440,-1340
Amine,1-4-2026,right,جامعة,bad,1767486473527,12580,11188,1936,-341,4097,-530
Amine,1-4-2026,right,جامعة,bad,1767486473576,11300,12424,2892,3692,3070,-363
Amine,1-4-2026,right,جامعة,bad,1767486473627,11120,11652,3916,1890,1912,-123
Amine,1-4-2026,right,جامعة,bad,1767486473677,10692,14160,3980,-850,-4970,1678
Amine,1-4-2026,right,جامعة,bad,1767486473726,10852,7428,1344,2898,-621,361
Amine,1-4-2026,right,جامعة,bad,1767486473775,7492,14860,2204,-2772,5919,-4244
Amine,1-4-2026,right,جامعة,bad,1767486473826,10060,13244,1996,2862,-1956,918
Amine,1-4-2026,right,جامعة,bad,1767486473876,11548,11944,-308,-2160,487,2752
Amine,1-4-2026,right,جامعة,bad,1767486473926,11400,9724,724,-412,757,6419
Amine,1-4-2026,right,جامعة,bad,1767486473976,6740,7464,3036,2596,2123,-8304
Amine,1-4-2026,right,جامعة,bad,1767486474028,10260,15996,3660,-245,123,-3718
Amine,1-4-2026,right,جامعة,bad,1767486474076,12172,9868,4132,-2886,44,3753
Amine,1-4-2026,right,جامعة,bad,1767486474127,5416,17840,-452,-3058,1813,1000
Amine,1-4-2026,right,جامعة,bad,1767486474177,5340,16512,1424,3471,-4767,-1357
Amine,1-4-2026,right,جامعة,bad,1767486474226,13304,7372,-1708,2304,2529,901
Amine,1-4-2026,right,جامعة,bad,1767486474276,5100,15344,4968,-1750,5996,-2749
Amine,1-4-2026,right,جامعة,bad,1767486474326,10848,12200,3320,1970,-5587,1651
Amine,1-4-2026,right,جامعة,bad,1767486474377,13216,10404,-3372,-1073,2184,489
Amine,1-4-2026,right,جامعة,bad,1767486474428,12920,8268,1848,1440,2044,-1060
Amine,1-4-2026,right,جامعة,bad,1767486474477,11548,11844,2516,586,-2762,850
Amine,1-4-2026,right,جامعة,bad,1767486474528,11404,12144,1028,-1012,2489,825
Amine,1-4-2026,right,جامعة,bad,1767486474577,15480,9712,2760,896,3731,-255
Amine,1-4-2026,right,جامعة,bad,1767486474611,11980,8380,6528,-982,-60,1416
Amine,1-4-2026,right,جامعة,bad,1767486474677,9948,11676,-320,-1612,2064,4051
Amine,1-4-2026,right,جامعة,bad,1767486474726,7256,12672,3248,3065,-3554,-1680
Amine,1-4-2026,right,جامعة,bad,1767486474776,14028,10540,6120,-2612,-7790,151
Amine,1-4-2026,right,جامعة,bad,1767486474828,10564,10964,-4624,611,4934,-1003
Amine,1-4-2026,right,جامعة,bad,1767486474878,12704,13100,4724,1783,2359,11
Amine,1-4-2026,right,جامعة,bad,1767486474926,13768,9508,3116,1898,-2089,384
Amine,1-4-2026,right,جامعة,bad,1767486474976,12520,10792,592,-1135,2233,4260
Amine,1-4-2026,right,جامعة,bad,1767486475026,8076,13368,5596,2108,2217,-2320
Amine,1-4-2026,right,جامعة,bad,1767486475076,12580,12104,9400,-2326,-6473,-170
Amine,1-4-2026,right,جامعة,bad,1767486475126,13836,11548,456,-1999,-799,6292
Amine,1-4-2026,right,جامعة,bad,1767486475176,10076,6564,-2360,490,2997,2249
Amine,1-4-2026,right,جامعة,bad,1767486475227,11720,7532,2944,-1226,7682,-2667
Amine,1-4-2026,right,جامعة,bad,1767486475276,11072,12192,4116,1052,-4387,-638
Amine,1-4-2026,right,جامعة,bad,1767486475327,13236,9524,-2304,-2573,1007,629
Amine,1-4-2026,right,جامعة,bad,1767486475377,11960,14056,2524,659,1367,2593
Amine,1-4-2026,right,جامعة,bad,1767486475429,10924,9496,2360,1552,-2424,6295
Amine,1-4-2026,right,جامعة,bad,1767486475476,14048,8128,416,2681,-83,-951
Amine,1-4-2026,right,جامعة,bad,1767486475526,12016,10804,2724,1098,-680,1916
Amine,1-4-2026,right,جامعة,bad,1767486475575,12480,9168,1216,855,-2507,-124
Amine,1-4-2026,right,جامعة,bad,1767486475628,12956,10488,564,-352,889,308
Amine,1-4-2026,right,جامعة,bad,1767486475676,12876,11212,1984,767,-908,2033
Amine,1-4-2026,right,جامعة,bad,1767486475727,12816,8856,580,159,-1272,1537
Amine,1-4-2026,right,جامعة,bad,1767486475783,12988,9836,448,-917,-8,410
