student,student_id,hand,sample,quality,timestamp_ms,ax,ay,az,gx,gy,gz
Amine,1-4-2026,right,مدرسة,bad,1767485505080,13356,10748,3576,-1666,2132,-1296
Amine,1-4-2026,right,مدرسة,bad,1767485505136,11748,11048,11216,-2933,-454,242
Amine,1-4-2026,right,مدرسة,bad,1767485505186,12348,11160,2848,-265,3123,-600
Amine,1-4-2026,right,مدرسة,bad,1767485505236,14668,6676,3576,1432,-1289,-63
Amine,1-4-2026,right,مدرسة,bad,1767485505285,11684,10404,4828,-1113,667,201
Amine,1-4-2026,right,مدرسة,bad,1767485505336,13188,10200,2268,379,-31,641
Amine,1-4-2026,right,مدرسة,bad,1767485505385,12244,10376,-3576,3647,450,-1156
Amine,1-4-2026,right,مدرسة,bad,1767485505436,14292,8496,1584,2631,-3338,-801
Amine,1-4-2026,right,مدرسة,bad,1767485505485,13276,9524,3368,-90,45,195
Amine,1-4-2026,right,مدرسة,bad,1767485505536,12824,10080,2884,322,-721,421
Amine,1-4-2026,right,مدرسة,bad,1767485505588,14904,9292,1512,1197,1105,-101
Amine,1-4-2026,right,مدرسة,bad,1767485505623,14416,9136,4468,2007,363,-705
Amine,1-4-2026,right,مدرسة,bad,1767485505685,13280,11000,3880,2184,-3224,1025
Amine,1-4-2026,right,مدرسة,bad,1767485505735,12048,10152,2152,-1835,556,3878
Amine,1-4-2026,right,مدرسة,bad,1767485505784,12960,7976,592,1347,3061,39
Amine,1-4-2026,right,مدرسة,bad,1767485505823,12956,9568,2896,177,-855,285
Amine,1-4-2026,right,مدرسة,bad,1767485505888,11988,8248,1440,735,1393,-4581
Amine,1-4-2026,right,مدرسة,bad,1767485505936,13300,11248,3168,136,-717,-977
Amine,1-4-2026,right,مدرسة,bad,1767485505985,11492,13060,3564,121,3008,376
Amine,1-4-2026,right,مدرسة,bad,1767485506037,17560,6028,2940,1330,1902,-1117
Amine,1-4-2026,right,مدرسة,bad,1767485506085,13856,7804,5164,2799,-2125,823
Amine,1-4-2026,right,مدرسة,bad,1767485506135,13460,10584,4020,772,-5404,2139
Amine,1-4-2026,right,مدرسة,bad,1767485506185,9820,4780,-464,-870,3002,298
Amine,1-4-2026,right,مدرسة,bad,1767485506235,12872,13204,3576,-913,279,125
Amine,1-4-2026,right,مدرسة,bad,1767485506285,13704,11248,2108,1013,976,-488
Amine,1-4-2026,right,مدرسة,bad,1767485506338,14868,8844,2072,427,1621,-293
Amine,1-4-2026,right,مدرسة,bad,1767485506385,12172,10876,3388,-205,-2261,828
Amine,1-4-2026,right,مدرسة,bad,1767485506435,12116,11288,1660,915,1703,303
Amine,1-4-2026,right,مدرسة,bad,1767485506486,14904,7144,2280,36,997,40
Amine,1-4-2026,right,مدرسة,bad,1767485506535,13972,7940,2756,367,-2190,370
Amine,1-4-2026,right,مدرسة,bad,1767485506585,13180,9864,1304,428,963,422
Amine,1-4-2026,right,مدرسة,bad,1767485506635,13476,9888,4176,1737,1054,-618
Amine,1-4-2026,right,مدرسة,bad,1767485506685,13672,9328,3796,898,-799,-265
Amine,1-4-2026,right,مدرسة,bad,1767485506735,16208,5328,1580,-325,2056,2064
Amine,1-4-2026,right,مدرسة,bad,1767485506786,11324,12396,4952,-391,5929,833
Amine,1-4-2026,right,مدرسة,bad,1767485506839,11720,10368,7152,-251,-7986,-2564
Amine,1-4-2026,right,مدرسة,bad,1767485506886,16240,8240,-2712,-2279,-652,2990
Amine,1-4-2026,right,مدرسة,bad,1767485506935,9172,6268,-2292,142,549,1747
Amine,1-4-2026,right,مدرسة,bad,1767485506986,32767,17348,2448,872,6135,2758
Amine,1-4-2026,right,مدرسة,bad,1767485507035,12840,8812,3256,179,-4936,-441
Amine,1-4-2026,right,مدرسة,bad,1767485507085,14324,7424,-3500,-616,3677,272
Amine,1-4-2026,right,مدرسة,bad,1767485507135,13772,9832,2284,-1465,271,382
Amine,1-4-2026,right,مدرسة,bad,1767485507186,14412,12424,1440,278,-1809,5434
Amine,1-4-2026,right,مدرسة,bad,1767485507235,12580,5284,2160,1753,-2332,1560
Amine,1-4-2026,right,مدرسة,bad,1767485507285,15020,8612,236,-386,883,1297
Amine,1-4-2026,right,مدرسة,bad,1767485507323,12660,8328,1732,561,472,-609
Amine,1-4-2026,right,مدرسة,bad,1767485507384,14108,8916,1604,57,120,-680
Amine,1-4-2026,right,مدرسة,bad,1767485507430,13772,8668,1400,359,-745,209
Amine,1-4-2026,right,مدرسة,bad,1767485507485,13980,8972,1084,177,-234,416
Amine,1-4-2026,right,مدرسة,bad,1767485507535,13736,8588,740,400,-324,32
Amine,1-4-2026,right,مدرسة,bad,1767485507586,13720,8668,664,272,688,-592
Amine,1-4-2026,right,مدرسة,bad,1767485507637,13968,9196,1476,-379,652,-48
