student,student_id,hand,sample,quality,timestamp_ms,ax,ay,az,gx,gy,gz
Amine,1-4-2026,right,مدرسة,good,1767485304639,12424,9096,5496,705,92,-942
Amine,1-4-2026,right,مدرسة,good,1767485304691,13200,9036,5192,712,646,-630
Amine,1-4-2026,right,مدرسة,good,1767485304739,13352,9272,5700,733,1386,-660
Amine,1-4-2026,right,مدرسة,good,1767485304791,12592,9352,5160,-391,-275,114
Amine,1-4-2026,right,مدرسة,good,1767485304839,12904,9028,5588,26,264,-521
Amine,1-4-2026,right,مدرسة,good,1767485304892,12376,9716,5356,749,953,-741
Amine,1-4-2026,right,مدرسة,good,1767485304938,12428,9600,5952,-140,-829,-390
Amine,1-4-2026,right,مدرسة,good,1767485304989,12132,9656,5224,-269,1336,-583
Amine,1-4-2026,right,مدرسة,good,1767485305039,12600,9004,5604,-217,-2057,-123
Amine,1-4-2026,right,مدرسة,good,1767485305089,12760,9284,5436,109,1101,-309
Amine,1-4-2026,right,مدرسة,good,1767485305139,12972,9044,5460,-94,-397,47
Amine,1-4-2026,right,مدرسة,good,1767485305190,11956,9948,5152,450,2286,-422
Amine,1-4-2026,right,مدرسة,good,1767485305241,12724,9352,5256,1447,414,104
Amine,1-4-2026,right,مدرسة,good,1767485305293,12344,8596,6112,855,-38,478
Amine,1-4-2026,right,مدرسة,good,1767485305339,12388,9376,5536,135,-258,46
Amine,1-4-2026,right,مدرسة,good,1767485305389,12532,9692,5536,111,-1571,-32
Amine,1-4-2026,right,مدرسة,good,1767485305439,12788,9944,5404,-286,-418,-47
Amine,1-4-2026,right,مدرسة,good,1767485305474,12268,9776,5684,-150,-149,74
Amine,1-4-2026,right,مدرسة,good,1767485305539,12584,9544,5540,-76,-1105,117
Amine,1-4-2026,right,مدرسة,good,1767485305589,12616,9312,5200,-129,-93,-43
Amine,1-4-2026,right,مدرسة,good,1767485305639,12576,9872,5228,868,3587,-127
Amine,1-4-2026,right,مدرسة,good,1767485305689,13472,8228,5884,314,3500,-21
Amine,1-4-2026,right,مدرسة,good,1767485305740,12808,9544,5684,2456,-221,627
Amine,1-4-2026,right,مدرسة,good,1767485305789,13156,8772,3488,2236,-593,38
Amine,1-4-2026,right,مدرسة,good,1767485305840,13292,9124,4784,1059,-209,625
Amine,1-4-2026,right,مدرسة,good,1767485305889,13052,9328,5376,749,-91,461
Amine,1-4-2026,right,مدرسة,good,1767485305939,11900,9648,5812,552,210,270
Amine,1-4-2026,right,مدرسة,good,1767485305988,12752,9496,5472,305,340,154
Amine,1-4-2026,right,مدرسة,good,1767485306039,13768,8632,4808,-116,-558,441
Amine,1-4-2026,right,مدرسة,good,1767485306089,12344,9744,5772,-4,-113,104
Amine,1-4-2026,right,مدرسة,good,1767485306138,12872,9324,5256,155,17,-56
Amine,1-4-2026,right,مدرسة,good,1767485306189,12500,9808,5476,38,799,-98
Amine,1-4-2026,right,مدرسة,good,1767485306239,11140,11376,5732,971,3006,-1203
Amine,1-4-2026,right,مدرسة,good,1767485306289,12932,9236,5380,593,1955,-325
Amine,1-4-2026,right,مدرسة,good,1767485306339,12604,9512,5604,-94,883,210
Amine,1-4-2026,right,مدرسة,good,1767485306388,12520,9512,4260,2127,452,171
Amine,1-4-2026,right,مدرسة,good,1767485306439,11776,9908,7592,1028,1990,180
Amine,1-4-2026,right,مدرسة,good,1767485306490,13008,9740,4944,621,-1153,1304
Amine,1-4-2026,right,مدرسة,good,1767485306543,11800,9956,6020,373,112,526
Amine,1-4-2026,right,مدرسة,good,1767485306589,12316,10012,5532,-570,743,-249
Amine,1-4-2026,right,مدرسة,good,1767485306639,13696,9828,5756,-1070,-804,1618
Amine,1-4-2026,right,مدرسة,good,1767485306689,12424,9084,5728,569,119,1051
Amine,1-4-2026,right,مدرسة,good,1767485306739,12988,8812,5276,377,1358,326
Amine,1-4-2026,right,مدرسة,good,1767485306789,12196,8848,5640,558,68,-41
Amine,1-4-2026,right,مدرسة,good,1767485306839,13352,9648,5316,413,622,127
Amine,1-4-2026,right,مدرسة,good,1767485306889,12340,9328,5840,399,618,-194
Amine,1-4-2026,right,مدرسة,good,1767485306939,12036,9448,5928,755,681,-676
Amine,1-4-2026,right,مدرسة,good,1767485306988,13020,9208,5632,-108,180,-418
Amine,1-4-2026,right,مدرسة,good,1767485307039,12712,10084,5708,530,1401,-378
Amine,1-4-2026,right,مدرسة,good,1767485307089,13080,9820,5612,-54,2773,-648
Amine,1-4-2026,right,مدرسة,good,1767485307139,12804,9076,6204,816,352,-7
Amine,1-4-2026,right,مدرسة,good,1767485307188,12604,9896,5128,1152,1674,-536
Amine,1-4-2026,right,مدرسة,good,1767485307239,12400,9120,6608,517,2249,-588
Amine,1-4-2026,right,مدرسة,good,1767485307289,12556,9488,6136,336,2976,-192
Amine,1-4-2026,right,مدرسة,good,1767485307340,12384,9472,5064,2383,-516,262
Amine,1-4-2026,right,مدرسة,good,1767485307389,11248,10320,8828,1048,-504,451
Amine,1-4-2026,right,مدرسة,good,1767485307439,12348,10140,6168,-600,-1575,1023
Amine,1-4-2026,right,مدرسة,good,1767485307489,12192,9900,6952,-656,-1198,1293
Amine,1-4-2026,right,مدرسة,good,1767485307539,12496,7932,4600,-3227,-1466,1687
Amine,1-4-2026,right,مدرسة,good,1767485307588,12308,9796,6056,-4,-506,368
Amine,1-4-2026,right,مدرسة,good,1767485307639,13120,8796,4756,-73,-193,536
Amine,1-4-2026,right,مدرسة,good,1767485307689,12836,9420,5512,401,962,-920
Amine,1-4-2026,right,مدرسة,good,1767485307740,13584,9504,6004,137,958,-480
Amine,1-4-2026,right,مدرسة,good,1767485307789,12392,9952,5748,787,511,-206
Amine,1-4-2026,right,مدرسة,good,1767485307841,12628,9796,5852,85,1772,-391
Amine,1-4-2026,right,مدرسة,good,1767485307889,12012,10624,5820,-957,1289,-1306
Amine,1-4-2026,right,مدرسة,good,1767485307941,13576,9128,5172,58,1722,-5
Amine,1-4-2026,right,مدرسة,good,1767485307989,11880,9384,5464,788,897,-264
Amine,1-4-2026,right,مدرسة,good,1767485308039,12668,9092,5700,460,1048,218
Amine,1-4-2026,right,مدرسة,good,1767485308089,12232,9352,6168,958,221,181
Amine,1-4-2026,right,مدرسة,good,1767485308139,13280,9272,5548,-145,-1458,536
Amine,1-4-2026,right,مدرسة,good,1767485308189,12592,9500,5592,65,-49,-4
Amine,1-4-2026,right,مدرسة,good,1767485308239,12440,10100,5636,-355,-367,45
Amine,1-4-2026,right,مدرسة,good,1767485308289,12592,9660,5496,105,-418,153
Amine,1-4-2026,right,مدرسة,good,1767485308406,12328,9520,5564,-85,-51,204
Amine,1-4-2026,right,مدرسة,good,1767485308472,12340,9740,5252,1076,1796,-467
Amine,1-4-2026,right,مدرسة,good,1767485308475,13340,8320,5616,300,807,156
Amine,1-4-2026,right,مدرسة,good,1767485308524,12504,9096,6272,244,1032,-121
Amine,1-4-2026,right,مدرسة,good,1767485308540,12484,9172,5808,310,1077,93
Amine,1-4-2026,right,مدرسة,good,1767485308606,12024,9652,6760,691,291,-143
Amine,1-4-2026,right,مدرسة,good,1767485308671,12908,9300,5316,864,-1242,375
Amine,1-4-2026,right,مدرسة,good,1767485308781,12196,9356,5668,122,-590,36
Amine,1-4-2026,right,مدرسة,good,1767485308792,12664,9196,6124,-907,-1373,526
Amine,1-4-2026,right,مدرسة,good,1767485308807,12132,9536,5660,-1339,-19,410
Amine,1-4-2026,right,مدرسة,good,1767485308840,12872,9360,5484,175,85,-218
Amine,1-4-2026,right,مدرسة,good,1767485308888,12164,9724,5252,-229,-88,150
Amine,1-4-2026,right,مدرسة,good,1767485308938,12892,9440,5820,903,2140,115
Amine,1-4-2026,right,مدرسة,good,1767485308989,13196,9176,5664,833,2157,-200
Amine,1-4-2026,right,مدرسة,good,1767485309038,12636,8900,6312,488,169,94
Amine,1-4-2026,right,مدرسة,good,1767485309089,12564,9468,5956,394,902,-35
Amine,1-4-2026,right,مدرسة,good,1767485309139,12572,9404,6000,178,614,-28
Amine,1-4-2026,right,مدرسة,good,1767485309189,12760,9428,4972,667,229,169
Amine,1-4-2026,right,مدرسة,good,1767485309238,12656,9408,5356,232,-218,20
Amine,1-4-2026,right,مدرسة,good,1767485309289,13260,8924,4804,170,-630,747
Amine,1-4-2026,right,مدرسة,good,1767485309338,12936,8640,6624,-24,-979,193
Amine,1-4-2026,right,مدرسة,good,1767485309406,12996,9536,5644,-98,-339,344
Amine,1-4-2026,right,مدرسة,good,1767485309459,12072,9724,5008,-1603,-712,422
Amine,1-4-2026,right,مدرسة,good,1767485309497,12372,10004,5592,-17,200,299
Amine,1-4-2026,right,مدرسة,good,1767485309556,12124,9972,6464,861,1565,49
Amine,1-4-2026,right,مدرسة,good,1767485309608,12040,9120,5496,2269,834,805
Amine,1-4-2026,right,مدرسة,good,1767485309687,12400,9472,6224,748,1595,202
Amine,1-4-2026,right,مدرسة,good,1767485309730,12644,9284,4176,1707,1370,91
Amine,1-4-2026,right,مدرسة,good,1767485309739,12408,9472,5980,1380,74,-498
Amine,1-4-2026,right,مدرسة,good,1767485309810,12504,9512,5048,135,473,-387
Amine,1-4-2026,right,مدرسة,good,1767485309855,12940,9084,3860,-546,925,-524
Amine,1-4-2026,right,مدرسة,good,1767485309933,12996,9648,5268,112,-144,-488
Amine,1-4-2026,right,مدرسة,good,1767485309982,11816,9120,5760,-4791,418,245
Amine,1-4-2026,right,مدرسة,good,1767485310030,13252,9412,5236,515,326,131
Amine,1-4-2026,right,مدرسة,good,1767485310046,12220,10284,5568,-1773,-68,1786
Amine,1-4-2026,right,مدرسة,good,1767485310106,12904,7700,4560,-538,500,77
Amine,1-4-2026,right,مدرسة,good,1767485310140,12908,9848,5864,745,867,775
Amine,1-4-2026,right,مدرسة,good,1767485310189,13252,8268,5056,-703,-958,2399
Amine,1-4-2026,right,مدرسة,good,1767485310239,11932,8568,5984,1777,1533,-586
Amine,1-4-2026,right,مدرسة,good,1767485310289,13436,10004,5620,584,230,51
Amine,1-4-2026,right,مدرسة,good,1767485310339,13896,8716,4432,1067,675,-411
Amine,1-4-2026,right,مدرسة,good,1767485310390,12028,9788,5404,614,-669,179
Amine,1-4-2026,right,مدرسة,good,1767485310439,12920,8988,5064,275,-152,-619
Amine,1-4-2026,right,مدرسة,good,1767485310491,12800,9236,4820,-6,-20,-446
Amine,1-4-2026,right,مدرسة,good,1767485310539,12720,9184,5476,-227,-1245,-300
Amine,1-4-2026,right,مدرسة,good,1767485310589,10136,9188,492,-3326,-4391,-358
Amine,1-4-2026,right,مدرسة,good,1767485310638,13492,9044,5388,-2125,-770,-791
Amine,1-4-2026,right,مدرسة,good,1767485310690,12788,9124,5016,-214,1364,124
Amine,1-4-2026,right,مدرسة,good,1767485310739,13096,9484,5152,261,-253,804
Amine,1-4-2026,right,مدرسة,good,1767485310789,13200,9532,4824,-530,-569,947
Amine,1-4-2026,right,مدرسة,good,1767485310839,12552,8280,4564,-1557,-401,3005
Amine,1-4-2026,right,مدرسة,good,1767485310889,13024,7768,4572,1430,1096,-259
Amine,1-4-2026,right,مدرسة,good,1767485310938,13020,8848,5764,387,204,114
Amine,1-4-2026,right,مدرسة,good,1767485310989,13424,8668,4968,414,45,-595
Amine,1-4-2026,right,مدرسة,good,1767485311039,12932,9200,5424,352,126,28
Amine,1-4-2026,right,مدرسة,good,1767485311088,13512,8384,4932,390,200,-324
Amine,1-4-2026,right,مدرسة,good,1767485311144,13120,8912,5100,359,330,-249
Amine,1-4-2026,right,مدرسة,good,1767485311189,13476,8640,4916,78,185,-77
Amine,1-4-2026,right,مدرسة,good,1767485311239,13048,8932,4824,186,254,128
Amine,1-4-2026,right,مدرسة,good,1767485311289,13364,8920,5476,194,244,-253
Amine,1-4-2026,right,مدرسة,good,1767485311338,12988,8820,4856,12,403,-308
Amine,1-4-2026,right,مدرسة,good,1767485311389,13032,8752,5032,132,465,-96
Amine,1-4-2026,right,مدرسة,good,1767485311438,13460,9080,6108,-71,1639,-196
Amine,1-4-2026,right,مدرسة,good,1767485311489,13508,8740,5212,169,260,2
Amine,1-4-2026,right,مدرسة,good,1767485311538,13136,9264,5508,-10,267,152
Amine,1-4-2026,right,مدرسة,good,1767485311588,13516,8892,4940,93,160,-54
Amine,1-4-2026,right,مدرسة,good,1767485311639,12836,8688,5080,-209,251,249
Amine,1-4-2026,right,مدرسة,good,1767485311688,13412,8956,5200,173,369,51
Amine,1-4-2026,right,مدرسة,good,1767485311739,13040,9148,5092,43,243,244
Amine,1-4-2026,right,مدرسة,good,1767485311789,13348,8828,5132,-11,-339,525
Amine,1-4-2026,right,مدرسة,good,1767485311839,13332,8844,4952,-53,298,494
Amine,1-4-2026,right,مدرسة,good,1767485311890,12832,8668,5072,-170,-474,366
Amine,1-4-2026,right,مدرسة,good,1767485311940,13456,8808,5192,96,430,223
