student,student_id,hand,sample,quality,timestamp_ms,ax,ay,az,gx,gy,gz
Amine,1-4-2026,right,معلومات,good,1767485572425,11816,10696,4620,-562,245,-205
Amine,1-4-2026,right,معلومات,good,1767485572484,11952,10656,4892,-310,805,-213
Amine,1-4-2026,right,معلومات,good,1767485572534,12016,10748,4640,241,-1021,102
Amine,1-4-2026,right,معلومات,good,1767485572585,11444,10528,4656,-363,308,-321
Amine,1-4-2026,right,معلومات,good,1767485572634,12216,11148,4280,593,713,-510
Amine,1-4-2026,right,معلومات,good,1767485572685,12028,10520,4616,496,-1379,54
Amine,1-4-2026,right,معلومات,good,1767485572734,11796,11196,4096,488,1515,-651
Amine,1-4-2026,right,معلومات,good,1767485572783,12200,10300,5352,576,-236,65
Amine,1-4-2026,right,معلومات,good,1767485572836,12136,10012,2780,-9,-1450,1059
Amine,1-4-2026,right,معلومات,good,1767485572885,11424,10888,4952,472,-1000,-76
Amine,1-4-2026,right,معلومات,good,1767485572923,12276,10376,4160,-349,247,218
Amine,1-4-2026,right,معلومات,good,1767485572975,11856,10808,4948,-568,62,37
Amine,1-4-2026,right,معلومات,good,1767485573031,13004,9576,6084,-1391,290,985
Amine,1-4-2026,right,معلومات,good,1767485573074,11940,10728,4476,-123,283,-88
Amine,1-4-2026,right,معلومات,good,1767485573123,12232,10504,4416,-26,-404,200
Amine,1-4-2026,right,معلومات,good,1767485573173,12052,10968,3944,-291,2675,-74
Amine,1-4-2026,right,معلومات,good,1767485573234,11584,10552,1316,1914,1493,-421
Amine,1-4-2026,right,معلومات,good,1767485573274,12200,10704,5332,-272,429,-444
Amine,1-4-2026,right,معلومات,good,1767485573324,12884,9780,3240,1937,-2220,585
Amine,1-4-2026,right,معلومات,good,1767485573374,13912,8564,384,1555,-1027,1299
Amine,1-4-2026,right,معلومات,good,1767485573424,14632,9300,4708,-96,582,580
Amine,1-4-2026,right,معلومات,good,1767485573474,11468,9524,4196,-938,328,1162
Amine,1-4-2026,right,معلومات,good,1767485573524,11832,10708,4656,311,-720,307
Amine,1-4-2026,right,معلومات,good,1767485573574,12016,10364,4268,202,-514,33
Amine,1-4-2026,right,معلومات,good,1767485573624,11972,10816,5292,-272,-2087,455
Amine,1-4-2026,right,معلومات,good,1767485573674,11796,12284,7572,-936,1732,-1019
Amine,1-4-2026,right,معلومات,good,1767485573724,10188,10772,4580,-2306,3003,-407
Amine,1-4-2026,right,معلومات,good,1767485573781,12488,10436,3896,70,1904,-471
Amine,1-4-2026,right,معلومات,good,1767485573823,12116,10736,3996,-166,1624,48
Amine,1-4-2026,right,معلومات,good,1767485573886,11564,10836,4056,-693,2326,-138
Amine,1-4-2026,right,معلومات,good,1767485573936,11408,10988,4372,1887,139,-403
Amine,1-4-2026,right,معلومات,good,1767485573983,11780,10924,4664,-237,533,299
Amine,1-4-2026,right,معلومات,good,1767485574034,11996,11292,6156,978,1230,-102
Amine,1-4-2026,right,معلومات,good,1767485574084,11412,11028,2512,1662,-20,0
Amine,1-4-2026,right,معلومات,good,1767485574136,11896,10356,4896,273,-1769,-203
Amine,1-4-2026,right,معلومات,good,1767485574184,14372,8380,4484,-2196,-2678,2012
Amine,1-4-2026,right,معلومات,good,1767485574234,11852,13144,3028,-1826,3865,0
Amine,1-4-2026,right,معلومات,good,1767485574284,11268,10868,3880,416,-1133,191
Amine,1-4-2026,right,معلومات,good,1767485574328,12688,9264,4472,-1183,-320,1219
Amine,1-4-2026,right,معلومات,good,1767485574374,12352,10416,4272,652,-197,693
Amine,1-4-2026,right,معلومات,good,1767485574433,13432,7644,3852,798,1479,-690
Amine,1-4-2026,right,معلومات,good,1767485574474,15164,8336,6220,876,189,-495
Amine,1-4-2026,right,معلومات,good,1767485574524,13236,10208,3516,356,2528,-533
Amine,1-4-2026,right,معلومات,good,1767485574574,12332,10676,-536,2931,-181,-370
Amine,1-4-2026,right,معلومات,good,1767485574624,12844,10256,4076,-185,1825,-41
