student,student_id,hand,sample,quality,timestamp_ms,ax,ay,az,gx,gy,gz
Amine,12-31-2025,right,استقلال,good,1767206794069,2128,12344,11792,96,220,-1
Amine,12-31-2025,right,استقلال,good,1767206794121,2068,12148,11672,38,-179,173
Amine,12-31-2025,right,استقلال,good,1767206794170,2068,12256,11868,87,-257,297
Amine,12-31-2025,right,استقلال,good,1767206794212,2312,12328,11500,-76,647,232
Amine,12-31-2025,right,استقلال,good,1767206794269,1984,12540,11340,482,501,1178
Amine,12-31-2025,right,استقلال,good,1767206794319,2740,12960,10376,1129,-365,1030
Amine,12-31-2025,right,استقلال,good,1767206794369,1876,11668,13124,792,1155,193
Amine,12-31-2025,right,استقلال,good,1767206794420,1760,12084,12496,520,491,353
Amine,12-31-2025,right,استقلال,good,1767206794469,2220,12544,11944,-104,-118,513
Amine,12-31-2025,right,استقلال,good,1767206794513,2480,13064,11776,-1286,-504,-415
Amine,12-31-2025,right,استقلال,good,1767206794563,2056,12520,11180,-835,450,-2000
Amine,12-31-2025,right,استقلال,good,1767206794613,2056,11312,10944,-666,-991,-1781
Amine,12-31-2025,right,استقلال,good,1767206794663,3444,10612,11360,3097,694,-658
Amine,12-31-2025,right,استقلال,good,1767206794718,2696,12612,11660,1862,1887,-225
Amine,12-31-2025,right,استقلال,good,1767206794763,1148,12592,11216,206,849,1396
Amine,12-31-2025,right,استقلال,good,1767206794818,2292,12896,11388,125,840,1023
Amine,12-31-2025,right,استقلال,good,1767206794863,1928,12760,11048,916,-1904,-647
Amine,12-31-2025,right,استقلال,good,1767206794920,3128,12536,11260,627,-1000,-1409
Amine,12-31-2025,right,استقلال,good,1767206794963,2900,12444,11660,629,533,236
Amine,12-31-2025,right,استقلال,good,1767206795013,1980,12572,11356,-181,1326,1440
Amine,12-31-2025,right,استقلال,good,1767206795062,808,12900,11652,-1356,1677,863
Amine,12-31-2025,right,استقلال,good,1767206795113,1780,12984,11604,-2110,-623,-1157
Amine,12-31-2025,right,استقلال,good,1767206795162,2740,11384,11400,-2518,-168,-1017
Amine,12-31-2025,right,استقلال,good,1767206795213,2684,11668,11892,-802,717,-231
Amine,12-31-2025,right,استقلال,good,1767206795264,2556,11368,11944,352,1241,460
Amine,12-31-2025,right,استقلال,good,1767206795313,1516,11776,11484,1910,1840,635
Amine,12-31-2025,right,استقلال,good,1767206795364,1876,12404,11648,570,1015,245
Amine,12-31-2025,right,استقلال,good,1767206795413,2088,12860,10984,886,408,-241
Amine,12-31-2025,right,استقلال,good,1767206795468,1904,13316,11332,630,-262,581
Amine,12-31-2025,right,استقلال,good,1767206795519,1816,11696,12164,595,190,369
Amine,12-31-2025,right,استقلال,good,1767206795568,1240,12152,12068,156,589,582
Amine,12-31-2025,right,استقلال,good,1767206795619,2196,12008,12436,-780,-425,1111
Amine,12-31-2025,right,استقلال,good,1767206795669,1836,12712,10548,-438,-230,-323
Amine,12-31-2025,right,استقلال,good,1767206795720,2652,12708,11228,-131,838,-174
Amine,12-31-2025,right,استقلال,good,1767206795769,1844,12472,11604,443,1067,245
Amine,12-31-2025,right,استقلال,good,1767206795820,1596,11324,12628,372,1033,251
Amine,12-31-2025,right,استقلال,good,1767206795871,2032,12168,12084,-336,-309,989
Amine,12-31-2025,right,استقلال,good,1767206795918,2260,12188,11692,-649,-280,-97
Amine,12-31-2025,right,استقلال,good,1767206795969,2404,12776,11308,-232,-4,18
Amine,12-31-2025,right,استقلال,good,1767206796021,2812,12384,11608,259,856,-208
Amine,12-31-2025,right,استقلال,good,1767206796072,2204,11988,11720,494,423,796
Amine,12-31-2025,right,استقلال,good,1767206796118,2020,12104,11996,115,712,1005
Amine,12-31-2025,right,استقلال,good,1767206796168,1616,12056,11464,-394,-748,293
Amine,12-31-2025,right,استقلال,good,1767206796221,1572,12152,11424,-583,-343,-282
Amine,12-31-2025,right,استقلال,good,1767206796269,2536,12676,11440,55,-180,-140
Amine,12-31-2025,right,استقلال,good,1767206796319,3228,12780,10960,421,1269,-314
Amine,12-31-2025,right,استقلال,good,1767206796368,2088,11904,12316,106,-24,732
Amine,12-31-2025,right,استقلال,good,1767206796419,3916,11308,12568,548,317,1385
Amine,12-31-2025,right,استقلال,good,1767206796468,1884,12688,12536,-71,1311,1370
Amine,12-31-2025,right,استقلال,good,1767206796519,1320,13136,11380,-2762,-3357,1675
Amine,12-31-2025,right,استقلال,good,1767206796568,4236,12652,13136,-4364,-1645,-2780
Amine,12-31-2025,right,استقلال,good,1767206796620,3152,10868,11916,-2537,-740,-1619
Amine,12-31-2025,right,استقلال,good,1767206796669,3540,10244,11744,1301,1425,324
Amine,12-31-2025,right,استقلال,good,1767206796719,1012,13936,14928,4763,4147,-905
Amine,12-31-2025,right,استقلال,good,1767206796769,1624,13248,12228,1196,-1494,4
Amine,12-31-2025,right,استقلال,good,1767206796819,4552,13036,11892,306,-301,-1001
Amine,12-31-2025,right,استقلال,good,1767206796868,2796,12424,12664,-48,-546,-1649
Amine,12-31-2025,right,استقلال,good,1767206796912,3384,12848,12352,-1757,-210,2140
Amine,12-31-2025,right,استقلال,good,1767206796969,3212,10720,10916,-2087,761,1670
Amine,12-31-2025,right,استقلال,good,1767206797019,2404,11112,12184,1156,1842,1588
Amine,12-31-2025,right,استقلال,good,1767206797068,2428,11152,11532,2636,2551,1103
Amine,12-31-2025,right,استقلال,good,1767206797118,1832,12504,12096,1238,1301,478
Amine,12-31-2025,right,استقلال,good,1767206797169,2252,12360,12276,-80,692,1173
Amine,12-31-2025,right,استقلال,good,1767206797219,2016,11916,12224,-544,-341,190
Amine,12-31-2025,right,استقلال,good,1767206797268,1576,12112,12264,-78,-229,-1507
Amine,12-31-2025,right,استقلال,good,1767206797320,2600,12524,11472,587,-156,-1205
Amine,12-31-2025,right,استقلال,good,1767206797379,3268,12280,11672,432,151,-37
Amine,12-31-2025,right,استقلال,good,1767206797430,3160,11816,12120,518,1149,668
Amine,12-31-2025,right,استقلال,good,1767206797495,1776,12172,12360,156,1414,874
Amine,12-31-2025,right,استقلال,good,1767206797533,1472,11900,11760,-523,131,702
Amine,12-31-2025,right,استقلال,good,1767206797582,1996,13012,12152,-2390,-1868,945
Amine,12-31-2025,right,استقلال,good,1767206797618,2760,11996,12284,-3777,-2362,-971
Amine,12-31-2025,right,استقلال,good,1767206797694,3792,10384,12384,-937,-464,-549
Amine,12-31-2025,right,استقلال,good,1767206797736,3164,10960,11680,2096,1684,-28
Amine,12-31-2025,right,استقلال,good,1767206797784,2472,12060,11756,2016,1897,-505
Amine,12-31-2025,right,استقلال,good,1767206797836,3324,13088,11996,1145,-620,-750
Amine,12-31-2025,right,استقلال,good,1767206797888,2244,12820,11680,87,-237,-1706
Amine,12-31-2025,right,استقلال,good,1767206797919,3552,12584,12112,-1460,-755,576
Amine,12-31-2025,right,استقلال,good,1767206797968,3120,11484,11208,-2015,520,1272
Amine,12-31-2025,right,استقلال,good,1767206798013,2704,11068,11792,395,1537,1739
Amine,12-31-2025,right,استقلال,good,1767206798063,2512,11768,12716,1943,2570,518
Amine,12-31-2025,right,استقلال,good,1767206798113,1852,11932,12008,1381,1463,164
Amine,12-31-2025,right,استقلال,good,1767206798168,2632,11712,12440,250,128,211
Amine,12-31-2025,right,استقلال,good,1767206798213,2896,12256,10412,290,-603,-645
Amine,12-31-2025,right,استقلال,good,1767206798263,244,11296,11636,-819,1490,-1783
Amine,12-31-2025,right,استقلال,good,1767206798312,2108,11848,11656,-352,1362,-802
Amine,12-31-2025,right,استقلال,good,1767206798364,3004,12596,11736,-183,1013,-474
Amine,12-31-2025,right,استقلال,good,1767206798418,2856,11544,14036,810,2,568
Amine,12-31-2025,right,استقلال,good,1767206798468,3616,11864,13036,1188,763,839
Amine,12-31-2025,right,استقلال,good,1767206798519,2584,11528,12092,632,405,990
Amine,12-31-2025,right,استقلال,good,1767206798564,4016,11920,11572,395,539,2130
Amine,12-31-2025,right,استقلال,good,1767206798613,2472,12356,11584,-821,-296,1616
Amine,12-31-2025,right,استقلال,good,1767206798663,2516,12744,11476,-1237,-897,744
Amine,12-31-2025,right,استقلال,good,1767206798720,1752,11696,11648,-3331,-3045,-1006
Amine,12-31-2025,right,استقلال,good,1767206798762,3840,10136,12496,-2672,-2111,-1878
Amine,12-31-2025,right,استقلال,good,1767206798813,3640,10568,11720,955,809,-637
Amine,12-31-2025,right,استقلال,good,1767206798863,3260,12096,12744,1730,2728,-546
Amine,12-31-2025,right,استقلال,good,1767206798913,3204,12744,12168,1804,1845,-358
Amine,12-31-2025,right,استقلال,good,1767206798968,3004,12848,11580,1165,2599,-723
Amine,12-31-2025,right,استقلال,good,1767206799019,1316,11568,13072,1756,178,331
Amine,12-31-2025,right,استقلال,good,1767206799062,2280,10952,12936,256,15,543
Amine,12-31-2025,right,استقلال,good,1767206799114,2332,12164,12524,-916,-627,204
Amine,12-31-2025,right,استقلال,good,1767206799169,3720,11744,13568,-3860,-1482,392
Amine,12-31-2025,right,استقلال,good,1767206799218,2896,10636,10964,-2821,-474,508
Amine,12-31-2025,right,استقلال,good,1767206799268,3232,10580,12216,-130,740,1345
Amine,12-31-2025,right,استقلال,good,1767206799320,3624,10900,12540,1726,1324,242
Amine,12-31-2025,right,استقلال,good,1767206799369,932,12120,11808,1452,1459,-683
Amine,12-31-2025,right,استقلال,good,1767206799412,3664,12216,12084,772,640,-135
Amine,12-31-2025,right,استقلال,good,1767206799472,2996,12916,11596,1315,2011,-978
Amine,12-31-2025,right,استقلال,good,1767206799519,2688,11580,12732,1921,456,1190
Amine,12-31-2025,right,استقلال,good,1767206799569,980,10740,13488,1371,9,1302
Amine,12-31-2025,right,استقلال,good,1767206799618,4496,12164,12924,1342,-545,1844
Amine,12-31-2025,right,استقلال,good,1767206799669,2452,11712,12200,421,178,581
Amine,12-31-2025,right,استقلال,good,1767206799720,2328,11684,11736,-251,-7,692
Amine,12-31-2025,right,استقلال,good,1767206799771,3712,11516,12916,-1466,-26,743
Amine,12-31-2025,right,استقلال,good,1767206799819,2444,10944,13196,-1668,1363,210
Amine,12-31-2025,right,استقلال,good,1767206799869,3368,12304,11784,-689,535,-984
Amine,12-31-2025,right,استقلال,good,1767206799918,4256,12280,11880,-214,-377,-393
Amine,12-31-2025,right,استقلال,good,1767206799969,3488,12788,12144,-1042,-1206,470
Amine,12-31-2025,right,استقلال,good,1767206800019,2268,12828,12308,-3296,-2511,2199
Amine,12-31-2025,right,استقلال,good,1767206800068,4148,10604,12032,-4555,-1864,1129
Amine,12-31-2025,right,استقلال,good,1767206800118,5008,12164,11984,-3384,-3670,1854
Amine,12-31-2025,right,استقلال,good,1767206800169,4548,9208,12028,1306,1505,33
Amine,12-31-2025,right,استقلال,good,1767206800219,4708,10908,12648,2645,1886,43
Amine,12-31-2025,right,استقلال,good,1767206800270,2908,10084,12472,3106,933,-929
Amine,12-31-2025,right,استقلال,good,1767206800319,3676,11364,12608,1147,-368,-927
Amine,12-31-2025,right,استقلال,good,1767206800371,4480,10976,11884,186,-1745,-704
Amine,12-31-2025,right,استقلال,good,1767206800418,4520,10288,12228,1834,496,-962
Amine,12-31-2025,right,استقلال,good,1767206800468,2944,12072,11312,362,-247,-358
Amine,12-31-2025,right,استقلال,good,1767206800518,4420,11116,12156,-356,-125,-451
Amine,12-31-2025,right,استقلال,good,1767206800569,3868,11368,12116,459,757,-892
