student,student_id,hand,sample,quality,timestamp_ms,ax,ay,az,gx,gy,gz
Amine,12-31-2025,right,استقلال,good,1767206718071,-192,11876,12572,2,-60,53
Amine,12-31-2025,right,استقلال,good,1767206718120,4,11712,12536,108,-162,397
Amine,12-31-2025,right,استقلال,good,1767206718170,16,11728,12456,447,-691,207
Amine,12-31-2025,right,استقلال,good,1767206718220,340,12084,12968,908,-120,604
Amine,12-31-2025,right,استقلال,good,1767206718261,172,11948,12132,644,42,493
Amine,12-31-2025,right,استقلال,good,1767206718312,-16,11900,11516,1124,-1061,416
Amine,12-31-2025,right,استقلال,good,1767206718362,900,11868,12048,1539,162,429
Amine,12-31-2025,right,استقلال,good,1767206718413,624,12292,12308,1370,419,593
Amine,12-31-2025,right,استقلال,good,1767206718462,536,12168,12324,1248,251,830
Amine,12-31-2025,right,استقلال,good,1767206718520,280,12376,12044,803,67,623
Amine,12-31-2025,right,استقلال,good,1767206718563,428,12116,12096,679,431,654
Amine,12-31-2025,right,استقلال,good,1767206718612,492,12204,11932,-257,-884,441
Amine,12-31-2025,right,استقلال,good,1767206718661,1492,12544,11644,-326,307,318
Amine,12-31-2025,right,استقلال,good,1767206718720,1208,12796,11684,201,239,54
Amine,12-31-2025,right,استقلال,good,1767206718762,1816,12904,11172,1006,1471,-62
Amine,12-31-2025,right,استقلال,good,1767206718813,1128,12028,12404,1724,1444,1072
Amine,12-31-2025,right,استقلال,good,1767206718863,-548,13004,12772,-713,103,107
Amine,12-31-2025,right,استقلال,good,1767206718912,276,11884,12244,-1543,-447,-1307
Amine,12-31-2025,right,استقلال,good,1767206718963,692,11372,11476,-839,-2389,-1841
Amine,12-31-2025,right,استقلال,good,1767206719013,3172,9700,11544,3529,2138,-322
Amine,12-31-2025,right,استقلال,good,1767206719062,1320,13928,11340,1558,3446,417
Amine,12-31-2025,right,استقلال,good,1767206719112,-580,13512,11128,-251,260,1094
Amine,12-31-2025,right,استقلال,good,1767206719162,584,12692,11664,931,-1054,-1753
Amine,12-31-2025,right,استقلال,good,1767206719211,1332,12212,11916,895,977,-1324
Amine,12-31-2025,right,استقلال,good,1767206719271,1212,12696,11720,-53,862,1205
Amine,12-31-2025,right,استقلال,good,1767206719320,-196,13808,11480,-1224,-236,646
Amine,12-31-2025,right,استقلال,good,1767206719372,412,13012,12208,-2286,-15,-1039
Amine,12-31-2025,right,استقلال,good,1767206719419,480,11860,11500,-1696,1792,-550
Amine,12-31-2025,right,استقلال,good,1767206719470,432,11152,10944,1598,2034,384
Amine,12-31-2025,right,استقلال,good,1767206719522,-532,13092,10952,1163,1527,403
Amine,12-31-2025,right,استقلال,good,1767206719569,760,13668,10508,219,-72,621
Amine,12-31-2025,right,استقلال,good,1767206719620,744,13640,12040,927,932,1360
Amine,12-31-2025,right,استقلال,good,1767206719670,-552,11836,11996,882,1180,214
Amine,12-31-2025,right,استقلال,good,1767206719720,-464,12760,11772,-119,-223,847
Amine,12-31-2025,right,استقلال,good,1767206719770,532,12596,11736,-663,-435,410
Amine,12-31-2025,right,استقلال,good,1767206719812,852,13620,10856,-106,-883,235
Amine,12-31-2025,right,استقلال,good,1767206719870,1356,13500,11276,257,2024,-328
Amine,12-31-2025,right,استقلال,good,1767206719920,140,11244,12488,332,1507,809
Amine,12-31-2025,right,استقلال,good,1767206719970,-456,12400,11640,-80,1128,825
Amine,12-31-2025,right,استقلال,good,1767206720020,-296,12504,12008,-610,-539,388
Amine,12-31-2025,right,استقلال,good,1767206720070,760,13108,11116,-375,-305,-134
Amine,12-31-2025,right,استقلال,good,1767206720119,1248,13316,11160,720,1529,-74
Amine,12-31-2025,right,استقلال,good,1767206720170,1508,11888,12420,572,869,1063
Amine,12-31-2025,right,استقلال,good,1767206720222,-648,12152,12520,40,1460,861
Amine,12-31-2025,right,استقلال,good,1767206720271,68,11976,12388,-1377,-293,476
