student,student_id,hand,sample,quality,timestamp_ms,ax,ay,az,gx,gy,gz
Amine,12-31-2025,right,برنامج,bad,1767207156599,-1956,13064,10576,507,1087,115
Amine,12-31-2025,right,برنامج,bad,1767207156662,-1484,13644,10900,578,709,123
Amine,12-31-2025,right,برنامج,bad,1767207156712,-304,13980,9792,489,1723,-190
Amine,12-31-2025,right,برنامج,bad,1767207156762,-3168,12412,11340,1984,54,343
Amine,12-31-2025,right,برنامج,bad,1767207156812,-2220,13252,10600,494,-800,665
Amine,12-31-2025,right,برنامج,bad,1767207156862,-676,12964,11288,366,144,1512
Amine,12-31-2025,right,برنامج,bad,1767207156912,-32,13500,11660,-1606,623,2125
Amine,12-31-2025,right,برنامج,bad,1767207156962,-1908,14508,10376,-1372,366,558
Amine,12-31-2025,right,برنامج,bad,1767207157012,-2040,16400,12012,-4558,-335,-1593
Amine,12-31-2025,right,برنامج,bad,1767207157061,-556,9288,8044,1825,1908,459
Amine,12-31-2025,right,برنامج,bad,1767207157111,-1872,23912,16972,2210,5214,-1263
Amine,12-31-2025,right,برنامج,bad,1767207157162,-3420,15572,10704,688,-226,1254
Amine,12-31-2025,right,برنامج,bad,1767207157212,-1108,13448,11032,-1439,65,553
Amine,12-31-2025,right,برنامج,bad,1767207157261,-2112,14536,12800,-4982,-1661,-2403
Amine,12-31-2025,right,برنامج,bad,1767207157321,-872,11304,10096,-2243,174,-877
Amine,12-31-2025,right,برنامج,bad,1767207157361,-1208,10948,9624,3602,3340,-667
Amine,12-31-2025,right,برنامج,bad,1767207157411,-2384,14384,9812,1717,-253,355
Amine,12-31-2025,right,برنامج,bad,1767207157462,-12,15960,8736,1668,-974,625
Amine,12-31-2025,right,برنامج,bad,1767207157512,668,12488,11216,1943,-1036,2849
Amine,12-31-2025,right,برنامج,bad,1767207157562,-3208,13388,11076,892,1386,2445
Amine,12-31-2025,right,برنامج,bad,1767207157612,-1708,14808,10584,-2003,507,1274
Amine,12-31-2025,right,برنامج,bad,1767207157662,-1432,13828,11828,-6214,-1341,-2383
Amine,12-31-2025,right,برنامج,bad,1767207157712,-1292,11656,9740,-1027,1125,-1525
Amine,12-31-2025,right,برنامج,bad,1767207157762,-1068,11308,10388,3252,2214,-992
Amine,12-31-2025,right,برنامج,bad,1767207157812,-2200,13440,9804,1782,293,514
Amine,12-31-2025,right,برنامج,bad,1767207157863,300,16108,9588,858,-310,983
Amine,12-31-2025,right,برنامج,bad,1767207157911,332,12816,11068,1353,1147,1611
Amine,12-31-2025,right,برنامج,bad,1767207157963,-2112,13384,10000,743,1848,600
Amine,12-31-2025,right,برنامج,bad,1767207158012,-2276,11340,12784,-1030,1092,750
Amine,12-31-2025,right,برنامج,bad,1767207158062,-1540,12664,9448,-1598,2825,-1986
Amine,12-31-2025,right,برنامج,bad,1767207158111,-1292,14696,9660,-1277,170,-318
Amine,12-31-2025,right,برنامج,bad,1767207158164,-1532,14932,11120,-1825,-1337,-1441
Amine,12-31-2025,right,برنامج,bad,1767207158211,-2372,10204,9156,-5728,-4362,-881
Amine,12-31-2025,right,برنامج,bad,1767207158263,-300,9016,10696,3283,1525,-1243
Amine,12-31-2025,right,برنامج,bad,1767207158311,-4188,11896,10612,3289,77,-102
Amine,12-31-2025,right,برنامج,bad,1767207158365,-1036,16020,11448,-881,-2314,839
Amine,12-31-2025,right,برنامج,bad,1767207158411,1232,14128,10956,-713,-3063,1380
Amine,12-31-2025,right,برنامج,bad,1767207158462,-1188,9716,10360,-1858,1275,2581
Amine,12-31-2025,right,برنامج,bad,1767207158512,-1596,11172,11308,2165,3962,2056
Amine,12-31-2025,right,برنامج,bad,1767207158561,-2576,12148,9660,5737,5360,166
Amine,12-31-2025,right,برنامج,bad,1767207158612,-1916,14812,10172,-187,-924,708
Amine,12-31-2025,right,برنامج,bad,1767207158663,944,13832,11012,345,-572,-1093
Amine,12-31-2025,right,برنامج,bad,1767207158712,-452,12796,10676,891,1314,944
Amine,12-31-2025,right,برنامج,bad,1767207158761,-1584,14068,11192,-129,1377,1540
Amine,12-31-2025,right,برنامج,bad,1767207158811,-2248,12932,11316,-2436,-981,-761
Amine,12-31-2025,right,برنامج,bad,1767207158861,-888,13328,9048,146,-998,-1563
Amine,12-31-2025,right,برنامج,bad,1767207158912,724,13684,10980,987,-199,163
Amine,12-31-2025,right,برنامج,bad,1767207158961,1112,12996,11452,1421,2221,2408
Amine,12-31-2025,right,برنامج,bad,1767207159012,-2464,14572,11340,-259,1550,2568
Amine,12-31-2025,right,برنامج,bad,1767207159062,-2224,14920,12784,-3373,-817,12
Amine,12-31-2025,right,برنامج,bad,1767207159112,-144,10452,9720,-1507,-1,-364
Amine,12-31-2025,right,برنامج,bad,1767207159162,-212,11624,10396,5164,4672,-581
Amine,12-31-2025,right,برنامج,bad,1767207159212,-3152,15164,9668,-427,-760,-177
Amine,12-31-2025,right,برنامج,bad,1767207159261,468,11356,12900,-224,-2161,-1040
Amine,12-31-2025,right,برنامج,bad,1767207159312,-156,12344,11692,2163,799,568
Amine,12-31-2025,right,برنامج,bad,1767207159361,36,12988,11272,1877,2669,3988
Amine,12-31-2025,right,برنامج,bad,1767207159411,-1872,13876,11244,845,-369,1863
Amine,12-31-2025,right,برنامج,bad,1767207159461,-2060,14792,11900,-1089,-1133,-4023
Amine,12-31-2025,right,برنامج,bad,1767207159511,-176,12904,11160,-7411,-4560,-1525
Amine,12-31-2025,right,برنامج,bad,1767207159562,696,10592,10204,-150,681,334
Amine,12-31-2025,right,برنامج,bad,1767207159617,-424,11480,10112,5630,3389,1306
Amine,12-31-2025,right,برنامج,bad,1767207159662,-852,14052,10144,1436,1005,1017
Amine,12-31-2025,right,برنامج,bad,1767207159714,-108,13700,10716,56,-480,71
Amine,12-31-2025,right,برنامج,bad,1767207159770,-500,13256,10668,285,47,-590
