student,student_id,hand,sample,quality,timestamp_ms,ax,ay,az,gx,gy,gz
Amine,12-31-2025,right,برنامج,good,1767207338974,1864,10480,10812,5806,4146,-1436
Amine,12-31-2025,right,برنامج,good,1767207339009,472,13560,10560,2239,14,864
Amine,12-31-2025,right,برنامج,good,1767207339048,1968,13352,11032,1271,-169,152
Amine,12-31-2025,right,برنامج,good,1767207339108,1156,13600,11032,-336,181,211
Amine,12-31-2025,right,برنامج,good,1767207339159,1380,13032,11276,-2021,-1611,-30
Amine,12-31-2025,right,برنامج,good,1767207339208,2136,12192,11016,-4004,-1636,805
Amine,12-31-2025,right,برنامج,good,1767207339260,1924,11196,11288,-250,291,815
Amine,12-31-2025,right,برنامج,good,1767207339337,1840,12452,10756,2575,2012,-708
Amine,12-31-2025,right,برنامج,good,1767207339361,1916,13388,10856,364,680,184
Amine,12-31-2025,right,برنامج,good,1767207339414,2184,12956,10544,764,-145,-66
Amine,12-31-2025,right,برنامج,good,1767207339460,1708,13512,10896,665,635,-337
Amine,12-31-2025,right,برنامج,good,1767207339511,2152,12596,11448,1427,-216,555
Amine,12-31-2025,right,برنامج,good,1767207339560,2608,13180,10096,1838,-416,1453
Amine,12-31-2025,right,برنامج,good,1767207339608,2272,12908,11172,1012,1511,1345
Amine,12-31-2025,right,برنامج,good,1767207339659,2976,13544,11340,177,753,2552
Amine,12-31-2025,right,برنامج,good,1767207339709,1304,13460,10588,-1712,-1257,678
Amine,12-31-2025,right,برنامج,good,1767207339758,2088,11800,11180,-4686,-1896,229
Amine,12-31-2025,right,برنامج,good,1767207339808,3228,11208,10892,-968,1290,-539
Amine,12-31-2025,right,برنامج,good,1767207339858,2128,11392,10576,1648,1756,-704
Amine,12-31-2025,right,برنامج,good,1767207339909,1396,13064,10664,508,301,139
Amine,12-31-2025,right,برنامج,good,1767207339962,2484,13044,11280,683,-167,137
Amine,12-31-2025,right,برنامج,good,1767207340008,2732,13824,10192,1046,188,142
Amine,12-31-2025,right,برنامج,good,1767207340059,960,11504,12080,2365,1388,923
Amine,12-31-2025,right,برنامج,good,1767207340108,752,12876,11248,534,1158,702
Amine,12-31-2025,right,برنامج,good,1767207340158,2280,12068,12020,-325,210,1659
Amine,12-31-2025,right,برنامج,good,1767207340208,1172,11692,13700,-1122,644,294
Amine,12-31-2025,right,برنامج,good,1767207340259,2920,12496,11984,-563,1291,523
Amine,12-31-2025,right,برنامج,good,1767207340309,2156,13676,9980,-491,-531,-13
Amine,12-31-2025,right,برنامج,good,1767207340360,2592,14324,11120,-2373,-1740,-659
Amine,12-31-2025,right,برنامج,good,1767207340409,776,11536,10420,-4696,-3504,1560
Amine,12-31-2025,right,برنامج,good,1767207340458,2780,10468,11396,308,539,-1661
Amine,12-31-2025,right,برنامج,good,1767207340509,2232,11100,10816,3897,2712,-2478
Amine,12-31-2025,right,برنامج,good,1767207340558,1556,12672,11356,1897,1561,-1265
Amine,12-31-2025,right,برنامج,good,1767207340608,2212,13616,11092,-93,-1349,544
Amine,12-31-2025,right,برنامج,good,1767207340659,2480,14052,10888,-831,43,51
Amine,12-31-2025,right,برنامج,good,1767207340709,2112,11484,10196,-4068,-1463,2880
Amine,12-31-2025,right,برنامج,good,1767207340760,2884,10076,11048,763,2076,2139
Amine,12-31-2025,right,برنامج,good,1767207340808,2200,11636,11508,3267,3425,898
Amine,12-31-2025,right,برنامج,good,1767207340858,812,13716,11200,2563,2014,362
Amine,12-31-2025,right,برنامج,good,1767207340908,2480,12712,11584,-476,-309,771
Amine,12-31-2025,right,برنامج,good,1767207340958,2660,12868,10872,573,580,-540
Amine,12-31-2025,right,برنامج,good,1767207341010,2328,13516,10600,306,947,-385
Amine,12-31-2025,right,برنامج,good,1767207341063,2316,12552,10584,820,-81,-390
Amine,12-31-2025,right,برنامج,good,1767207341109,2256,12388,11168,875,1263,-890
Amine,12-31-2025,right,برنامج,good,1767207341146,2592,12576,12500,620,1284,669
Amine,12-31-2025,right,برنامج,good,1767207341198,1220,13340,11100,-289,-166,937
Amine,12-31-2025,right,برنامج,good,1767207341248,2528,13236,10796,-2090,-378,-1214
Amine,12-31-2025,right,برنامج,good,1767207341298,3048,11872,10504,-933,-121,-1077
Amine,12-31-2025,right,برنامج,good,1767207341358,2452,12692,10564,197,1584,-1408
Amine,12-31-2025,right,برنامج,good,1767207341398,2584,13400,10288,1411,1736,646
Amine,12-31-2025,right,برنامج,good,1767207341447,2208,12744,10656,1138,1342,1643
Amine,12-31-2025,right,برنامج,good,1767207341498,332,12112,11708,1080,1537,1600
Amine,12-31-2025,right,برنامج,good,1767207341548,244,13220,9836,-1019,361,2239
Amine,12-31-2025,right,برنامج,good,1767207341597,3284,14428,11556,-3739,-1946,-40
Amine,12-31-2025,right,برنامج,good,1767207341660,3156,11152,11156,-676,801,-41
Amine,12-31-2025,right,برنامج,good,1767207341709,2024,11380,11172,1986,3028,-579
Amine,12-31-2025,right,برنامج,good,1767207341759,1820,12856,11396,255,1397,-31
Amine,12-31-2025,right,برنامج,good,1767207341808,1576,13016,11076,-75,193,-299
Amine,12-31-2025,right,برنامج,good,1767207341859,1684,12868,11004,-271,-1102,-22
Amine,12-31-2025,right,برنامج,good,1767207341908,2216,12432,11796,311,-205,-706
Amine,12-31-2025,right,برنامج,good,1767207341958,2560,12212,11628,729,342,-539
Amine,12-31-2025,right,برنامج,good,1767207342008,2776,12284,11368,1269,640,1761
Amine,12-31-2025,right,برنامج,good,1767207342059,4220,12348,12788,1383,1792,2210
Amine,12-31-2025,right,برنامج,good,1767207342098,3648,13296,10540,1730,2067,2528
Amine,12-31-2025,right,برنامج,good,1767207342148,680,13460,11156,1919,1481,1344
Amine,12-31-2025,right,برنامج,good,1767207342198,588,14076,10064,998,-206,-705
Amine,12-31-2025,right,برنامج,good,1767207342248,2896,12880,11928,-1696,-921,-2759
Amine,12-31-2025,right,برنامج,good,1767207342297,2164,14324,12828,-3438,-2261,-1080
Amine,12-31-2025,right,برنامج,good,1767207342348,2080,11724,10340,-2992,-2291,413
Amine,12-31-2025,right,برنامج,good,1767207342409,3196,11352,11524,828,1272,424
Amine,12-31-2025,right,برنامج,good,1767207342449,1480,12368,10376,3219,2614,-708
Amine,12-31-2025,right,برنامج,good,1767207342509,3800,14916,11096,-161,1780,18
Amine,12-31-2025,right,برنامج,good,1767207342558,1676,13360,10900,373,385,378
Amine,12-31-2025,right,برنامج,good,1767207342609,1908,13380,10612,-194,-498,17
Amine,12-31-2025,right,برنامج,good,1767207342658,2764,12220,11360,-91,-328,-251
Amine,12-31-2025,right,برنامج,good,1767207342697,2144,12440,11420,456,664,232
Amine,12-31-2025,right,برنامج,good,1767207342748,1540,13268,10560,-178,-922,1143
Amine,12-31-2025,right,برنامج,good,1767207342798,2788,13260,10540,-477,33,-145
Amine,12-31-2025,right,برنامج,good,1767207342859,2628,12308,11468,365,882,-975
Amine,12-31-2025,right,برنامج,good,1767207342898,1076,13436,10656,233,36,1340
