student,student_id,hand,sample,quality,timestamp_ms,ax,ay,az,gx,gy,gz
Amine,12-31-2025,right,مستشفى,bad,1767206421876,-1552,13972,11400,-1376,207,2015
Amine,12-31-2025,right,مستشفى,bad,1767206421934,-3632,13164,11168,-1738,-1587,-1498
Amine,12-31-2025,right,مستشفى,bad,1767206421975,-1924,11412,9988,596,-581,-1700
Amine,12-31-2025,right,مستشفى,bad,1767206422027,-1208,13080,10940,1014,820,70
Amine,12-31-2025,right,مستشفى,bad,1767206422074,-1108,13992,10596,499,1133,1302
Amine,12-31-2025,right,مستشفى,bad,1767206422125,-2272,13048,10668,885,377,1435
Amine,12-31-2025,right,مستشفى,bad,1767206422174,-2812,12416,11892,-417,1035,1793
Amine,12-31-2025,right,مستشفى,bad,1767206422225,-2904,12104,10784,-1074,-307,844
Amine,12-31-2025,right,مستشفى,bad,1767206422276,-1024,13816,10384,-711,-913,-529
Amine,12-31-2025,right,مستشفى,bad,1767206422326,-524,13908,10672,453,962,-752
Amine,12-31-2025,right,مستشفى,bad,1767206422375,-3008,11548,10944,572,881,1324
Amine,12-31-2025,right,مستشفى,bad,1767206422425,-2844,12796,10924,153,1869,948
Amine,12-31-2025,right,مستشفى,bad,1767206422475,-3536,12440,11556,-741,133,167
Amine,12-31-2025,right,مستشفى,bad,1767206422525,-1060,13896,10152,-103,-882,-529
Amine,12-31-2025,right,مستشفى,bad,1767206422576,-1620,12080,12280,339,639,1566
Amine,12-31-2025,right,مستشفى,bad,1767206422625,-3528,12588,10996,618,1696,62
Amine,12-31-2025,right,مستشفى,bad,1767206422676,-2044,12740,11380,-599,-287,155
Amine,12-31-2025,right,مستشفى,bad,1767206422728,-1024,13492,10172,-146,-1025,-474
Amine,12-31-2025,right,مستشفى,bad,1767206422774,-952,13836,11304,669,1049,561
Amine,12-31-2025,right,مستشفى,bad,1767206422825,-1212,12104,11428,407,1936,953
Amine,12-31-2025,right,مستشفى,bad,1767206422875,-1916,12604,11588,-522,-22,1595
Amine,12-31-2025,right,مستشفى,bad,1767206422925,-1440,13032,10688,-440,-735,74
Amine,12-31-2025,right,مستشفى,bad,1767206422977,-1156,13748,10316,-339,-463,-246
Amine,12-31-2025,right,مستشفى,bad,1767206423026,-772,13752,10784,633,1765,-531
Amine,12-31-2025,right,مستشفى,bad,1767206423074,1804,12440,12252,739,2280,548
Amine,12-31-2025,right,مستشفى,bad,1767206423127,-4464,13844,10276,-312,1037,975
Amine,12-31-2025,right,مستشفى,bad,1767206423175,-2532,13556,11232,-2437,-1152,-1222
Amine,12-31-2025,right,مستشفى,bad,1767206423225,-908,11604,10548,-2827,-1547,-1525
Amine,12-31-2025,right,مستشفى,bad,1767206423276,-376,10828,10920,1163,867,-253
Amine,12-31-2025,right,مستشفى,bad,1767206423325,-4216,22536,17772,1344,2562,-1630
Amine,12-31-2025,right,مستشفى,bad,1767206423375,-2664,14152,11128,851,-2015,-236
Amine,12-31-2025,right,مستشفى,bad,1767206423425,-772,12396,11884,-486,-1605,-1798
Amine,12-31-2025,right,مستشفى,bad,1767206423475,-520,15056,13572,-4088,-20,785
Amine,12-31-2025,right,مستشفى,bad,1767206423524,-1352,10152,10420,-1275,2111,1893
