student,student_id,hand,sample,quality,timestamp_ms,ax,ay,az,gx,gy,gz
Amine,12-31-2025,right,مستشفى,good,1767206295033,-2344,12636,11296,447,1748,-358
Amine,12-31-2025,right,مستشفى,good,1767206295082,-3072,12888,11008,561,993,-256
Amine,12-31-2025,right,مستشفى,good,1767206295126,-3016,13056,10588,110,858,117
Amine,12-31-2025,right,مستشفى,good,1767206295183,-2636,13000,10404,752,2099,-316
Amine,12-31-2025,right,مستشفى,good,1767206295232,-3260,12984,10624,800,671,-410
Amine,12-31-2025,right,مستشفى,good,1767206295282,-3488,13468,9768,1282,-700,179
Amine,12-31-2025,right,مستشفى,good,1767206295334,-3000,13260,10312,606,-376,-49
Amine,12-31-2025,right,مستشفى,good,1767206295384,-3048,12992,10588,134,-137,-86
Amine,12-31-2025,right,مستشفى,good,1767206295434,-2888,12892,10628,98,131,151
Amine,12-31-2025,right,مستشفى,good,1767206295483,-2540,13024,10880,83,851,499
Amine,12-31-2025,right,مستشفى,good,1767206295537,-2600,13108,10528,-748,695,1241
Amine,12-31-2025,right,مستشفى,good,1767206295585,-4372,13060,10032,-579,484,423
Amine,12-31-2025,right,مستشفى,good,1767206295633,-3312,13416,10892,-1455,-1114,-226
Amine,12-31-2025,right,مستشفى,good,1767206295683,-2824,11996,10504,-2069,-1769,-1315
Amine,12-31-2025,right,مستشفى,good,1767206295733,-2556,12000,10724,-1307,-1080,-596
Amine,12-31-2025,right,مستشفى,good,1767206295793,-2892,12464,10928,372,-170,142
Amine,12-31-2025,right,مستشفى,good,1767206295832,-2616,12812,11168,1272,744,225
Amine,12-31-2025,right,مستشفى,good,1767206295883,-2748,12580,11012,1037,806,-596
Amine,12-31-2025,right,مستشفى,good,1767206295933,-2964,13236,10744,485,20,-4
Amine,12-31-2025,right,مستشفى,good,1767206295982,-2488,12940,11012,458,-52,89
Amine,12-31-2025,right,مستشفى,good,1767206296032,-2180,13324,10776,489,1810,-470
Amine,12-31-2025,right,مستشفى,good,1767206296084,-2364,13452,10632,779,1836,718
Amine,12-31-2025,right,مستشفى,good,1767206296133,-3668,12784,11156,348,880,562
Amine,12-31-2025,right,مستشفى,good,1767206296183,-3272,13140,10856,238,1276,128
Amine,12-31-2025,right,مستشفى,good,1767206296233,-3368,12892,10764,44,421,256
Amine,12-31-2025,right,مستشفى,good,1767206296283,-1644,12956,11472,-557,460,930
Amine,12-31-2025,right,مستشفى,good,1767206296327,-2816,13176,10572,-269,1014,244
Amine,12-31-2025,right,مستشفى,good,1767206296377,-3388,12984,10860,-632,-305,553
Amine,12-31-2025,right,مستشفى,good,1767206296427,-2568,12532,10992,-233,1098,20
Amine,12-31-2025,right,مستشفى,good,1767206296477,-3420,13020,10772,-257,408,-518
Amine,12-31-2025,right,مستشفى,good,1767206296528,-2680,13564,10664,-122,179,-228
Amine,12-31-2025,right,مستشفى,good,1767206296582,-2504,13888,10212,480,1403,-108
Amine,12-31-2025,right,مستشفى,good,1767206296628,-2808,12904,10684,402,1153,435
Amine,12-31-2025,right,مستشفى,good,1767206296677,-3348,12976,11024,80,1265,669
Amine,12-31-2025,right,مستشفى,good,1767206296727,-3016,12840,10644,-135,130,364
Amine,12-31-2025,right,مستشفى,good,1767206296777,-3036,12844,10588,-187,-88,-370
Amine,12-31-2025,right,مستشفى,good,1767206296832,-3036,13240,10768,-213,-51,-293
Amine,12-31-2025,right,مستشفى,good,1767206296877,-2620,13420,10648,48,-55,-208
Amine,12-31-2025,right,مستشفى,good,1767206296933,-2308,13444,10552,248,1418,-274
Amine,12-31-2025,right,مستشفى,good,1767206296977,-1920,13144,11128,457,392,852
Amine,12-31-2025,right,مستشفى,good,1767206297027,-3188,12716,11080,296,1269,304
Amine,12-31-2025,right,مستشفى,good,1767206297082,-3556,12892,10344,93,345,349
Amine,12-31-2025,right,مستشفى,good,1767206297127,-3140,12808,10696,-443,-518,178
Amine,12-31-2025,right,مستشفى,good,1767206297177,-2756,13016,10556,-275,126,-64
Amine,12-31-2025,right,مستشفى,good,1767206297227,-3136,13308,10724,31,-366,-18
Amine,12-31-2025,right,مستشفى,good,1767206297277,-2440,13248,10744,83,11,-236
Amine,12-31-2025,right,مستشفى,good,1767206297327,-2168,13336,10384,512,1210,156
Amine,12-31-2025,right,مستشفى,good,1767206297378,-2076,13468,10572,574,796,496
Amine,12-31-2025,right,مستشفى,good,1767206297427,-2772,12628,11292,88,713,940
Amine,12-31-2025,right,مستشفى,good,1767206297483,-2352,12656,11028,-434,231,1085
Amine,12-31-2025,right,مستشفى,good,1767206297527,-3336,13120,10464,28,-301,-45
Amine,12-31-2025,right,مستشفى,good,1767206297583,-3000,13004,10812,-296,391,-193
Amine,12-31-2025,right,مستشفى,good,1767206297633,-2500,13376,10620,45,306,-330
Amine,12-31-2025,right,مستشفى,good,1767206297682,-2516,13132,10736,519,1423,1
Amine,12-31-2025,right,مستشفى,good,1767206297733,-2700,12584,11400,491,1001,673
Amine,12-31-2025,right,مستشفى,good,1767206297782,-2924,13336,10576,59,1173,822
Amine,12-31-2025,right,مستشفى,good,1767206297832,-3380,14176,9156,-173,549,350
Amine,12-31-2025,right,مستشفى,good,1767206297883,-3316,13600,10736,-1270,-1481,160
Amine,12-31-2025,right,مستشفى,good,1767206297933,-2952,14168,11892,-2397,-1876,-1996
Amine,12-31-2025,right,مستشفى,good,1767206297982,-2004,11688,11068,-1845,-1047,-1150
Amine,12-31-2025,right,مستشفى,good,1767206298033,-2064,11676,11264,307,281,178
Amine,12-31-2025,right,مستشفى,good,1767206298082,-2368,11968,10676,2091,2043,675
Amine,12-31-2025,right,مستشفى,good,1767206298133,-3312,14012,11052,792,674,-257
Amine,12-31-2025,right,مستشفى,good,1767206298182,-2844,13324,10752,1134,-983,-1059
Amine,12-31-2025,right,مستشفى,good,1767206298240,-2412,13424,11228,81,-96,-1141
Amine,12-31-2025,right,مستشفى,good,1767206298283,-2668,13156,11312,-777,-538,-308
Amine,12-31-2025,right,مستشفى,good,1767206298332,-2364,13576,11996,-2076,-678,-724
Amine,12-31-2025,right,مستشفى,good,1767206298386,-1424,12784,11700,-2243,535,523
Amine,12-31-2025,right,مستشفى,good,1767206298434,-2808,10980,10552,-6,2218,1579
Amine,12-31-2025,right,مستشفى,good,1767206298483,-3076,12184,10900,1295,2428,1339
Amine,12-31-2025,right,مستشفى,good,1767206298533,-3072,12628,11024,1240,1843,847
Amine,12-31-2025,right,مستشفى,good,1767206298582,-3216,12804,10508,2009,967,279
Amine,12-31-2025,right,مستشفى,good,1767206298633,-2784,13212,11004,219,133,-439
Amine,12-31-2025,right,مستشفى,good,1767206298683,-2272,13180,10784,428,-494,476
Amine,12-31-2025,right,مستشفى,good,1767206298733,-2492,13612,10840,62,1210,-350
Amine,12-31-2025,right,مستشفى,good,1767206298783,-2968,12712,10764,923,464,43
Amine,12-31-2025,right,مستشفى,good,1767206298832,-3068,12828,10656,693,181,158
Amine,12-31-2025,right,مستشفى,good,1767206298883,-2684,12720,10980,335,923,289
Amine,12-31-2025,right,مستشفى,good,1767206298933,-1840,12720,11608,-414,172,1496
Amine,12-31-2025,right,مستشفى,good,1767206298982,-2396,13228,11464,-411,147,652
Amine,12-31-2025,right,مستشفى,good,1767206299033,-2964,12536,10876,-432,257,97
Amine,12-31-2025,right,مستشفى,good,1767206299085,-2972,13232,10500,-393,720,-365
Amine,12-31-2025,right,مستشفى,good,1767206299133,-2600,13560,10452,-91,351,-393
Amine,12-31-2025,right,مستشفى,good,1767206299182,-2436,13112,10892,50,501,-449
Amine,12-31-2025,right,مستشفى,good,1767206299233,-2796,13144,10684,561,613,1083
Amine,12-31-2025,right,مستشفى,good,1767206299283,-1896,12796,11456,192,1195,523
Amine,12-31-2025,right,مستشفى,good,1767206299333,-3120,12384,10408,51,816,820
Amine,12-31-2025,right,مستشفى,good,1767206299390,-3180,12920,11040,-195,-402,201
Amine,12-31-2025,right,مستشفى,good,1767206299432,-3500,12696,10456,-375,261,-608
Amine,12-31-2025,right,مستشفى,good,1767206299483,-2524,13208,10460,-135,221,-126
Amine,12-31-2025,right,مستشفى,good,1767206299536,-2700,13336,10896,-85,342,-143
Amine,12-31-2025,right,مستشفى,good,1767206299583,-2176,13464,10620,379,1667,-75
Amine,12-31-2025,right,مستشفى,good,1767206299634,-2156,13008,11036,541,107,523
Amine,12-31-2025,right,مستشفى,good,1767206299682,-2124,12404,11296,196,1063,937
Amine,12-31-2025,right,مستشفى,good,1767206299733,-1864,12448,11116,-660,286,995
Amine,12-31-2025,right,مستشفى,good,1767206299782,-2716,13888,10984,-1211,-780,-202
