student,student_id,hand,sample,quality,timestamp_ms,ax,ay,az,gx,gy,gz
Ghamri,12-30-2025,right,استقلال,good,1767123078923,6972,12584,9912,290,682,-366
Ghamri,12-30-2025,right,استقلال,good,1767123078973,6852,12144,9484,434,743,-442
Ghamri,12-30-2025,right,استقلال,good,1767123079035,6516,12280,9784,-207,161,142
Ghamri,12-30-2025,right,استقلال,good,1767123079074,7008,12196,9516,-682,-329,804
Ghamri,12-30-2025,right,استقلال,good,1767123079124,6956,11780,9340,133,209,-90
Ghamri,12-30-2025,right,استقلال,good,1767123079172,7012,11960,9468,395,872,-504
Ghamri,12-30-2025,right,استقلال,good,1767123079222,6800,12216,9904,328,1416,-717
Ghamri,12-30-2025,right,استقلال,good,1767123079273,6192,12384,9400,-599,-152,248
Ghamri,12-30-2025,right,استقلال,good,1767123079324,6584,12172,9612,-376,466,77
Ghamri,12-30-2025,right,استقلال,good,1767123079374,6352,12248,9648,-294,73,22
Ghamri,12-30-2025,right,استقلال,good,1767123079425,6560,11480,10992,-59,-235,615
Ghamri,12-30-2025,right,استقلال,good,1767123079476,7952,13080,9428,1156,682,-501
Ghamri,12-30-2025,right,استقلال,good,1767123079523,16324,19932,18352,-7526,-1060,10558
Ghamri,12-30-2025,right,استقلال,good,1767123079575,6356,9744,9320,-588,-993,3111
Ghamri,12-30-2025,right,استقلال,good,1767123079623,6448,10152,9176,4297,2083,-2291
Ghamri,12-30-2025,right,استقلال,good,1767123079673,7508,13452,10396,2848,2567,-2715
Ghamri,12-30-2025,right,استقلال,good,1767123079725,6528,12436,9648,764,1762,-1059
Ghamri,12-30-2025,right,استقلال,good,1767123079773,6108,11744,9664,897,853,-1098
Ghamri,12-30-2025,right,استقلال,good,1767123079822,6912,12208,9552,302,1711,-767
Ghamri,12-30-2025,right,استقلال,good,1767123079873,5996,12980,8796,-716,930,56
Ghamri,12-30-2025,right,استقلال,good,1767123079923,5996,12732,9476,-419,999,72
Ghamri,12-30-2025,right,استقلال,good,1767123079975,6260,12256,10064,59,466,330
Ghamri,12-30-2025,right,استقلال,good,1767123080023,6188,11936,10944,855,-355,198
Ghamri,12-30-2025,right,استقلال,good,1767123080073,6496,12496,9716,-258,1189,-308
Ghamri,12-30-2025,right,استقلال,good,1767123080123,6420,12536,9736,-312,1585,-281
Ghamri,12-30-2025,right,استقلال,good,1767123080173,6828,12456,9140,997,1469,729
Ghamri,12-30-2025,right,استقلال,good,1767123080222,5884,12384,11336,833,670,80
Ghamri,12-30-2025,right,استقلال,good,1767123080282,5764,12716,10376,-379,828,-352
Ghamri,12-30-2025,right,استقلال,good,1767123080323,6232,12004,10264,-525,-36,49
Ghamri,12-30-2025,right,استقلال,good,1767123080378,5900,12568,9624,-526,209,80
Ghamri,12-30-2025,right,استقلال,good,1767123080425,5876,12536,9756,-224,94,245
Ghamri,12-30-2025,right,استقلال,good,1767123080472,5860,12672,9840,95,176,253
Ghamri,12-30-2025,right,استقلال,good,1767123080522,7036,11868,9636,668,-264,651
Ghamri,12-30-2025,right,استقلال,good,1767123080572,6592,12404,9776,17,1311,-380
Ghamri,12-30-2025,right,استقلال,good,1767123080623,7324,12128,9664,1273,1030,1317
Ghamri,12-30-2025,right,استقلال,good,1767123080673,5936,12036,9888,207,1091,11
