student,student_id,hand,sample,quality,timestamp_ms,ax,ay,az,gx,gy,gz
Ghamri,12-30-2025,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767127542091,2344,10552,13440,139,2137,-348
Ghamri,12-30-2025,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767127542140,332,9736,15436,-658,879,1491
Ghamri,12-30-2025,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767127542198,428,11432,12800,183,-805,635
Ghamri,12-30-2025,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767127542241,2508,11188,12840,579,1922,-74
Ghamri,12-30-2025,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767127542291,1420,11320,15968,693,2071,3509
Ghamri,12-30-2025,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767127542340,-1300,11700,14696,-936,615,1771
Ghamri,12-30-2025,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767127542391,720,8008,10832,-964,283,-938
Ghamri,12-30-2025,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767127542441,-528,12584,12384,-172,-2090,-1896
Ghamri,12-30-2025,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767127542490,1384,12864,13296,8,-1520,-368
Ghamri,12-30-2025,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767127542541,2424,11136,10928,-2549,541,4481
Ghamri,12-30-2025,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767127542592,300,7348,12428,4905,1982,146
Ghamri,12-30-2025,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767127542641,-240,11812,12560,622,799,-979
Ghamri,12-30-2025,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767127542691,1828,11680,13248,-976,1138,526
Ghamri,12-30-2025,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767127542740,192,11424,13360,-163,-176,741
Ghamri,12-30-2025,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767127542791,-2636,10808,14148,-290,-1316,-2011
Ghamri,12-30-2025,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767127542840,3612,11584,12736,-29,3397,-733
Ghamri,12-30-2025,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767127542896,3580,10892,13724,1005,2158,3580
Ghamri,12-30-2025,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767127542940,-64,10396,13192,-239,1504,953
Ghamri,12-30-2025,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767127542992,368,9796,12496,-2350,53,-190
Ghamri,12-30-2025,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767127543041,1396,12512,12116,-118,1022,-240
Ghamri,12-30-2025,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767127543090,260,12376,12000,1608,907,64
Ghamri,12-30-2025,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767127543140,1016,10428,13316,789,555,422
Ghamri,12-30-2025,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767127543192,300,10936,13416,29,-1297,1363
Ghamri,12-30-2025,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767127543242,2188,11440,12132,-395,-709,172
Ghamri,12-30-2025,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767127543290,2004,10836,15864,675,2409,-401
Ghamri,12-30-2025,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767127543342,-172,12632,12568,1265,1951,2505
Ghamri,12-30-2025,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767127543390,-1888,13544,13760,-4995,885,-734
Ghamri,12-30-2025,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767127543441,492,7256,10884,5386,-56,-1597
Ghamri,12-30-2025,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767127543490,1556,12868,13956,1140,-2068,-1845
Ghamri,12-30-2025,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767127543541,3848,12828,12636,-1433,315,1885
Ghamri,12-30-2025,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767127543591,1292,6284,9600,-189,1261,1855
Ghamri,12-30-2025,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767127543642,2372,14220,13956,-1029,2182,172
Ghamri,12-30-2025,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767127543691,2516,12632,13836,1272,823,1455
Ghamri,12-30-2025,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767127543741,16,11236,14076,691,-2628,1094
Ghamri,12-30-2025,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767127543790,3520,11124,12292,-332,-152,-581
Ghamri,12-30-2025,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767127543841,1764,11600,13104,-68,2451,-520
Ghamri,12-30-2025,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767127543890,1876,11996,13316,762,824,1200
Ghamri,12-30-2025,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767127543942,2652,10928,13056,848,679,1595
Ghamri,12-30-2025,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767127543991,2564,11764,8484,1985,-23,-226
Ghamri,12-30-2025,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767127544042,12,11744,12868,779,-2510,115
Ghamri,12-30-2025,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767127544091,3052,12088,12248,1917,1088,-471
Ghamri,12-30-2025,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767127544141,2012,13260,14948,-5033,1343,1176
Ghamri,12-30-2025,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767127544191,1880,7820,12624,-4612,-408,1427
Ghamri,12-30-2025,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767127544241,528,8788,11836,1852,2410,-1722
Ghamri,12-30-2025,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767127544290,-1040,15676,10564,-1234,616,-2164
Ghamri,12-30-2025,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767127544345,-776,14068,11888,4203,-461,-502
Ghamri,12-30-2025,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767127544390,2684,9648,17368,2670,1971,226
Ghamri,12-30-2025,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767127544442,1648,8440,12900,-3945,796,2297
Ghamri,12-30-2025,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767127544490,532,9604,10056,1463,2566,-1090
Ghamri,12-30-2025,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767127544545,320,12200,11868,-146,1927,-1148
Ghamri,12-30-2025,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767127544591,88,9744,15240,1820,-121,-395
Ghamri,12-30-2025,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767127544641,1604,11184,13032,530,2233,-965
Ghamri,12-30-2025,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767127544692,-268,11544,13612,0,1593,1684
Ghamri,12-30-2025,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767127544741,2728,11320,12864,181,1577,1960
Ghamri,12-30-2025,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767127544791,624,13296,13108,-193,996,936
Ghamri,12-30-2025,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767127544841,-68,8464,11096,-2022,331,894
Ghamri,12-30-2025,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767127544890,428,10620,13472,2080,912,-368
Ghamri,12-30-2025,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767127544941,608,11216,13236,304,1150,-332
Ghamri,12-30-2025,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767127544990,956,11040,13308,795,1382,220
Ghamri,12-30-2025,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767127545041,652,16596,23452,-2292,526,28
Ghamri,12-30-2025,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767127545091,-1756,12048,13336,552,-1904,-966
Ghamri,12-30-2025,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767127545158,6440,10700,13840,236,-1985,722
Ghamri,12-30-2025,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767127545192,3656,10464,10012,1654,2930,3623
Ghamri,12-30-2025,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767127545241,-3444,14880,16968,-1841,3163,89
Ghamri,12-30-2025,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767127545291,-1240,9388,10624,1722,-2216,-2220
Ghamri,12-30-2025,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767127545340,888,14288,14672,862,-537,-891
Ghamri,12-30-2025,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767127545391,264,12620,12584,197,1601,507
Ghamri,12-30-2025,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767127545442,528,8600,11228,-3842,619,1154
Ghamri,12-30-2025,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767127545492,1044,14432,11396,-4548,1100,-58
Ghamri,12-30-2025,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767127545540,500,12056,12572,263,-1148,1893
Ghamri,12-30-2025,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767127545591,5752,10944,12752,1953,1709,2508
Ghamri,12-30-2025,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767127545641,-1436,13052,13872,-238,2972,1742
Ghamri,12-30-2025,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767127545691,-2556,9388,10696,2779,-1982,-2002
Ghamri,12-30-2025,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767127545741,-924,13668,13356,721,-2226,-3133
Ghamri,12-30-2025,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767127545791,3916,14604,18740,-4380,-1379,2763
Ghamri,12-30-2025,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767127545840,1252,7064,10052,-1938,-1051,3044
Ghamri,12-30-2025,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767127545891,216,11008,12936,4996,3599,-1440
Ghamri,12-30-2025,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767127545941,-252,11200,13760,-1037,2953,251
Ghamri,12-30-2025,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767127545991,-1172,12256,11948,-99,1355,392
Ghamri,12-30-2025,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767127546041,2900,9656,15556,681,1847,8
Ghamri,12-30-2025,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767127546090,-204,10356,13820,567,2118,4637
Ghamri,12-30-2025,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767127546140,-3740,12696,13476,-75,-994,-303
Ghamri,12-30-2025,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767127546191,2960,9628,10428,-5142,-3893,2851
Ghamri,12-30-2025,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767127546241,1104,9156,11668,1961,3023,155
Ghamri,12-30-2025,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767127546291,-1780,11964,14548,-51,480,978
Ghamri,12-30-2025,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767127546341,-72,10152,13040,427,324,-712
Ghamri,12-30-2025,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767127546391,596,9452,11900,2172,765,-1500
Ghamri,12-30-2025,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767127546441,548,12852,12740,342,1675,-422
Ghamri,12-30-2025,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767127546498,984,10700,13444,316,504,39
Ghamri,12-30-2025,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767127546541,500,10660,13900,1201,1318,-182
Ghamri,12-30-2025,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767127546594,1208,9772,15096,822,2447,3703
Ghamri,12-30-2025,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767127546643,-4576,15104,14860,-6379,760,-1224
Ghamri,12-30-2025,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767127546693,132,7916,9980,3016,-2522,-757
Ghamri,12-30-2025,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767127546740,2328,14484,10656,-2251,782,-529
Ghamri,12-30-2025,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767127546791,424,12332,13216,-400,-1772,-849
Ghamri,12-30-2025,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767127546841,2556,8740,11004,-4514,-2449,3191
Ghamri,12-30-2025,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767127546891,124,9528,12400,5498,3025,-364
Ghamri,12-30-2025,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767127546940,-1308,11560,12508,36,-694,586
Ghamri,12-30-2025,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767127546991,4256,13116,10740,-230,-2111,114
Ghamri,12-30-2025,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767127547040,4872,10800,11712,2152,3572,132
Ghamri,12-30-2025,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767127547091,648,10700,13800,-48,2791,3204
Ghamri,12-30-2025,right,التعليم الجيد يفتح أبواب المستقبل,bad,1767127547140,-2640,12776,14104,-6259,-2717,-2209
