student,student_id,hand,sample,quality,timestamp_ms,ax,ay,az,gx,gy,gz
Ghamri,12-30-2025,right,اللغة العربية غنية بالتعبير والدقة في المعاني,medium,1767126543857,-4876,4176,8760,-1193,1982,-560
Ghamri,12-30-2025,right,اللغة العربية غنية بالتعبير والدقة في المعاني,medium,1767126543906,-3832,12152,15364,1584,1247,-367
Ghamri,12-30-2025,right,اللغة العربية غنية بالتعبير والدقة في المعاني,medium,1767126543957,-4560,7520,11440,2647,3110,-1091
Ghamri,12-30-2025,right,اللغة العربية غنية بالتعبير والدقة في المعاني,medium,1767126544007,-5240,16328,20848,-619,799,-2116
Ghamri,12-30-2025,right,اللغة العربية غنية بالتعبير والدقة في المعاني,medium,1767126544059,-3972,10336,12104,89,-322,-359
Ghamri,12-30-2025,right,اللغة العربية غنية بالتعبير والدقة في المعاني,medium,1767126544110,-5188,10388,14944,-269,365,307
Ghamri,12-30-2025,right,اللغة العربية غنية بالتعبير والدقة في المعاني,medium,1767126544156,-3996,9752,14060,493,608,504
Ghamri,12-30-2025,right,اللغة العربية غنية بالتعبير والدقة في المعاني,medium,1767126544207,-3924,10628,12900,1188,534,-27
Ghamri,12-30-2025,right,اللغة العربية غنية بالتعبير والدقة في المعاني,medium,1767126544257,-4180,10188,12836,550,720,-268
Ghamri,12-30-2025,right,اللغة العربية غنية بالتعبير والدقة في المعاني,medium,1767126544308,-4756,10492,12944,150,716,59
Ghamri,12-30-2025,right,اللغة العربية غنية بالتعبير والدقة في المعاني,medium,1767126544357,-4104,10672,13228,330,1158,-391
Ghamri,12-30-2025,right,اللغة العربية غنية بالتعبير والدقة في المعاني,medium,1767126544408,-3324,10492,13572,-506,1578,373
Ghamri,12-30-2025,right,اللغة العربية غنية بالتعبير والدقة في المعاني,medium,1767126544456,-6204,10800,11448,-267,1777,-1145
Ghamri,12-30-2025,right,اللغة العربية غنية بالتعبير والدقة في المعاني,medium,1767126544507,-5672,10692,12224,-730,-584,32
Ghamri,12-30-2025,right,اللغة العربية غنية بالتعبير والدقة في المعاني,medium,1767126544557,-4720,9824,12936,-1395,678,-646
Ghamri,12-30-2025,right,اللغة العربية غنية بالتعبير والدقة في المعاني,medium,1767126544607,-4588,10736,12700,27,652,-550
Ghamri,12-30-2025,right,اللغة العربية غنية بالتعبير والدقة في المعاني,medium,1767126544656,-4872,10396,13072,-270,213,170
Ghamri,12-30-2025,right,اللغة العربية غنية بالتعبير والدقة في المعاني,medium,1767126544710,-4776,11192,13508,732,-434,670
Ghamri,12-30-2025,right,اللغة العربية غنية بالتعبير والدقة في المعاني,medium,1767126544757,-4996,10976,11436,1774,-1140,21
Ghamri,12-30-2025,right,اللغة العربية غنية بالتعبير والدقة في المعاني,medium,1767126544806,-3652,10348,13528,409,725,-380
Ghamri,12-30-2025,right,اللغة العربية غنية بالتعبير والدقة في المعاني,medium,1767126544858,-4576,10456,13012,273,1061,-436
Ghamri,12-30-2025,right,اللغة العربية غنية بالتعبير والدقة في المعاني,medium,1767126544908,-4148,10732,12536,514,1457,655
Ghamri,12-30-2025,right,اللغة العربية غنية بالتعبير والدقة في المعاني,medium,1767126544957,-688,11404,12860,419,1720,2042
Ghamri,12-30-2025,right,اللغة العربية غنية بالتعبير والدقة في المعاني,medium,1767126545007,-7900,10336,12900,261,-12,331
Ghamri,12-30-2025,right,اللغة العربية غنية بالتعبير والدقة في المعاني,medium,1767126545057,-3488,11008,12048,-531,-258,-205
Ghamri,12-30-2025,right,اللغة العربية غنية بالتعبير والدقة في المعاني,medium,1767126545107,-5716,10864,10808,-82,2159,-1363
Ghamri,12-30-2025,right,اللغة العربية غنية بالتعبير والدقة في المعاني,medium,1767126545157,-5212,10648,12800,-421,-1775,1655
Ghamri,12-30-2025,right,اللغة العربية غنية بالتعبير والدقة في المعاني,medium,1767126545208,-5628,10224,12980,375,-1933,-721
Ghamri,12-30-2025,right,اللغة العربية غنية بالتعبير والدقة في المعاني,medium,1767126545257,-4296,10132,13364,15,-683,178
Ghamri,12-30-2025,right,اللغة العربية غنية بالتعبير والدقة في المعاني,medium,1767126545316,-3612,10568,12972,2,2739,-1742
Ghamri,12-30-2025,right,اللغة العربية غنية بالتعبير والدقة في المعاني,medium,1767126545356,-5552,10348,13648,251,2660,-317
Ghamri,12-30-2025,right,اللغة العربية غنية بالتعبير والدقة في المعاني,medium,1767126545407,-1968,10368,14336,588,859,1461
Ghamri,12-30-2025,right,اللغة العربية غنية بالتعبير والدقة في المعاني,medium,1767126545456,-6412,10460,13096,-295,800,436
Ghamri,12-30-2025,right,اللغة العربية غنية بالتعبير والدقة في المعاني,medium,1767126545508,-3864,11368,12680,-584,775,69
Ghamri,12-30-2025,right,اللغة العربية غنية بالتعبير والدقة في المعاني,medium,1767126545557,-5448,9980,15684,-1124,5458,2875
Ghamri,12-30-2025,right,اللغة العربية غنية بالتعبير والدقة في المعاني,medium,1767126545606,-8940,10220,12572,-279,61,1602
Ghamri,12-30-2025,right,اللغة العربية غنية بالتعبير والدقة في المعاني,medium,1767126545658,-9960,10992,12188,1343,-4712,-2755
Ghamri,12-30-2025,right,اللغة العربية غنية بالتعبير والدقة في المعاني,medium,1767126545707,-2968,10600,13612,157,-5189,-108
Ghamri,12-30-2025,right,اللغة العربية غنية بالتعبير والدقة في المعاني,medium,1767126545757,-1744,8684,11908,-4391,-253,-346
Ghamri,12-30-2025,right,اللغة العربية غنية بالتعبير والدقة في المعاني,medium,1767126545808,-4432,7728,11456,3253,756,-1370
Ghamri,12-30-2025,right,اللغة العربية غنية بالتعبير والدقة في المعاني,medium,1767126545856,-4764,13448,11536,-759,-736,-2649
Ghamri,12-30-2025,right,اللغة العربية غنية بالتعبير والدقة في المعاني,medium,1767126545909,-4600,10708,12560,445,-779,2926
Ghamri,12-30-2025,right,اللغة العربية غنية بالتعبير والدقة في المعاني,medium,1767126545957,-2868,14604,21112,-4409,1460,3258
Ghamri,12-30-2025,right,اللغة العربية غنية بالتعبير والدقة في المعاني,medium,1767126546007,-3648,6148,8868,-1004,5634,3654
Ghamri,12-30-2025,right,اللغة العربية غنية بالتعبير والدقة في المعاني,medium,1767126546057,-12216,14852,32767,2288,-3249,-1270
Ghamri,12-30-2025,right,اللغة العربية غنية بالتعبير والدقة في المعاني,medium,1767126546107,-2232,12280,12204,2168,-5323,15
Ghamri,12-30-2025,right,اللغة العربية غنية بالتعبير والدقة في المعاني,medium,1767126546157,-680,9548,13164,-7493,-4530,2492
Ghamri,12-30-2025,right,اللغة العربية غنية بالتعبير والدقة في المعاني,medium,1767126546207,1284,5168,10328,811,2384,803
Ghamri,12-30-2025,right,اللغة العربية غنية بالتعبير والدقة في المعاني,medium,1767126546257,-5940,10928,13348,4125,6984,-2213
Ghamri,12-30-2025,right,اللغة العربية غنية بالتعبير والدقة في المعاني,medium,1767126546307,-7656,11500,14020,692,231,-1444
Ghamri,12-30-2025,right,اللغة العربية غنية بالتعبير والدقة في المعاني,medium,1767126546356,-2632,9916,13476,1494,-972,-300
Ghamri,12-30-2025,right,اللغة العربية غنية بالتعبير والدقة في المعاني,medium,1767126546406,-3972,10084,13036,1169,2613,-1436
Ghamri,12-30-2025,right,اللغة العربية غنية بالتعبير والدقة في المعاني,medium,1767126546458,-3932,11708,19200,1322,472,-1055
Ghamri,12-30-2025,right,اللغة العربية غنية بالتعبير والدقة في المعاني,medium,1767126546508,-3964,12264,12388,-580,2589,-2884
Ghamri,12-30-2025,right,اللغة العربية غنية بالتعبير والدقة في المعاني,medium,1767126546558,-5940,10908,11592,2234,-1341,1450
Ghamri,12-30-2025,right,اللغة العربية غنية بالتعبير والدقة في المعاني,medium,1767126546606,-3884,11508,14852,2055,-4,577
Ghamri,12-30-2025,right,اللغة العربية غنية بالتعبير والدقة في المعاني,medium,1767126546657,-4624,11016,14396,-6175,777,8
Ghamri,12-30-2025,right,اللغة العربية غنية بالتعبير والدقة في المعاني,medium,1767126546706,-3260,7516,10628,-2090,521,827
