student,student_id,hand,sample,quality,timestamp_ms,ax,ay,az,gx,gy,gz
Ghamri,12-30-2025,right,يحب الطالب التعلم واكتشاف أشياء جديدة,medium,1767126834283,1156,10424,13568,215,378,-119
Ghamri,12-30-2025,right,يحب الطالب التعلم واكتشاف أشياء جديدة,medium,1767126834330,1144,10508,13632,457,321,-87
Ghamri,12-30-2025,right,يحب الطالب التعلم واكتشاف أشياء جديدة,medium,1767126834381,1296,10244,13512,66,651,-244
Ghamri,12-30-2025,right,يحب الطالب التعلم واكتشاف أشياء جديدة,medium,1767126834430,1140,10548,13876,295,487,-241
Ghamri,12-30-2025,right,يحب الطالب التعلم واكتشاف أشياء جديدة,medium,1767126834483,1168,10664,13720,344,551,-70
Ghamri,12-30-2025,right,يحب الطالب التعلم واكتشاف أشياء جديدة,medium,1767126834531,1124,10716,13776,183,582,31
Ghamri,12-30-2025,right,يحب الطالب التعلم واكتشاف أشياء جديدة,medium,1767126834582,1008,10756,13784,162,332,14
Ghamri,12-30-2025,right,يحب الطالب التعلم واكتشاف أشياء جديدة,medium,1767126834631,932,10792,13724,136,567,-129
Ghamri,12-30-2025,right,يحب الطالب التعلم واكتشاف أشياء جديدة,medium,1767126834680,956,10448,13572,244,858,-202
Ghamri,12-30-2025,right,يحب الطالب التعلم واكتشاف أشياء جديدة,medium,1767126834731,768,10700,13752,420,986,-141
Ghamri,12-30-2025,right,يحب الطالب التعلم واكتشاف أشياء جديدة,medium,1767126834781,644,10748,13584,91,973,64
Ghamri,12-30-2025,right,يحب الطالب التعلم واكتشاف أشياء جديدة,medium,1767126834831,712,10564,13472,383,955,-85
Ghamri,12-30-2025,right,يحب الطالب التعلم واكتشاف أشياء جديدة,medium,1767126834882,680,10796,13536,166,651,-64
Ghamri,12-30-2025,right,يحب الطالب التعلم واكتشاف أشياء جديدة,medium,1767126834931,560,10740,13696,-100,47,-58
Ghamri,12-30-2025,right,يحب الطالب التعلم واكتشاف أشياء جديدة,medium,1767126834981,588,10820,13892,43,43,-174
